del_rxnID_KO	prctile_CP	prctile_PC	prctile_CB	prctile_BC	prctile_CBR	prctile_BRC	prctile_CBNR	prctile_BNRC	subSystem_CP	subSystem_PC	subSystem_CB	subSystem_BC	subSystem_CBR	subSystem_BRC	subSystem_CBNR	subSystem_BNRC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CB	MetabolicUnits_BC	MetabolicUnits_CBR	MetabolicUnits_BRC	MetabolicUnits_CBNR	MetabolicUnits_BNRC	Localization_CP	Localization_PC	Localization_CB	Localization_BC	Localization_CBR	Localization_BRC	Localization_CBNR	Localization_BNRC
CRTSLt	79.7899778924097	20.8051016341172	69.7126013264554	91.5829145728643	77.2836316663591	70.9766415302557	74.0829493087558	96.6415856120389	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_crtsl[e]	79.7899778924097	20.8051016341172	69.7126013264554	91.5829145728643	77.2836316663591	70.9766415302557	74.0829493087558	96.6415856120389	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
EX_pchol_hs[e]	79.7899778924097	46.6919091271423	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
FCOAH	79.7899778924097	68.6927062574731	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
FORMCOAtx	79.7899778924097	68.6927062574731	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
GALASE15ly	79.7899778924097	57.1542447190116	82.6271186440678	98.4206748025844	91.4190810112567	90.4910796395071	95.9815668202765	95.7606900348688	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	NA	NA	NA	NA	NA	NA	NA	NA	[l]	[l]	[l]	[l]	[l]	[l]	[l]	[l]
GALASE8ly	79.7899778924097	57.0346751693902	84.340456890199	95.5132806891601	87.3223842037276	90.2335846974434	87.8341013824885	80.49183336392	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	NA	NA	NA	NA	NA	NA	NA	NA	[l]	[l]	[l]	[l]	[l]	[l]	[l]	[l]
NACHEX14ly	79.7899778924097	57.0346751693902	84.340456890199	95.5132806891601	87.3223842037276	90.2335846974434	87.8341013824885	80.49183336392	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	NA	NA	NA	NA	NA	NA	NA	NA	[l]	[l]	[l]	[l]	[l]	[l]	[l]	[l]
PHYHx	79.7899778924097	68.6927062574731	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	[x]	[x]	[x]	[x]	[x]	[x]	[x]	[x]
S6TASE16ly	79.7899778924097	57.0346751693902	84.340456890199	91.8521177315147	91.1607307621332	90.2335846974434	87.8341013824885	80.49183336392	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	NA	NA	NA	NA	NA	NA	NA	NA	[l]	[l]	[l]	[l]	[l]	[l]	[l]	[l]
SPHS1Pte	79.7899778924097	54.7827819848545	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
SUCCtp	79.7899778924097	68.6927062574731	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
r0537	79.7899778924097	68.6927062574731	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Glycerophospholipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
r0541	79.7899778924097	67.3575129533679	85.280029476787	70.4414931801866	77.2836316663591	71.0502115137024	88.4055299539171	NA	Tryptophan metabolism	Tryptophan metabolism	Tryptophan metabolism	Tryptophan metabolism	Tryptophan metabolism	Tryptophan metabolism	Tryptophan metabolism	NA	lysine metabolism	lysine metabolism	lysine metabolism	lysine metabolism	lysine metabolism	lysine metabolism	lysine metabolism	NA	[m]	[m]	[m]	[m]	[m]	[m]	[m]	NA
r0786	79.7899778924097	68.6927062574731	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
