del_rxnID_KO	prctile_CP	prctile_PC	prctile_CB	prctile_BC	prctile_CBR	prctile_BRC	prctile_CBNR	prctile_BNRC	subSystem_CP	subSystem_PC	subSystem_CB	subSystem_BC	subSystem_CBR	subSystem_BRC	subSystem_CBNR	subSystem_BNRC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CB	MetabolicUnits_BC	MetabolicUnits_CBR	MetabolicUnits_BRC	MetabolicUnits_CBNR	MetabolicUnits_BNRC	Localization_CP	Localization_PC	Localization_CB	Localization_BC	Localization_CBR	Localization_BRC	Localization_CBNR	Localization_BNRC
EX_pchol_hs[e]	79.7899778924097	46.6919091271423	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
FCOAH	79.7899778924097	68.6927062574731	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
FORMCOAtx	79.7899778924097	68.6927062574731	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
PHYHx	79.7899778924097	68.6927062574731	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	alpha oxidation	[x]	[x]	[x]	[x]	[x]	[x]	[x]	[x]
SPHS1Pte	79.7899778924097	54.7827819848545	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
SUCCtp	79.7899778924097	68.6927062574731	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	Transport, peroxisomal	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
r0537	79.7899778924097	68.6927062574731	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Glycerophospholipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
r0786	79.7899778924097	68.6927062574731	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
r1457	79.7899778924097	68.6927062574731	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
EX_sphmyln_hs[e]	79.7899778924097	66.0023913909924	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
13_CIS_RETNte	79.7899778924097	31.7457154244719	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_13_cis_retn[e]	79.7899778924097	31.7457154244719	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
PPBNGte	79.7899778924097	11.8971701873256	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	52.688566709488	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_ppbng[e]	79.7899778924097	11.8971701873256	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	52.688566709488	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
HMR_0388	79.7899778924097	60.1036269430052	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
ABTArm	79.7899778924097	31.845356715823	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Glutamate metabolism	Glutamate metabolism	Glutamate metabolism	Glutamate metabolism	Glutamate metabolism	Glutamate metabolism	Glutamate metabolism	Glutamate metabolism	GABA aminotransferase	GABA aminotransferase	GABA aminotransferase	GABA aminotransferase	GABA aminotransferase	GABA aminotransferase	GABA aminotransferase	GABA aminotransferase	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[m]
4ABUTtm	79.7899778924097	31.845356715823	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_bhb[e]	79.7899778924097	23.6149860502192	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Exchange	Exchange/demand reaction	Exchange	Exchange	Exchange	Exchange	Exchange	Exchange	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
EX_ttdca[e]	79.7899778924097	38.9597449182941	69.7126013264554	62.4551328068916	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Exchange	Exchange/demand reaction	Exchange	Exchange/demand reaction	Exchange	Exchange	Exchange	Exchange	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
GACMTRc	68.2756079587325	28.0390593862096	69.7126013264554	92.2828427853553	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	creatine synthesis	creatine synthesis	creatine synthesis	creatine synthesis	creatine synthesis	creatine synthesis	creatine synthesis	creatine synthesis	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
GUDACtr2	68.2756079587325	24.4121163810283	69.7126013264554	92.2828427853553	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_gudac[e]	68.2756079587325	24.4121163810283	69.7126013264554	92.2828427853553	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
PCREATte	68.2756079587325	31.4667198086887	69.7126013264554	92.0315865039483	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_pcreat[e]	68.2756079587325	31.4667198086887	69.7126013264554	92.0315865039483	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
CK	68.2756079587325	44.0813072937425	69.7126013264554	98.1873653984207	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	phosphocreatine synthesis, mitochondria	phosphocreatine synthesis, mitochondria	phosphocreatine synthesis, mitochondria	phosphocreatine synthesis, mitochondria	phosphocreatine synthesis, mitochondria	phosphocreatine synthesis, mitochondria	phosphocreatine synthesis, mitochondria	phosphocreatine synthesis, mitochondria	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[m]
PCREATtmdiffir	68.2756079587325	44.0813072937425	69.7126013264554	98.1873653984207	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
CREATtmdiffir	68.2756079587325	44.0813072937425	69.7126013264554	98.1873653984207	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
RE2034C	67.0412675018423	25.5480271024312	74.0972733971997	26.9382627422828	93.6704188964754	52.5289681809822	79.4838709677419	24.1145164250321	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
C02356t	67.0412675018423	25.5480271024312	74.0972733971997	26.9382627422828	93.6704188964754	52.5289681809822	79.4838709677419	24.1145164250321	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_C02356[e]	67.0412675018423	25.5480271024312	74.0972733971997	26.9382627422828	93.6704188964754	52.5289681809822	79.4838709677419	24.1145164250321	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
H3MTer_U	66.5622697126013	55.9186927062575	78.7398673544584	72.505384063173	88.3373316109983	84.8813684016921	62.3963133640553	60.6716828775922	Phosphatidylinositol phosphate metabolism	Phosphatidylinositol phosphate metabolism	Phosphatidylinositol phosphate metabolism	Phosphatidylinositol phosphate metabolism	Phosphatidylinositol phosphate metabolism	Phosphatidylinositol phosphate metabolism	Phosphatidylinositol phosphate metabolism	Phosphatidylinositol phosphate metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[r]	[r]	[r]	[r]	[r]	[r]	[r]	[r]
DLNLCGCPT2	65.7332350773766	30.5500199282583	59.0088430361091	47.1284996410625	96.4200036907178	96.6893507448961	59.8709677419355	46.3020737750046	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[m]
HMR_3448	65.7332350773766	53.3479473893982	59.0088430361091	57.4300071787509	96.4200036907178	96.6893507448961	59.8709677419355	50.7065516608552	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	NA	NA	NA	NA	NA	NA	NA	NA	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[m]
HMR_2380	65.5674281503316	57.6125946592268	57.0560058953574	67.4264178033022	87.4146521498431	69.7995217951076	77.4746543778802	36.0616626904019	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
STRDNCCPT2	65.4753131908622	31.3471502590674	88.3566691230656	NA	95.6080457649013	63.6748206731653	61.7880184331797	56.1754450357864	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	NA	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	carnitine shuttle	carnitine shuttle	carnitine shuttle	NA	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	[m]	[m]	[m]	NA	[m]	[m]	[m]	[m]
HMR_3296	64.0567428150332	64.1689916301315	32.2033898305085	99.7846374730797	44.0671710647721	99.3746551407026	36.1658986175115	38.2271976509451	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	NA	NA	NA	NA	NA	NA	NA	NA	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[m]
NRPPHRt4_2_r	64.0383198231393	14.5277002789956	90.2726602800295	18.2340272792534	97.1212400811958	97.4250505793636	50.8387096774194	29.9137456414021	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
