Var1	Var2
BTNt2	Transport, extracellular
BTNt4i	Transport, extracellular
BTNtn	Transport, nuclear
C14STRr	Cholesterol metabolism
C160CPT1	Fatty acid oxidation
C160CPT2	Fatty acid oxidation
C160CRNt	Fatty acid oxidation
C161CPT1	Fatty acid oxidation
C161CPT12	Fatty acid oxidation
C161CPT2	Fatty acid oxidation
C161CPT22	Fatty acid oxidation
C161CRNt	Fatty acid oxidation
C180CPT1	Fatty acid oxidation
C180CPT2	Fatty acid oxidation
C180CRNt	Fatty acid oxidation
C181CPT1	Fatty acid oxidation
C181CPT2	Fatty acid oxidation
C181CRNt	Fatty acid oxidation
C204CPT1	Fatty acid oxidation
C204CPT2	Fatty acid oxidation
C204CRNt	Fatty acid oxidation
C226CPT1	Fatty acid oxidation
C226CPT2	Fatty acid oxidation
C226CRNt	Fatty acid oxidation
C3STDH1Pr	Cholesterol metabolism
C3STDH1r	Cholesterol metabolism
C3STKR2r	Cholesterol metabolism
C4STMO1r	Cholesterol metabolism
C4STMO2Pr	Cholesterol metabolism
C4STMO2r	Cholesterol metabolism
CAATPS	Transport, extracellular
CAt7r	Transport, extracellular
CATm	ROS detoxification
CATp	Miscellaneous
CBL2OR	Vitamin B12 metabolism
CBL2tm	Transport, mitochondrial
CBPPer	Glycolysis/gluconeogenesis
CBPter	Transport, endoplasmic reticular
CBR2	Eicosanoid metabolism
CDIPTr	Glycerophospholipid metabolism
CDS	Glycerophospholipid metabolism
CDSm	Glycerophospholipid metabolism
CERT1gt	Transport, golgi apparatus
CERT1rt	Transport, endoplasmic reticular
CHAT	Glycerophospholipid metabolism
CHATn	Glycerophospholipid metabolism
CHLPCTD	Glycerophospholipid metabolism
CHOLATEt	Transport, extracellular
CHOLD2m	Glycine, serine, alanine, and threonine metabolism
CHOLt4	Citric acid cycle
CHOLtg	Transport, golgi apparatus
CHOLtn	Transport, nuclear
CHOLtr	Transport, endoplasmic reticular
CHOLtu	Transport, extracellular
CHSTEROLt1	Transport, mitochondrial
CHSTEROLt2	Transport, mitochondrial
CHSTEROLtg	Transport, golgi apparatus
CHTNASE	Aminosugar metabolism
CITRtm	Transport, mitochondrial
CITtam	Transport, mitochondrial
CITtbm	Transport, mitochondrial
CKc	Urea cycle
CLOXAtex2	Transport, extracellular
CLPNDCPT1	Fatty acid oxidation
CLPNDCPT2	Fatty acid oxidation
CLPNDCRNt	Fatty acid oxidation
CMPACNAtg	Transport, golgi apparatus
CMPACNAtn	Transport, nuclear
CMPSAS	Aminosugar metabolism
CMPSASn	Aminosugar metabolism
CO2ter	Transport, endoplasmic reticular
CO2tg	Transport, golgi apparatus
CO2tm	Transport, mitochondrial
CO2tp	Transport, peroxisomal
COAtm	Transport, mitochondrial
COAtn	Transport, nuclear
COAtp	Transport, peroxisomal
COAtr	Transport, endoplasmic reticular
CORE2GTg	O-glycan metabolism
CORE3GTg	O-glycan metabolism
CORE4GTg	O-glycan metabolism
COt	Transport, extracellular
CREATt4_2_r	Transport, extracellular
CRMPte	Transport, extracellular
CRNt	Transport, extracellular
CRNtim	Transport, mitochondrial
CRNtuNa	Transport, extracellular
CRNtx	Transport, peroxisomal
CRTSLt	Transport, extracellular
CRTSLtr	Transport, endoplasmic reticular
CRVNCtr	Transport, extracellular
CSAPASEly	Chondroitin sulfate degradation
CSBPASEly	Chondroitin sulfate degradation
CSCPASEly	Chondroitin sulfate degradation
CSDPASEly	Chondroitin sulfate degradation
CSEPASEly	Chondroitin sulfate degradation
CSm	Citric acid cycle
CSNAT2m	Fatty acid oxidation
CSNAT2x	Fatty acid oxidation
CSNATm	Fatty acid oxidation
CSNATp	Fatty acid oxidation
CSNATr	Fatty acid oxidation
CSPG_At	Transport, extracellular
CSPG_Atly	Transport, lysosomal
CSPG_Btly	Transport, lysosomal
CSPG_Ct	Transport, extracellular
CSPG_Ctly	Transport, lysosomal
CSPG_Dt	Transport, extracellular
CSPG_Dtly	Transport, lysosomal
CSPG_Et	Transport, extracellular
CSPG_Etly	Transport, lysosomal
CTPtn	Transport, nuclear
CYANt	Transport, extracellular
CYANtm	Transport, mitochondrial
CYSGLTH	Methionine and cysteine metabolism
CYSGLUexR	Transport, extracellular
CYSGLYexR	Transport, extracellular
CYSO	Taurine and hypotaurine metabolism
CYSt4	Transport, extracellular
CYSTA	Methionine and cysteine metabolism
CYStec	Transport, extracellular
CYTD	Pyrimidine catabolism
CYTDK1	Nucleotide interconversion
CYTDt	Transport, extracellular
CYTDtl	Transport, lysosomal
CYTK10	Nucleotide interconversion
CYTK10n	Nucleotide interconversion
CYTK11	Nucleotide interconversion
CYTK11n	Nucleotide interconversion
CYTK12	Nucleotide interconversion
CYTK12n	Nucleotide interconversion
CYTK13	Nucleotide interconversion
CYTK13n	Nucleotide interconversion
CYTK14	Nucleotide interconversion
CYTK14n	Nucleotide interconversion
CYTK1m	Nucleotide interconversion
CYTK1n	Nucleotide interconversion
CYTK2n	Nucleotide interconversion
CYTK3	Nucleotide interconversion
CYTK3n	Nucleotide interconversion
CYTK4	Nucleotide interconversion
CYTK4n	Nucleotide interconversion
CYTK5	Nucleotide interconversion
CYTK6	Nucleotide interconversion
CYTK6n	Nucleotide interconversion
CYTK7	Nucleotide interconversion
CYTK7n	Nucleotide interconversion
CYTK8	Nucleotide interconversion
CYTK8n	Nucleotide interconversion
CYTK9	Nucleotide interconversion
CYTK9n	Nucleotide interconversion
D_3AIBt	Transport, extracellular
D3AIBTm	Pyrimidine catabolism
DADNt4	Transport, extracellular
DAG_HSter	Transport, endoplasmic reticular
DAGK_hs	Glycerophospholipid metabolism
DAGt	Transport, extracellular
DALAt2r	Transport, extracellular
DASCBR	Vitamin C metabolism
DASPO1p	Alanine and aspartate metabolism
DCIm	Fatty acid oxidation
DCK1m	Nucleotide interconversion
DCK1n	Nucleotide interconversion
DCK2n	Nucleotide interconversion
DCSPTN1COAtx	Transport, peroxisomal
DCSPTN1CPT1	Fatty acid oxidation
DCSPTN1CPT2	Fatty acid oxidation
DCSPTN1CRNt	Fatty acid oxidation
DCSPTN1t	Transport, extracellular
DCT	Tyrosine metabolism
DCTPtn	Transport, nuclear
DCYTt	Transport, extracellular
DDPGAm	Arginine and proline metabolism
DESAT16_2	Fatty acid synthesis
DESAT18_10	Fatty acid synthesis
DESAT18_3	Fatty acid synthesis
DESAT18_4	Fatty acid synthesis
DESAT18_5	Fatty acid synthesis
DESAT18_6	Fatty acid synthesis
DESAT18_7	Fatty acid synthesis
DESAT18_8	Fatty acid synthesis
DESAT18_9	Fatty acid synthesis
DESAT20_1	Fatty acid synthesis
DESAT20_2	Fatty acid synthesis
DESAT24_1	Fatty acid synthesis
DGAT	Triacylglycerol synthesis
DGCHOLte	Transport, extracellular
DGCHOLtx	Transport, peroxisomal
DGK2m	Nucleotide interconversion
DGNSKm	Nucleotide interconversion
DGSNt	Transport, extracellular
DGSNtm	Transport, mitochondrial
DGULND	Pentose phosphate pathway
DHCHOLESTANATEtm	Transport, peroxisomal
DHCR243r	Cholesterol metabolism
DHCR71r	Cholesterol metabolism
DHCR72r	Cholesterol metabolism
DHEASt	Transport, extracellular
DHFtl	Transport, lysosomal
DHPR2	Tetrahydrobiopterin metabolism
DIDPtn	Transport, nuclear
DIGALSIDEtg	Transport, golgi apparatus
DIGALSIDEtl	Transport, lysosomal
DINt	Transport, extracellular
DITPtn	Transport, nuclear
D_LACt2	Transport, extracellular
D_LACtm	Transport, mitochondrial
DLNLCGCPT1	Fatty acid oxidation
DLNLCGCPT2	Fatty acid oxidation
DLNLCGCRNt	Fatty acid oxidation
DLNLCGt	Transport, extracellular
DM_Asn_X_Ser_Thr_ly_	Exchange/demand reaction
DM_core5_g_	Exchange/demand reaction
DM_core7_g_	Exchange/demand reaction
DM_core8_g_	Exchange/demand reaction
DM_dctp_m_	Exchange/demand reaction
DM_dem2emgacpail_prot_hs_r_	Exchange/demand reaction
DM_dgpi_prot_hs_r_	Exchange/demand reaction
DM_gpi_sig_er_	Exchange/demand reaction
DM_m_em_3gacpail_prot_hs_r_	Exchange/demand reaction
DM_melanin_c_	Exchange/demand reaction
DM_n5m2masn_g_	Exchange/demand reaction
DM_Ser_Gly_Ala_X_Gly_ly_	Exchange/demand reaction
DMHPTCRNCPT2	Fatty acid oxidation
DMHPTCRNt	Fatty acid oxidation
DMHPTCRNte	Transport, extracellular
DMNONCOACRNCPT1	Fatty acid oxidation
DMNONCRNCPT2	Fatty acid oxidation
DMNONCRNt	Fatty acid oxidation
DNADtn	Transport, nuclear
DNDPt23m	Transport, mitochondrial
DNDPt28m	Transport, mitochondrial
DNDPt38m	Transport, mitochondrial
DNDPt39m	Transport, mitochondrial
DOLGLCP_Lter	N-glycan synthesis
DOLGPP_Ler	N-glycan synthesis
DOLICHOL_Lter	N-glycan synthesis
DOLICHOL_Uter	N-glycan synthesis
DOLK_L	N-glycan synthesis
DOLK_U	N-glycan synthesis
DOLMANP_Uter	N-glycan synthesis
DOLPGT3_Ler	N-glycan synthesis
DOLPGT3_Uer	N-glycan synthesis
DOLPMT3_Uer	N-glycan synthesis
DOLPMT4_Uer	N-glycan synthesis
DOPAMT	Tyrosine metabolism
DOPAQNISO1	Tyrosine metabolism
DOPAt4_2_r	Transport, extracellular
DOPAtu	Transport, extracellular
DPMVDx	Cholesterol metabolism
DRIBt	Transport, extracellular
DTDPtn	Transport, nuclear
DTTPtn	Transport, nuclear
DUDPtn	Transport, nuclear
DUMPtn	Transport, nuclear
DURAD2	Pyrimidine catabolism
DURIK1	Nucleotide interconversion
DURIt	Transport, extracellular
DUTPDPm	Nucleotide interconversion
DUTPDPn	Nucleotide interconversion
EBP1r	Cholesterol metabolism
ECOAH12m	Valine, leucine, and isoleucine metabolism
ECOAH1m	Tryptophan metabolism
ECOAH1x	Tryptophan metabolism
ECOAH9m	Valine, leucine, and isoleucine metabolism
EHGLAT2m	Arginine and proline metabolism
EHGLATm	Arginine and proline metabolism
EICOSTETCPT1	Fatty acid oxidation
EICOSTETCPT2	Fatty acid oxidation
EICOSTETCRNt	Fatty acid oxidation
ELAIDCPT1	Fatty acid oxidation
ELAIDCPT2	Fatty acid oxidation
ELAIDCRNt	Fatty acid oxidation
ELAIDt	Transport, extracellular
ENGASE2ly	N-glycan degradation
ENGASE3ly	Keratan sulfate degradation
ENGASEly	N-glycan degradation
ESTRADIOLt	Transport, extracellular
ESTRADIOLtr	Transport, endoplasmic reticular
ESTRIOLtr	Transport, endoplasmic reticular
ESTRONESt	Transport, extracellular
ESTRONEtr	Transport, endoplasmic reticular
ETF	Fatty acid oxidation
ETFQO	Fatty acid oxidation
ETHAK	Glycerophospholipid metabolism
ETHP	Glycerophospholipid metabolism
EX_10fthf[e]	Exchange/demand reaction
EX_10fthf5glu[e]	Exchange/demand reaction
EX_10fthf6glu[e]	Exchange/demand reaction
EX_10fthf7glu[e]	Exchange/demand reaction
EX_2hb[e]	Exchange/demand reaction
EX_34dhoxpeg[e]	Exchange/demand reaction
EX_34dhphe[e]	Exchange/demand reaction
EX_3aib[e]	Exchange/demand reaction
EX_3aib_D[e]	Exchange/demand reaction
EX_3mlda[e]	Exchange/demand reaction
EX_4hphac[e]	Exchange/demand reaction
EX_4nph[e]	Exchange/demand reaction
EX_5adtststerone[e]	Exchange/demand reaction
EX_5adtststerones[e]	Exchange/demand reaction
EX_5dhf[e]	Exchange/demand reaction
EX_5mthf[e]	Exchange/demand reaction
EX_5thf[e]	Exchange/demand reaction
EX_6thf[e]	Exchange/demand reaction
EX_7dhf[e]	Exchange/demand reaction
EX_7thf[e]	Exchange/demand reaction
EX_acetone[e]	Exchange/demand reaction
EX_acnacngal14acglcgalgluside_hs[e]	Exchange/demand reaction
EX_acnacngalgbside_hs[e]	Exchange/demand reaction
EX_acngalacglcgal14acglcgalgluside_hs[e]	Exchange/demand reaction
EX_adp[e]	Exchange/demand reaction
EX_adprbp[e]	Exchange/demand reaction
EX_adrn[e]	Exchange/demand reaction
EX_adrnl[e]	Exchange/demand reaction
EX_ak2lgchol_hs[e]	Exchange/demand reaction
EX_ala_B[e]	Exchange/demand reaction
EX_ala_D[e]	Exchange/demand reaction
EX_amp[e]	Exchange/demand reaction
EX_andrstrn[e]	Exchange/demand reaction
EX_aqcobal[e]	Exchange/demand reaction
EX_arach[e]	Exchange/demand reaction
EX_arachd[e]	Exchange/demand reaction
EX_asp_D[e]	Exchange/demand reaction
EX_atp[e]	Exchange/demand reaction
EX_avite1[e]	Exchange/demand reaction
EX_bhb[e]	Exchange/demand reaction
EX_bilglcur[e]	Exchange/demand reaction
EX_bilirub[e]	Exchange/demand reaction
EX_chol[e]	Exchange/demand reaction
EX_chsterol[e]	Exchange/demand reaction
EX_chtn[e]	Exchange/demand reaction
EX_clpnd[e]	Exchange/demand reaction
EX_cmp[e]	Exchange/demand reaction
EX_co[e]	Exchange/demand reaction
EX_crmp_hs[e]	Exchange/demand reaction
EX_crn[e]	Exchange/demand reaction
EX_crtsl[e]	Exchange/demand reaction
EX_cspg_b[e]	Exchange/demand reaction
EX_cyan[e]	Exchange/demand reaction
EX_dag_hs[e]	Exchange/demand reaction
EX_dcsptn1[e]	Exchange/demand reaction
EX_dgchol[e]	Exchange/demand reaction
EX_dhf[e]	Exchange/demand reaction
EX_dlnlcg[e]	Exchange/demand reaction
EX_dmhptcrn[e]	Exchange/demand reaction
EX_dopa[e]	Exchange/demand reaction
EX_eicostet[e]	Exchange/demand reaction
EX_elaid[e]	Exchange/demand reaction
EX_estradiol[e]	Exchange/demand reaction
EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[e]	Exchange/demand reaction
EX_gbside_hs[e]	Exchange/demand reaction
EX_gchola[e]	Exchange/demand reaction
EX_gd1c_hs[e]	Exchange/demand reaction
EX_gdp[e]	Exchange/demand reaction
EX_gluala[e]	Exchange/demand reaction
EX_glyc_S[e]	Exchange/demand reaction
EX_glygn5[e]	Exchange/demand reaction
EX_gmp[e]	Exchange/demand reaction
EX_gp1calpha_hs[e]	Exchange/demand reaction
EX_gq1b_hs[e]	Exchange/demand reaction
EX_gsn[e]	Exchange/demand reaction
EX_gt1a_hs[e]	Exchange/demand reaction
EX_gthrd[e]	Exchange/demand reaction
EX_h2o2[e]	Exchange/demand reaction
EX_ha[e]	Exchange/demand reaction
EX_hco3[e]	Exchange/demand reaction
EX_hdca[e]	Exchange/demand reaction
EX_hdcea[e]	Exchange/demand reaction
EX_hestratriol[e]	Exchange/demand reaction
EX_hexc[e]	Exchange/demand reaction
EX_hista[e]	Exchange/demand reaction
EX_hpdca[e]	Exchange/demand reaction
EX_i[e]	Exchange/demand reaction
EX_idp[e]	Exchange/demand reaction
EX_imp[e]	Exchange/demand reaction
EX_inost[e]	Exchange/demand reaction
EX_ksi[e]	Exchange/demand reaction
EX_lac_D[e]	Exchange/demand reaction
EX_leuktrB4[e]	Exchange/demand reaction
EX_leuktrC4[e]	Exchange/demand reaction
EX_leuktrD4[e]	Exchange/demand reaction
EX_leuktrE4[e]	Exchange/demand reaction
EX_leuktrF4[e]	Exchange/demand reaction
EX_lgnc[e]	Exchange/demand reaction
EX_lipoate[e]	Exchange/demand reaction
EX_lneldc[e]	Exchange/demand reaction
EX_lnlc[e]	Exchange/demand reaction
EX_lnlnca[e]	Exchange/demand reaction
EX_lpchol_hs[e]	Exchange/demand reaction
EX_mag_hs[e]	Exchange/demand reaction
EX_meoh[e]	Exchange/demand reaction
EX_mercplaccys[e]	Exchange/demand reaction
EX_n2m2nmasn[e]	Exchange/demand reaction
EX_nad[e]	Exchange/demand reaction
EX_nrpphr[e]	Exchange/demand reaction
EX_nrvnc[e]	Exchange/demand reaction
EX_o2s[e]	Exchange/demand reaction
EX_oagt3_hs[e]	Exchange/demand reaction
EX_ocdca[e]	Exchange/demand reaction
EX_ocdcea[e]	Exchange/demand reaction
EX_octa[e]	Exchange/demand reaction
EX_oxa[e]	Exchange/demand reaction
EX_paf_hs[e]	Exchange/demand reaction
EX_pchol_hs[e]	Exchange/demand reaction
EX_pe_hs[e]	Exchange/demand reaction
EX_peplys[e]	Exchange/demand reaction
EX_pglyc_hs[e]	Exchange/demand reaction
EX_phyt[e]	Exchange/demand reaction
EX_prostgd2[e]	Exchange/demand reaction
EX_prostge1[e]	Exchange/demand reaction
EX_prostge2[e]	Exchange/demand reaction
EX_ps_hs[e]	Exchange/demand reaction
EX_ptdca[e]	Exchange/demand reaction
EX_retn[e]	Exchange/demand reaction
EX_retnglc[e]	Exchange/demand reaction
EX_Rtotal[e]	Exchange/demand reaction
EX_Rtotal2[e]	Exchange/demand reaction
EX_s2l2fn2m2masn[e]	Exchange/demand reaction
EX_sl_L[e]	Exchange/demand reaction
EX_spc_hs[e]	Exchange/demand reaction
EX_sph1p[e]	Exchange/demand reaction
EX_sphs1p[e]	Exchange/demand reaction
EX_srtn[e]	Exchange/demand reaction
EX_strdnc[e]	Exchange/demand reaction
EX_tag_hs[e]	Exchange/demand reaction
EX_tagat_D[e]	Exchange/demand reaction
EX_tchola[e]	Exchange/demand reaction
EX_tcynt[e]	Exchange/demand reaction
EX_tdchola[e]	Exchange/demand reaction
EX_tethex3[e]	Exchange/demand reaction
EX_tetpent3[e]	Exchange/demand reaction
EX_tetpent6[e]	Exchange/demand reaction
EX_thf[e]	Exchange/demand reaction
EX_thmmp[e]	Exchange/demand reaction
EX_thym[e]	Exchange/demand reaction
EX_thyox_L[e]	Exchange/demand reaction
EX_tmndnc[e]	Exchange/demand reaction
EX_tststerone[e]	Exchange/demand reaction
EX_tsul[e]	Exchange/demand reaction
EX_txa2[e]	Exchange/demand reaction
EX_Tyr_ggn[e]	Exchange/demand reaction
EX_urate[e]	Exchange/demand reaction
EX_utp[e]	Exchange/demand reaction
EX_vacc[e]	Exchange/demand reaction
EX_whtststerone[e]	Exchange/demand reaction
EX_xolest_hs[e]	Exchange/demand reaction
EX_xoltri24[e]	Exchange/demand reaction
EX_xoltri27[e]	Exchange/demand reaction
EX_xylt[e]	Exchange/demand reaction
F1Atg	Transport, golgi apparatus
F1PGT	Fructose and mannose metabolism
FACOAL140i	Fatty acid oxidation
FACOAL150	Fatty acid oxidation
FACOAL160i	Fatty acid oxidation
FACOAL170	Fatty acid oxidation
FACOAL180i	Fatty acid oxidation
FACOAL181i	Fatty acid oxidation
FACOAL1821	Fatty acid oxidation
FACOAL1831	Fatty acid oxidation
FACOAL204	Fatty acid oxidation
FACOAL2251	Fatty acid oxidation
FACOAL244_1	Fatty acid oxidation
FACOAL245_1	Fatty acid oxidation
FACOAL245_2	Fatty acid oxidation
FACOAL80i	Fatty acid oxidation
FADDP	Vitamin B2 metabolism
FADH2tru	Transport, endoplasmic reticular
FADtru	Transport, endoplasmic reticular
FALDH	Tyrosine metabolism
FAOXC11	Fatty acid oxidation
