name	iPS_Ctrl_TP_vs_iPS_BD_NR_TP	iPS_Ctrl_TP_vs_iPS_BD_R_TP	iPS_Ctrl_TP_vs_iPS_BD_TP	UnChanged_iPS_Ctrl_TP_vs_Primary_TP
EX_tyr_L[e]	0	0	1	1
EX_tyrala[e]	0	0	1	1
EX_tyrglu[e]	0	0	1	1
EX_tyrphetyr[e]	0	0	1	1
EX_tyrtyr[e]	0	0	1	1
EX_urate[e]	0	0	1	1
EX_urea[e]	1	0	1	0
EX_xan[e]	0	1	1	0
EX_xol27oh[e]	0	1	1	1
EX_xol7aone[e]	0	1	1	1
EX_xtsn[e]	0	1	1	0
EX_xyl_D[e]	1	1	1	0
EX_xylt[e]	1	1	1	0
EX_xylu_D[e]	1	1	1	0
EX_xylu_L[e]	1	1	1	0
FADH2tx	1	1	1	0
FADtx	1	1	1	0
FAOXC101x	1	1	1	1
FAOXC102C103m	1	0	1	1
FAOXC102C81m	1	0	1	1
FAOXC102m	1	0	1	1
FAOXC103C102m	1	0	1	1
FAOXC123C102m	1	0	1	1
FAOXC123m	1	0	1	1
FAOXC143C123m	1	0	1	1
FAOXC162C142m	1	1	1	0
FAOXC164C143m	1	0	1	1
FAOXC164C165m	1	0	1	1
FAOXC164m	1	0	1	1
FAOXC165C164m	1	0	1	1
FAOXC181C161m	0	0	1	0
FAOXC182C162m	1	1	1	0
FAOXC184C164m	1	0	1	0
FAOXC61m	1	0	1	1
FAOXC81C61m	1	0	1	1
FATP2t	0	0	1	0
FATP3t	1	0	1	0
FATP8t	0	0	1	1
FDH	0	0	1	0
FORt2m	1	1	1	0
FTHFDH	1	1	1	0
FTHFLm	1	1	1	0
GARFT	1	1	1	0
GCALDD	1	0	1	0
GCALDDm	1	1	1	0
GGH_5THFl	0	0	1	1
GGH_6THFl	0	0	1	1
GGH_7THFl	0	0	1	1
GK1	1	1	1	1
GLACO	1	0	1	0
GLCRt1	1	0	1	0
GLCURter	1	0	1	0
GLCURtr	1	1	1	0
GLDBRAN	1	0	1	0
GLNPROGLUr	1	0	1	0
GLNPROGLUt	1	0	1	0
GLPASE2	1	0	1	0
GLUPRT	1	1	1	0
GLYALDtr	1	1	1	0
GLYC_Rt	1	1	1	0
GLYC_St	1	1	1	0
GLYCLTtd	1	1	1	0
GLYCLTtm	1	1	1	0
GLYOX	1	1	1	0
GLYOXm	1	1	1	0
GLYPROPRO1c	1	1	1	1
GLYPROt	1	1	1	1
GSNt2r	0	1	1	0
GTHS	1	1	1	0
GUAPRT	1	1	1	0
GULN3D	1	1	1	0
H2CO3Dm	0	0	1	1
HACD1m	1	1	1	0
HC02149td	0	0	1	1
HEX1	1	1	1	0
HEXCOAACBP	1	1	1	0
HIBDm	0	0	1	0
HMGCOASim	0	1	1	0
HMGCOAtm	1	1	1	0
HMGLm	0	0	1	0
HMR_0271	0	0	1	0
HMR_0272	0	0	1	0
HMR_0342	1	1	1	0
HMR_0366	1	0	1	0
HMR_0410	0	0	1	0
HMR_0414	0	0	1	0
HMR_0426	1	1	1	0
HMR_0593	1	0	1	0
HMR_0598	0	1	1	0
HMR_0601	1	0	1	0
HMR_0614	0	1	1	0
HMR_0642	0	1	1	0
HMR_0672	1	0	1	0
HMR_0678	1	0	1	0
HMR_0750	1	0	1	0
HMR_0753	1	0	1	0
HMR_0758	1	0	1	0
HMR_1311	0	1	1	0
HMR_2259	0	1	1	0
HMR_2260	0	1	1	0
HMR_2261	0	1	1	0
HMR_2262	0	1	1	0
HMR_2263	0	1	1	0
HMR_2264	0	1	1	0
HMR_2265	0	1	1	0
HMR_2266	0	1	1	0
HMR_2292	0	0	1	0
HMR_2293	0	0	1	0
HMR_2294	0	0	1	0
HMR_2296	0	0	1	0
HMR_2342	0	0	1	0
HMR_2343	0	0	1	0
HMR_2344	0	0	1	0
HMR_2345	0	0	1	0
HMR_2347	0	0	1	0
HMR_2348	0	0	1	0
HMR_2349	0	0	1	0
HMR_2350	0	0	1	0
HMR_2368	1	0	1	0
HMR_2374	0	0	1	0
HMR_2376	0	0	1	0
HMR_2433	0	1	1	0
HMR_2434	0	1	1	0
HMR_2435	0	1	1	0
HMR_2436	0	1	1	0
HMR_2457	1	0	1	0
HMR_2484	0	1	1	0
HMR_2602	1	0	1	0
HMR_2603	1	0	1	0
HMR_2604	1	0	1	0
HMR_2608	0	0	1	1
HMR_2609	0	0	1	1
HMR_2610	0	0	1	1
HMR_2634	1	0	1	1
HMR_2657	0	0	1	0
HMR_2666	0	1	1	0
HMR_2668	1	0	1	0
HMR_2669	0	0	1	0
HMR_2670	0	0	1	0
HMR_2671	0	0	1	0
HMR_2681	0	0	1	0
HMR_2682	0	0	1	0
HMR_2683	0	0	1	0
HMR_2687	0	0	1	0
HMR_2688	0	0	1	0
HMR_2689	0	0	1	0
HMR_2699	0	1	1	0
HMR_2700	0	1	1	0
HMR_2701	0	1	1	0
HMR_2768	0	1	1	0
HMR_2769	0	1	1	0
HMR_2770	0	1	1	0
HMR_2771	0	1	1	0
HMR_2772	0	1	1	0
HMR_2773	0	1	1	0
HMR_2774	0	1	1	1
HMR_2775	0	1	1	1
HMR_2776	0	1	1	1
HMR_2851	0	0	1	0
HMR_2852	0	0	1	0
HMR_2973	0	0	1	1
HMR_3070	0	0	1	1
HMR_3071	0	0	1	1
HMR_3072	0	0	1	1
HMR_3073	0	0	1	1
HMR_3074	0	0	1	0
HMR_3075	0	0	1	0
HMR_3076	0	0	1	0
HMR_3111	1	1	1	0
HMR_3112	1	1	1	0
HMR_3113	1	1	1	0
HMR_3114	1	1	1	0
HMR_3115	0	0	1	0
HMR_3116	1	0	1	0
HMR_3117	1	0	1	0
HMR_3118	1	0	1	0
HMR_3121	0	0	1	1
HMR_3128	0	0	1	1
HMR_3135	0	0	1	1
HMR_3170	0	1	1	0
HMR_3171	0	1	1	0
HMR_3172	0	1	1	0
HMR_3173	0	1	1	0
HMR_3174	0	1	1	0
HMR_3175	0	1	1	0
HMR_3176	0	1	1	0
HMR_3177	0	1	1	0
HMR_3229	0	1	1	1
HMR_3230	0	1	1	1
HMR_3231	0	1	1	1
HMR_3232	0	1	1	1
HMR_3233	0	1	1	1
HMR_3240	0	0	1	0
HMR_3241	0	0	1	0
HMR_3242	0	0	1	0
HMR_3243	0	0	1	0
HMR_3244	0	0	1	0
HMR_3245	0	0	1	0
HMR_3246	0	0	1	0
HMR_3247	0	0	1	0
HMR_3322	1	1	1	1
HMR_3407	1	0	1	0
HMR_3408	0	0	1	0
HMR_3411	0	0	1	0
HMR_3421	0	1	1	0
HMR_3423	0	1	1	0
HMR_3424	0	1	1	0
HMR_3425	0	1	1	1
HMR_3427	0	1	1	0
HMR_3428	0	0	1	1
HMR_3448	0	0	1	0
HMR_3449	0	0	1	0
HMR_3450	0	0	1	0
HMR_3451	0	0	1	0
HMR_3452	0	1	1	0
HMR_3453	0	1	1	0
HMR_3454	0	1	1	0
HMR_3455	0	1	1	0
HMR_3456	0	1	1	0
HMR_3457	0	1	1	0
HMR_3831	0	0	1	1
HMR_3951	1	1	1	0
HMR_4078	1	1	1	0
HMR_4079	1	1	1	0
HMR_4592	1	1	1	0
HMR_4696	1	0	1	0
HMR_4776	1	1	1	0
HMR_4790	1	1	1	0
HMR_5387	1	1	1	0
HMR_5389	1	1	1	0
HMR_6515	1	1	1	1
HMR_6545	0	1	1	0
HMR_6611	0	0	1	1
HMR_7198	1	0	1	1
HMR_7757	1	0	1	0
HMR_8505	1	1	1	0
HMR_8510	1	1	1	0
HMR_8776	1	1	1	0
HMR_9639	0	0	1	1
HMR_9652	0	0	1	1
HMR_9719	1	0	1	0
HMR_9797	1	1	1	0
HPDCACRNCPT1	0	1	1	0
HPDCACRNCPT2	0	1	1	0
HPYRDCm	1	1	1	0
HPYRR2x	1	1	1	0
Htr	0	1	1	1
HXPRT	1	1	1	0
ILEt5m	0	1	1	1
ILETA	0	1	1	1
ILETAm	0	1	1	1
IMPC	1	0	1	0
IMPD	1	1	1	0
IMPtr	0	1	1	0
INSTt4	1	1	1	0
LALDO	0	0	1	1
LCADi	1	1	1	0
LCADi_D	0	1	1	0
LCADim	1	1	1	0
LCYSTAT	1	1	1	0
LCYSTt	1	1	1	0
LEUKTRF4t	1	1	1	0
LEULEUt	0	0	1	1
LEUTYRTYRr	0	0	1	1
LEUTYRTYRt	0	0	1	1
LGTHL	1	0	1	1
LNLCCPT2	1	1	1	0
LNLCt	1	1	1	0
LTD4DP	1	0	1	1
MDRPD	1	1	1	0
ME1m	0	0	1	1
ME2	0	0	1	0
ME2m	0	0	1	1
METAT	0	1	1	0
MMEm	0	1	1	0
MMMm	0	0	1	0
MTAP	1	1	1	0
MTHFC	1	1	1	0
MTHFCm	1	1	1	0
MTRI	1	1	1	0
N8ASPMDte	0	0	1	0
NAtx	0	1	1	1
NDPK4m	1	0	1	0
NDPK5m	0	1	1	0
NDPK8m	1	0	1	0
NICRNtr	0	1	1	0
NMNATr	0	1	1	0
NMNS	1	1	1	0
NTD10	1	1	1	0
NTD11	1	1	1	0
NTD5_a	0	0	1	0
NTD8	1	1	1	0
NTD9	1	1	1	0
O2tm	0	1	1	0
O2tp	0	1	1	0
OCD11COACPT1	0	0	1	0
OCD11CRNCACT	0	0	1	0
OCD11CRNCPT2	0	0	1	0
OCOAT1m	0	1	1	0
OROTGLUt	0	1	1	0
PAFABCt	0	1	1	0
PAIL_HStn	0	1	1	0
PAPStg	1	0	1	0
PAPtg	1	0	1	0
PCm	0	0	1	0
PE_HStm	0	1	1	0
PETHCT	0	1	1	0
PGCD	1	1	1	0
PI5P4K	0	1	1	1
PIK5	0	1	1	0
PItx	1	1	1	0
PNP	0	0	1	0
PPAm	1	1	1	1
PPDOy	0	0	1	1
PRAGSr	1	1	1	0
PRASCS	1	1	1	0
PRFGS	1	1	1	0
PROGLNPROr	1	0	1	0
PROGLNPROt	1	0	1	0
PROLYSPROr	1	0	1	1
PROLYSPROt	1	0	1	1
PROPROARGr	1	0	1	1
PROPROARGt	1	0	1	1
PROPROPROr	1	0	1	0
PROPROPROt	1	0	1	0
PSDm_hs	0	1	1	0
PSERT	1	1	1	0
PSFLIPm	0	1	1	0
PSSA1_hs	1	0	1	1
PSSA2_hs	1	1	1	0
PTCRTD	0	0	1	0
PUNP3	1	0	1	1
PUNP4	1	1	1	0
PUNP5	1	1	1	0
PUNP7	1	0	1	1
r0009	1	0	1	0
r0022	0	1	1	0
r0074	1	0	1	0
r0193	1	1	1	0
r0210	1	1	1	0
r0276	1	1	1	0
r0308	0	0	1	1
r0309	0	0	1	1
r0310	0	1	1	0
r0354	1	1	1	0
r0355	1	1	1	0
r0390	1	1	1	0
r0391	0	1	1	0
r0392	1	1	1	0
r0394	1	1	1	0
r0398	0	0	1	1
r0407	1	1	1	1
r0431	1	1	1	0
r0432	1	1	1	0
r0441	1	1	1	0
r0444	1	1	1	1
r0463	0	0	1	0
r0474	1	0	1	0
r0480	0	1	1	0
r0511	0	0	1	0
r0512	1	1	1	0
r0527	1	1	1	0
r0531	0	0	1	1
r0570	1	0	1	0
r0571	0	1	1	0
r0616	0	1	1	0
r0617	1	1	1	0
r0629	0	0	1	0
r0630	0	0	1	1
r0633	1	0	1	0
r0634	1	1	1	0
r0638	1	1	1	0
r0641	0	1	1	0
r0652	1	0	1	1
r0660	1	1	1	1
r0661	0	1	1	0
r0666	1	1	1	0
r0722	1	0	1	0
r0723	0	1	1	0
r0724	1	0	1	0
r0726	1	1	1	0
r0727	1	1	1	1
r0728	1	1	1	0
r0729	1	1	1	1
r0735	1	1	1	0
r0747	0	1	1	1
r0788	0	1	1	0
r0789	0	1	1	0
r0791	1	1	1	1
r0818	0	0	1	0
r0899	1	1	1	0
r0941	0	0	1	0
r0942	0	0	1	0
r0944	1	1	1	0
r0986	0	0	1	1
r1000	1	1	1	1
r1005	1	1	1	0
r1007	1	1	1	0
r1078	0	0	1	1
r1117	1	0	1	0
r1143	1	0	1	1
r1156	0	0	1	0
r1262	1	1	1	1
r1292	1	1	1	0
r1383	0	0	1	0
r1384	1	0	1	1
r1445	0	1	1	0
r1472	0	1	1	1
r1474	0	1	1	1
r1477	0	1	1	1
r1487	1	1	1	1
r2324	0	0	1	1
r2331	0	1	1	1
r2437	0	0	1	1
r2497	0	0	1	1
r2508	0	0	1	1
r2511	0	0	1	1
r2514	1	1	1	1
r2520	1	1	1	0
RE0383C	1	1	1	0
RE0452M	1	0	1	0
RE0453M	1	0	1	0
RE0512M	1	1	1	0
RE0565C	1	1	1	0
RE0566C	1	1	1	0
RE0567C	1	1	1	0
RE0568C	1	1	1	0
RE0577C	0	0	1	0
RE0583C	0	0	1	0
RE0691C	1	1	1	0
RE1235C	0	0	1	0
RE1447M	0	0	1	1
RE1516M	1	1	1	0
RE1517M	1	1	1	0
RE1518M	0	1	1	0
RE1518X	1	1	1	1
RE1519X	1	1	1	0
RE1520X	1	1	1	1
RE1521M	0	1	1	0
RE1521X	1	1	1	1
RE1522X	1	1	1	1
RE1523M	1	1	1	0
RE1525X	1	1	1	1
RE1526M	0	1	1	0
RE1526X	1	1	1	1
RE1527X	1	1	1	1
RE1530C	0	0	1	1
RE1531M	1	1	1	0
RE1532X	1	1	1	1
RE1533M	0	1	1	0
RE1533X	1	1	1	1
RE1534X	1	1	1	1
RE1573M	0	1	1	0
RE1573X	1	1	1	1
RE1897C	1	1	1	0
RE1898C	1	1	1	0
RE2034C	1	1	1	0
RE2069C	1	0	1	0
RE2799C	0	0	1	0
RE2888C	0	0	1	1
RE2972M	0	0	1	1
RE2992M	0	1	1	0
RE2999M	0	1	1	0
RE3000M	0	1	1	0
RE3001M	0	1	1	0
RE3003M	0	1	1	0
RE3004M	0	1	1	0
RE3005M	0	1	1	0
RE3006M	0	1	1	0
RE3036C	0	0	1	0
RE3103C	0	0	1	0
RE3104C	0	0	1	0
RE3119C	0	0	1	1
RE3120C	0	0	1	1
RE3121C	0	0	1	1
RE3122C	0	0	1	1
RE3164C	0	1	1	0
RE3270C	0	1	1	0
RE3352C	0	0	1	1
RE3566C	1	0	1	0
RE3597C	1	1	1	0
RE3624M	0	1	1	0
RETINALt	1	1	1	0
SADT	1	0	1	0
SERGLYGLUr	1	1	1	0
SERGLYGLUt	1	1	1	0
sink_chol[c]	1	1	1	0
sink_crvnc[c]	0	0	1	0
sink_gly[c]	1	1	1	1
sink_glygn2[c]	1	0	1	0
sink_gtp[c]	0	1	1	0
sink_lnlc[c]	1	1	1	1
sink_lnlccoa[c]	1	1	1	0
sink_nad[c]	0	1	1	0
sink_odecoa[c]	0	0	1	1
sink_pro_L[c]	1	0	1	0
sink_Ser_Gly_Ala_X_Gly[r]	1	0	1	1
sink_ser_L[c]	1	1	1	0
sink_stcoa[c]	1	0	1	0
sink_tmndnc[c]	0	0	1	0
sink_tmndnccoa[c]	0	0	1	1
sink_tyr_L[c]	0	0	1	1
SLDt	1	1	1	0
SLDx	1	1	1	0
SO4tl	1	0	1	0
SPHGNSte	1	0	1	0
SPMS	1	1	1	0
SPRMS	1	1	1	0
SRR	1	1	1	0
TALA	1	1	1	1
TAURtcx	0	1	1	1
THFtl	0	0	1	1
THMDt2r	1	0	1	0
THYOCHOLt	0	1	1	0
TMNDNCCOAtx	0	0	1	0
TMNDNCt	0	0	1	0
TRDR	1	1	1	0
TRDR2	0	1	1	0
TRDR3	0	1	1	0
TRPTYRTYRr	0	0	1	1
TRPTYRTYRt	0	0	1	1
TTDCPT2	0	0	1	1
TYRALAr	0	0	1	1
TYRALAt	0	0	1	1
TYRGLUr	0	0	1	1
TYRGLUt	0	0	1	1
TYRPHETYRr	0	0	1	1
TYRPHETYRt	0	0	1	1
TYRTA	0	0	1	1
TYRTAm	0	0	1	1
TYRTYRr	0	0	1	1
TYRTYRt	0	0	1	1
UDCHOLt	0	0	1	0
UNK3r	1	1	1	0
URIDK2m	0	1	1	0
URIDK3	0	0	1	1
URIt2r	1	0	1	0
XANtr	0	1	1	0
XOL27OHte	0	1	1	1
XOL27OHtmc	0	1	1	1
XOL7AONEt	0	1	1	1
XOL7AONEtr	0	1	1	1
XTSNtr	0	1	1	0
XYLt	1	1	1	0
XYLTD_Dr	1	1	1	0
XYLTt	1	1	1	0
XYLUDte	1	1	1	0
XYLULte	1	1	1	0
10FTHF7GLUtl	0	1	0	1
10FTHFtl	0	1	0	1
13DAMPPte	1	1	0	0
2HIVc	0	1	0	1
2HIVte	0	1	0	1
2M3HVACc	1	1	0	0
2M3HVACte	1	1	0	0
2M3OVACm	1	1	0	0
2M3OVACtm	1	1	0	0
2M3OVCOAm	1	1	0	0
2MOPtm	0	1	0	1
2OXOADPt	0	1	0	0
34DHPLACOX_NADP_	0	1	0	1
34DHXMANDACOX_NADP_	0	1	0	0
3HPPt	0	1	0	1
3HPPtm	0	1	0	1
3MOBte	0	1	0	1
3MOX4HOXPGALDOX_NADP_	0	1	0	1
4AABUTNt	0	1	0	0
5HPETtd	1	1	0	1
5OXPROt	0	1	0	0
7DHCHOLt	1	1	0	1
AATAi	0	1	0	0
ACETONEt2	0	1	0	0
ACETONEt2m	0	1	0	0
ACRNte	1	1	0	0
ADEt	0	1	0	0
ADPOHc	0	1	0	0
ADPOHt	0	1	0	0
ADRNCOAtx	0	1	0	1
ALCD1	1	1	0	0
ANTHte	1	1	0	0
APRTO2	0	1	0	0
ARACHDCOAtx	1	1	0	0
ARGTYRVALr	0	1	0	1
ARGTYRVALt	0	1	0	1
ARGVALCYSr	0	1	0	1
ARGVALCYSt	0	1	0	1
ARGVALTRPr	0	1	0	1
ARGVALTRPt	0	1	0	1
ASNCYSCYSr	1	1	0	1
ASNCYSCYSt	1	1	0	1
ASPVALASNr	0	1	0	1
ASPVALASNt	0	1	0	1
ATP1ter	0	1	0	1
BGAL1e	0	1	0	0
BILGLCURtr	0	1	0	0
BILIRUBtr	0	1	0	0
C04805td	1	1	0	1
C11695td	1	1	0	0
C13856te	1	1	0	1
C14768td	0	1	0	0
C14769td1	0	1	0	0
C14770ATP	0	1	0	0
C14771ATP	0	1	0	0
C14STRr	0	1	0	0
C160CPT2	0	1	0	1
C161CPT12	0	1	0	0
C204CPT2	0	1	0	0
C3STDH1Pr	0	1	0	0
C3STKR2r	0	1	0	0
C4STMO1r	0	1	0	0
C4STMO2r	0	1	0	0
CATm	0	1	0	0
CATp	0	1	0	0
CE2445t	1	1	0	1
CE6247t	1	1	0	1
CERT1rt	0	1	0	0
CHSTEROLtrc	1	1	0	1
CLOXAtex2	1	1	0	0
CO2ter	1	1	0	0
CYSCYSr	1	1	0	1
CYSCYSt	1	1	0	1
CYSTA	1	1	0	1
DCIm	0	1	0	0
DCSPTN1CPT1	0	1	0	1
DCSPTN1CPT2	0	1	0	1
DCSPTN1t	0	1	0	0
DDPGAm	0	1	0	0
DESAT14_9	0	1	0	0
DESAT16_2	0	1	0	0
DESAT18_5	0	1	0	0
DESAT18_7	0	1	0	0
DESAT20_1	0	1	0	0
DHCR71r	0	1	0	0
DHFR	1	1	0	0
DM_anth	1	1	0	1
DM_datp_m_	0	1	0	0
DM_dgtp_m_	0	1	0	0
DM_Lcystin	1	1	0	1
DMATT	0	1	0	0
DNDPt10m	0	1	0	0
DURIPP	1	1	0	0
EBP1r	0	1	0	0
EHGLAT2m	0	1	0	0
EHGLATm	0	1	0	0
ENO	1	1	0	1
EX_13dampp[e]	1	1	0	0
EX_2hiv[e]	0	1	0	1
EX_2m3hvac[e]	1	1	0	0
EX_2oxoadp[e]	0	1	0	0
EX_3hpp[e]	0	1	0	1
EX_3mob[e]	0	1	0	1
EX_4aabutn[e]	0	1	0	0
EX_4abutn[e]	1	1	0	0
EX_5HPET[e]	1	1	0	1
EX_5oxpro[e]	0	1	0	0
EX_ach[e]	1	1	0	0
EX_adpoh[e]	0	1	0	0
EX_anth[e]	1	1	0	0
EX_arachd[e]	0	1	0	0
EX_argtyrval[e]	0	1	0	1
EX_argvalcys[e]	0	1	0	1
EX_argvaltrp[e]	0	1	0	1
EX_asncyscys[e]	1	1	0	1
EX_aspvalasn[e]	0	1	0	1
EX_btn[e]	0	1	0	1
EX_C04805[e]	1	1	0	1
EX_C11695[e]	1	1	0	0
EX_C13856[e]	1	1	0	1
EX_C14768[e]	0	1	0	0
EX_C14769[e]	0	1	0	0
EX_C14770[e]	0	1	0	0
EX_C14771[e]	0	1	0	0
EX_CE2445[e]	1	1	0	1
EX_CE6247[e]	1	1	0	1
EX_cholate[e]	0	1	0	1
EX_cys_L[e]	1	1	0	1
EX_cyscys[e]	1	1	0	1
EX_dchac[e]	0	1	0	0
EX_dcsptn1[e]	0	1	0	1
EX_fru[e]	0	1	0	0
EX_gal[e]	1	1	0	0
EX_galt[e]	1	1	0	0
EX_gchola[e]	1	1	0	0
EX_glyc[e]	1	1	0	0
EX_glyvalhis[e]	0	1	0	1
EX_gthrd[e]	1	1	0	1
EX_h2o2[e]	0	1	0	0
EX_HC00250[e]	1	1	0	1
EX_HC00900[e]	0	1	0	0
EX_HC02202[e]	0	1	0	0
EX_HC02204[e]	1	1	0	0
EX_HC02213[e]	0	1	0	0
EX_hiscyscys[e]	1	1	0	1
EX_hislysval[e]	0	1	0	1
EX_hxcoa[e]	0	1	0	0
EX_L2aadp[e]	0	1	0	0
EX_leuktrB4[e]	1	1	0	1
EX_leuktrB4wcooh[e]	0	1	0	1
EX_leuleu[e]	0	1	0	1
EX_leuval[e]	0	1	0	1
EX_lthstrl[e]	0	1	0	0
