del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula
10FTHF6GLUtm	125.374313259109	7.3376247126333	Transport, mitochondrial		NA	intercompartmental	
10FTHF7GLUtl	125.374313259109	7.3376247126333	Transport, lysosomal		NA	intercompartmental	
10FTHFtl	125.374313259109	7.3376247126333	Transport, lysosomal		NA	intercompartmental	
10FTHFtm	1.03785112318706	6.70658812176351	Transport, mitochondrial		NA	intercompartmental	
2DR1PP	188.768210343725	10.0468655436622	Pyrimidine catabolism		pyrimidine catabolism, cytosol	[c]	
2HBO	157.274142460246	9.2499118075933	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]	
2HBt2	8.16550468779146	7.02254191049148	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental	
2HCO3_NAt	NaN	NaN	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	
2OXOADOXm	159.470533006415	9.05849177353836	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]	
2OXOADPTm	72.3145655409727	10.0370020864591	Tryptophan metabolism	89874.1	NA	intercompartmental	
34DHOXPEGOX	189.363215678026	10.0710155306151	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34DHOXPEGt	189.363215678026	10.0710155306151	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental	
34DHPHAMT	147.240448182793	10.0444117207148	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]	
34DHPHEt	188.909287302698	10.0468548758559	Transport, extracellular	117247.1	NA	intercompartmental	
34DHPLACOX	4.77489959358821	7.52826332733555	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]	
34DHPLACOX_NADP_	5.011643131347	7.55316855120428	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]	
34DHXMANDACOX	3.5165071733591	7.53517338056287	Tyrosine metabolism	221.1 or 218.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
