subSystem	n.x	n.y	p.val	p.val.fdr
Miscellaneous	1	89	0.955120340159561	0.991469417042185
Nucleotide interconversion	1	136	0.991469417042185	0.991469417042185
Eicosanoid metabolism	1	57	0.862179436300796	0.934027722659196
Sphingolipid metabolism	1	42	0.767348506957719	0.882480056782197
Fatty acid oxidation	22	738	0.78065543484579	0.882480056782197
Inositol phosphate metabolism	1	35	0.703105492393367	0.870511562010836
Glycolysis/gluconeogenesis	1	27	0.607846721389351	0.790200737806156
Transport, extracellular	40	1200	0.586449282155204	0.790200737806156
Transport, endoplasmic reticular	4	107	0.496330465731602	0.716921783834536
Fructose and mannose metabolism	1	16	0.425442666598556	0.650677019503673
Bile acid synthesis	2	40	0.396798198435644	0.644797072457922
CoA synthesis	1	10	0.29259541927092	0.601081596343842
Tyrosine metabolism	2	35	0.335042705345129	0.601081596343842
Transport, lysosomal	3	59	0.324820305911678	0.601081596343842
Transport, mitochondrial	9	223	0.346777844044524	0.601081596343842
Glutathione metabolism	1	8	0.241847087478504	0.571638570403738
Transport, nuclear	3	42	0.170203474622699	0.442529034019019
Transport, peroxisomal	5	86	0.167512708640169	0.442529034019019
Taurine and hypotaurine metabolism	1	4	0.1292351281819	0.420014166591175
Lysine metabolism	2	18	0.123304410206558	0.420014166591175
Propanoate metabolism	2	11	0.0516715469681218	0.223910036861861
Valine, leucine, and isoleucine metabolism	3	24	0.0463081422585424	0.223910036861861
Folate metabolism	4	40	0.045598128071379	0.223910036861861
Exchange/demand reaction	43	933	0.0188385314437226	0.163267272512263
ROS detoxification	4	5	6.29804721583885e-06	8.1874613805905e-05
Peptide metabolism	27	242	3.00085751079755e-08	7.80222952807362e-07
