SYMBOL	ENTREZID	Ctrl_Fam.Veh.R1	Ctrl_Fam.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	25.8421	24.6652	NA	NA	NA	NA
A1BG-AS1	503538	5.30832	7.41617	NA	NA	NA	NA
A2M	2	187.467	198.192	NA	NA	NA	NA
A2M-AS1	144571	0.607836	0.516242	NA	NA	NA	NA
A4GALT	53947	0.670594	0.168589	NA	NA	NA	NA
AAAS	8086	34.5147	41.4389	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	7.95426	11.2342	NA	NA	NA	NA
AADAT	51166	9.567	10.8417	NA	NA	NA	NA
AAGAB	79719	35.2622	33.5821	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	5.4358	5.86914	NA	NA	NA	NA
AAMDC	28971	40.1191	46.7365	NA	NA	NA	NA
AAMP	14	51.0813	56.9982	cerebral-cortex	glial-cells	Medium	Approved
AAR2	25980	16.1604	18.0321	NA	NA	NA	NA
AARD	441376	0.394152	0.158708	NA	NA	NA	NA
AARS2	57505	5.04848	7.07755	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	27.3016	41.3076	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	5.42611	4.96787	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	53.1179	44.7238	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	18.3763	18.7429	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	23.6509	27.6152	NA	NA	NA	NA
AATK	9625	0.90067	0.460146	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	53.4527	58.5939	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	9.06829	8.76951	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	0.427561	0.211144	NA	NA	NA	NA
ABCA13	154664	0.0967989	0.022863	NA	NA	NA	NA
ABCA17P	650655	0.154651	0.0319229	NA	NA	NA	NA
ABCA2	20	16.7027	22.9068	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	16.8108	20.7501	NA	NA	NA	NA
ABCA4	24	0.337979	0.386192	NA	NA	NA	NA
ABCA5	23461	1.25757	2.69343	cerebral-cortex	glial-cells	Low	Approved
ABCA6	23460	0.0643872	0	NA	NA	NA	NA
ABCA7	10347	3.01017	3.44	NA	NA	NA	NA
ABCA8	10351	3.34737	1.9078	NA	NA	NA	NA
ABCA9	10350	0.101634	0	NA	NA	NA	NA
ABCB1	5243	1.0932	0.522719	NA	NA	NA	NA
ABCB10	23456	7.37108	6.19724	NA	NA	NA	NA
ABCB4	5244	0.17242	0.510034	NA	NA	NA	NA
ABCB6	10058	22.9326	35.8992	NA	NA	NA	NA
ABCB7	22	8.37348	11.7539	NA	NA	NA	NA
ABCB8	11194	15.0706	22.4714	cerebral-cortex	glial-cells	Low	Approved
ABCB9	23457	6.43433	6.98912	cerebral-cortex	glial-cells	Medium	Approved
ABCC1	4363	4.36907	4.45059	NA	NA	NA	NA
ABCC10	89845	9.45758	14.0554	cerebral-cortex	glial-cells	Low	Approved
ABCC11	85320	0.119513	0.13338	cerebral-cortex	glial-cells	Low	Approved
ABCC2	1244	0.233048	0.180786	NA	NA	NA	NA
ABCC3	8714	6.92936	15.9081	NA	NA	NA	NA
ABCC4	10257	7.67189	5.07805	NA	NA	NA	NA
ABCC5	10057	17.4085	17.5166	NA	NA	NA	NA
ABCC6	368	0.864324	0.825985	NA	NA	NA	NA
ABCC6P1	653190	0.33752	1.6284	NA	NA	NA	NA
ABCC6P2	730013	0.262357	1.17222	NA	NA	NA	NA
ABCC8	6833	0.0722397	0	NA	NA	NA	NA
ABCC9	10060	2.64485	4.29584	NA	NA	NA	NA
ABCD1	215	1.15304	0.505788	NA	NA	NA	NA
ABCD2	225	0.834954	1.69947	NA	NA	NA	NA
ABCD3	5825	53.2134	60.9444	cerebral-cortex	glial-cells	High	Enhanced
ABCD4	5826	51.2457	56.8749	NA	NA	NA	NA
ABCE1	6059	33.6267	27.5532	cerebral-cortex	glial-cells	Medium	Approved
ABCF2	10061	23.7633	25.9026	cerebral-cortex	glial-cells	Low	Approved
ABCF3	55324	21.0688	30.8635	cerebral-cortex	glial-cells	High	Approved
ABCG1	9619	0.0168	0.193813	NA	NA	NA	NA
ABCG4	64137	0.613958	0.592324	NA	NA	NA	NA
ABHD1	84696	0.512492	0.573184	NA	NA	NA	NA
ABHD10	55347	16.6845	23.0878	cerebral-cortex	glial-cells	Low	Supported
ABHD11	83451	0.402282	1.00937	cerebral-cortex	glial-cells	Low	Approved
ABHD12	26090	30.3217	31.7223	NA	NA	NA	NA
ABHD12B	145447	0.406376	0.117879	NA	NA	NA	NA
ABHD13	84945	6.61722	4.20329	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A	25864	10.7397	15.2562	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A-ACY1	100526760	0.0685309	0.347775	NA	NA	NA	NA
ABHD14B	84836	6.77611	6.96038	cerebral-cortex	glial-cells	Low	Supported
ABHD15	116236	4.79184	3.83103	cerebral-cortex	glial-cells	Low	Approved
ABHD16B	140701	2.46294	2.97068	NA	NA	NA	NA
ABHD17A	81926	24.4562	30.4723	NA	NA	NA	NA
ABHD17AP3	648359	0.291445	0.156548	NA	NA	NA	NA
ABHD17AP6	644988	0.215512	0.231928	NA	NA	NA	NA
ABHD17B	51104	19.3112	13.3356	NA	NA	NA	NA
ABHD17C	58489	37.6881	47.7625	NA	NA	NA	NA
ABHD2	11057	20.8135	23.5269	cerebral-cortex	glial-cells	Low	Approved
ABHD3	171586	12.8842	15.004	cerebral-cortex	glial-cells	Low	Approved
ABHD4	63874	40.5759	50.702	NA	NA	NA	NA
ABHD5	51099	6.97103	6.86471	NA	NA	NA	NA
ABHD6	57406	3.60082	3.72629	NA	NA	NA	NA
ABHD8	79575	7.89035	11.1143	NA	NA	NA	NA
ABI1	10006	33.3341	19.8989	NA	NA	NA	NA
ABI2	10152	70.0779	60.0209	NA	NA	NA	NA
ABI3BP	25890	2.19048	0.307817	NA	NA	NA	NA
ABL1	25	34.9508	38.7015	cerebral-cortex	glial-cells	Low	Supported
ABL2	27	5.44662	4.69405	NA	NA	NA	NA
ABLIM1	3983	29.9815	15.3945	cerebral-cortex	glial-cells	Low	Approved
ABLIM2	84448	0.83392	2.97066	NA	NA	NA	NA
ABLIM3	22885	0.266744	0.0245169	cerebral-cortex	glial-cells	Medium	Approved
ABR	29	39.1372	38.7792	cerebral-cortex	glial-cells	Low	Enhanced
ABRACL	58527	20.388	27.1069	NA	NA	NA	NA
ABT1	29777	0.0667415	0.0474215	NA	NA	NA	NA
ABTB1	80325	4.40004	6.01152	NA	NA	NA	NA
ABTB2	25841	27.6196	13.1774	cerebral-cortex	glial-cells	High	Approved
ACAA1	30	31.0313	33.5977	NA	NA	NA	NA
ACAA2	10449	34.7912	44.4292	NA	NA	NA	NA
ACACA	31	25.9149	33.1691	NA	NA	NA	NA
ACACB	32	1.79212	6.44582	NA	NA	NA	NA
ACAD10	80724	12.5714	18.1952	NA	NA	NA	NA
ACAD11	84129	13.5588	13.1664	NA	NA	NA	NA
ACAD8	27034	21.5387	24.3328	cerebral-cortex	glial-cells	Medium	Enhanced
ACAD9	28976	15.3185	22.2732	cerebral-cortex	glial-cells	Medium	Supported
ACADL	33	0.476748	0.522555	NA	NA	NA	NA
ACADM	34	35.908	37.0825	cerebral-cortex	glial-cells	Low	Enhanced
ACADS	35	1.54383	2.92677	cerebral-cortex	glial-cells	Low	Enhanced
ACADSB	36	5.03171	4.05845	NA	NA	NA	NA
ACADVL	37	121.536	196.714	cerebral-cortex	glial-cells	Low	Enhanced
ACAN	176	0.108899	0.0959958	NA	NA	NA	NA
ACAP1	9744	1.65192	1.52238	cerebral-cortex	glial-cells	Medium	Approved
ACAP2	23527	14.335	10.8706	cerebral-cortex	glial-cells	Medium	Supported
ACAP2-IT1	100874306	0.737561	0.10037	NA	NA	NA	NA
ACAP3	116983	29.0318	61.4197	NA	NA	NA	NA
ACAT1	38	38.4981	37.3324	cerebral-cortex	glial-cells	Low	Enhanced
ACAT2	39	79.8328	94.7086	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD3	64746	20.8069	16.7809	NA	NA	NA	NA
ACBD4	79777	3.72827	6.59392	NA	NA	NA	NA
ACBD5	91452	19.9108	19.2566	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD6	84320	33.8079	42.6827	cerebral-cortex	glial-cells	Low	Approved
ACBD7	414149	4.54944	5.04979	NA	NA	NA	NA
ACCS	84680	0.348685	1.82682	cerebral-cortex	glial-cells	Medium	Approved
ACD	65057	8.51145	12.8882	NA	NA	NA	NA
ACE2	59272	0.100358	0.24568	NA	NA	NA	NA
ACER2	340485	1.72299	1.87258	NA	NA	NA	NA
ACER3	55331	11.4256	8.54737	NA	NA	NA	NA
ACHE	43	12.106	13.6354	NA	NA	NA	NA
ACIN1	22985	85.9951	125.641	cerebral-cortex	glial-cells	High	Supported
ACKR2	1238	0.234975	0.130407	NA	NA	NA	NA
ACKR3	57007	1.7779	1.62999	NA	NA	NA	NA
ACLY	47	1.34233	20.3138	cerebral-cortex	glial-cells	Low	Enhanced
ACMSD	130013	0.241835	0.375383	NA	NA	NA	NA
ACO1	48	20.2332	17.9686	cerebral-cortex	glial-cells	Low	Enhanced
ACO2	50	46.014	58.0899	cerebral-cortex	glial-cells	High	Enhanced
ACOT1	641371	0.694051	1.90205	NA	NA	NA	NA
ACOT11	26027	0.0992374	0.0674437	NA	NA	NA	NA
ACOT12	134526	1.30313	2.04638	NA	NA	NA	NA
ACOT13	55856	9.85411	14.3272	NA	NA	NA	NA
ACOT2	10965	4.49967	9.19665	NA	NA	NA	NA
ACOT4	122970	0.10575	0.22534	cerebral-cortex	glial-cells	High	Enhanced
ACOT7	11332	49.4488	54.3642	cerebral-cortex	glial-cells	Low	Enhanced
ACOT8	10005	11.1303	13.8403	NA	NA	NA	NA
ACOT9	23597	27.7148	33.2754	cerebral-cortex	glial-cells	Low	Supported
ACOX1	51	12.9511	14.3821	cerebral-cortex	glial-cells	Low	Approved
ACOX2	8309	13.926	20.4722	NA	NA	NA	NA
ACOX3	8310	5.25955	9.28244	NA	NA	NA	NA
ACP1	52	87.7235	86.1702	cerebral-cortex	glial-cells	Low	Approved
ACP2	53	23.2273	34.419	NA	NA	NA	NA
ACP5	54	0.152365	0.208115	NA	NA	NA	NA
ACP6	51205	0.235851	0.486556	NA	NA	NA	NA
ACRBP	84519	0.671738	0.368228	NA	NA	NA	NA
ACRV1	56	0.304611	0.193752	NA	NA	NA	NA
ACSBG1	23205	3.40592	10.0919	cerebral-cortex	glial-cells	High	Approved
ACSBG2	81616	0.279779	0.302901	NA	NA	NA	NA
ACSF2	80221	6.64373	9.776	NA	NA	NA	NA
ACSF3	197322	7.30045	8.78372	NA	NA	NA	NA
ACSL1	2180	10.8386	11.1431	NA	NA	NA	NA
ACSL3	2181	127.493	132.341	cerebral-cortex	glial-cells	Low	Approved
ACSL4	2182	10.2161	5.87572	NA	NA	NA	NA
ACSL5	51703	0.0725945	0.129806	NA	NA	NA	NA
ACSL6	23305	0.775435	1.51105	cerebral-cortex	glial-cells	Medium	Enhanced
ACSM3	6296	0.375016	0.241356	NA	NA	NA	NA
ACSS1	84532	1.13974	0.677873	NA	NA	NA	NA
ACSS2	55902	19.5968	28.0279	cerebral-cortex	glial-cells	Low	Approved
ACSS3	79611	22.8498	25.4043	NA	NA	NA	NA
ACTA1	58	0.311598	0.15123	NA	NA	NA	NA
ACTA2	59	134.123	146.45	NA	NA	NA	NA
ACTA2-AS1	100132116	0.176093	1.44376	NA	NA	NA	NA
ACTB	60	1441.43	2258.72	NA	NA	NA	NA
ACTBP2	62	7.3465	4.29141	NA	NA	NA	NA
ACTC1	70	0.206815	0.0124574	NA	NA	NA	NA
ACTG1	71	113.544	141.993	cerebral-cortex	glial-cells	Low	Approved
ACTG1P1	73	0.19596	0.105273	NA	NA	NA	NA
ACTG1P3	75	0.199157	0.267533	NA	NA	NA	NA
ACTG2	72	25.569	6.63036	NA	NA	NA	NA
ACTL10	170487	0.199985	0.186654	NA	NA	NA	NA
ACTL6A	86	43.3959	41.7902	cerebral-cortex	glial-cells	High	Supported
ACTL6B	51412	0.167917	0.0730188	NA	NA	NA	NA
ACTN1	87	67.8322	76.961	cerebral-cortex	glial-cells	Low	Approved
ACTN1-AS1	161159	0.161928	0.12358	NA	NA	NA	NA
ACTN2	88	6.70073	5.992	NA	NA	NA	NA
ACTN4	81	154.058	276.678	cerebral-cortex	glial-cells	Low	Supported
ACTN4P1	344978	0.218743	0.195111	NA	NA	NA	NA
ACTR10	55860	72.7771	67.6855	NA	NA	NA	NA
ACTR1A	10121	76.8673	85.2755	NA	NA	NA	NA
ACTR1B	10120	21.5799	34.0324	NA	NA	NA	NA
ACTR2	10097	146.654	113.544	cerebral-cortex	glial-cells	Low	Approved
ACTR3	10096	133.396	142.773	cerebral-cortex	glial-cells	Low	Approved
ACTR3B	57180	6.58511	10.0408	NA	NA	NA	NA
ACTR3C	653857	0.134208	0.144013	NA	NA	NA	NA
ACTR5	79913	4.2438	4.6908	NA	NA	NA	NA
ACTR6	64431	27.8403	22.9624	NA	NA	NA	NA
ACTR8	93973	16.3784	17.085	NA	NA	NA	NA
ACTRT3	84517	0.303784	0.405085	NA	NA	NA	NA
ACVR1	90	18.9687	12.5647	cerebral-cortex	glial-cells	Low	Approved
ACVR1B	91	9.08241	9.94493	NA	NA	NA	NA
ACVR2A	92	7.94521	10.0813	cerebral-cortex	glial-cells	Low	Approved
ACVR2B	93	3.29944	3.13323	NA	NA	NA	NA
ACVR2B-AS1	100128640	0.355318	0.357386	NA	NA	NA	NA
ACVRL1	94	0.0394327	0	NA	NA	NA	NA
ACY1	95	7.92725	12.1466	NA	NA	NA	NA
ACYP1	97	20.8565	21.453	cerebral-cortex	glial-cells	Low	Approved
ACYP2	98	13.3407	18.2063	NA	NA	NA	NA
ADA	100	19.8168	11.4727	NA	NA	NA	NA
ADAL	161823	6.02	5.68323	NA	NA	NA	NA
ADAM10	102	50.9178	49.4616	NA	NA	NA	NA
ADAM11	4185	0.366808	0.77573	cerebral-cortex	glial-cells	Medium	Enhanced
ADAM12	8038	52.4123	98.0217	NA	NA	NA	NA
ADAM15	8751	21.7892	26.6811	NA	NA	NA	NA
ADAM17	6868	29.212	24.912	cerebral-cortex	glial-cells	Low	Approved
ADAM19	8728	25.7132	43.7746	NA	NA	NA	NA
ADAM1A	8759	3.48853	5.19725	NA	NA	NA	NA
ADAM1B	100420505	0.101541	0.0270809	NA	NA	NA	NA
ADAM20P1	317760	0.376197	0.578332	NA	NA	NA	NA
ADAM21	8747	0.145106	0.132498	NA	NA	NA	NA
ADAM22	53616	5.24907	4.45643	NA	NA	NA	NA
ADAM23	8745	9.54379	7.98979	cerebral-cortex	glial-cells	Low	Approved
ADAM28	10863	0.228981	0.201501	NA	NA	NA	NA
ADAM32	203102	4.76092	3.65289	NA	NA	NA	NA
ADAM33	80332	0.509444	0.415378	NA	NA	NA	NA
ADAM8	101	1.64837	0.705231	NA	NA	NA	NA
ADAM9	8754	222.448	203.359	NA	NA	NA	NA
ADAMTS1	9510	2.21953	1.72616	NA	NA	NA	NA
ADAMTS10	81794	0	0.115443	NA	NA	NA	NA
ADAMTS12	81792	9.98941	12.2603	NA	NA	NA	NA
ADAMTS13	11093	0.0719338	0.0703556	NA	NA	NA	NA
ADAMTS14	140766	10.0823	9.50584	NA	NA	NA	NA
ADAMTS15	170689	13.5071	13.8646	NA	NA	NA	NA
ADAMTS16	170690	11.3124	19.234	NA	NA	NA	NA
ADAMTS17	170691	0.203998	0.0693574	NA	NA	NA	NA
ADAMTS19	171019	0.283945	0.280322	NA	NA	NA	NA
ADAMTS2	9509	1.65118	0.0527726	NA	NA	NA	NA
ADAMTS20	80070	0.0389974	0.0377494	NA	NA	NA	NA
ADAMTS3	9508	16.7283	28.4678	NA	NA	NA	NA
ADAMTS4	9507	8.63029	9.65555	NA	NA	NA	NA
ADAMTS5	11096	0.0414183	0	NA	NA	NA	NA
ADAMTS6	11174	1.10878	1.04865	NA	NA	NA	NA
ADAMTS7	11173	6.91372	11.4923	NA	NA	NA	NA
ADAMTS7P4	642935	0.50533	0	NA	NA	NA	NA
ADAMTS8	11095	0.245643	0.0383157	NA	NA	NA	NA
ADAMTS9	56999	8.54895	16.8702	NA	NA	NA	NA
ADAMTS9-AS2	100507098	0.0626988	0.240518	NA	NA	NA	NA
ADAMTSL1	92949	6.4269	7.38549	NA	NA	NA	NA
ADAMTSL4	54507	0.902348	0.989541	cerebral-cortex	glial-cells	Medium	Approved
ADAMTSL4-AS1	574406	0.153857	0.170659	NA	NA	NA	NA
ADAMTSL5	339366	0.191853	0.210797	NA	NA	NA	NA
ADAP1	11033	1.38803	1.76705	NA	NA	NA	NA
ADAP2	55803	0.150638	0.126812	NA	NA	NA	NA
ADAR	103	51.8812	58.2828	cerebral-cortex	glial-cells	Medium	Enhanced
ADARB1	104	4.72168	4.33801	NA	NA	NA	NA
ADARB2	105	0	0.0864424	NA	NA	NA	NA
ADAT1	23536	17.3453	25.3402	NA	NA	NA	NA
ADAT2	134637	4.29426	3.05889	NA	NA	NA	NA
ADAT3	113179	4.0173	3.60876	NA	NA	NA	NA
ADCK1	57143	4.03394	4.42259	NA	NA	NA	NA
ADCK2	90956	4.31636	4.83372	cerebral-cortex	glial-cells	Medium	Approved
ADCK5	203054	0.548562	0.230089	cerebral-cortex	glial-cells	Medium	Approved
ADCY1	107	3.27597	3.74854	NA	NA	NA	NA
ADCY10P1	221442	2.29321	0.634218	NA	NA	NA	NA
ADCY2	108	10.9199	18.7042	cerebral-cortex	glial-cells	Low	Approved
ADCY3	109	8.4555	9.39232	cerebral-cortex	glial-cells	Low	Approved
ADCY4	196883	0.128358	0	NA	NA	NA	NA
ADCY5	111	1.11226	1.00513	NA	NA	NA	NA
ADCY6	112	25.9904	43.1014	cerebral-cortex	glial-cells	Low	Approved
ADCY7	113	0.975252	0.271174	NA	NA	NA	NA
ADCY8	114	1.17478	0.831693	NA	NA	NA	NA
ADCY9	115	6.38335	8.73715	cerebral-cortex	glial-cells	Medium	Approved
ADCYAP1	116	0.287028	0.284848	NA	NA	NA	NA
ADCYAP1R1	117	5.44667	8.20215	NA	NA	NA	NA
ADD1	118	126.609	144.907	cerebral-cortex	glial-cells	Low	Enhanced
ADD3	120	35.3931	30.1955	cerebral-cortex	glial-cells	Medium	Supported
ADH1A	124	0	0.0812474	NA	NA	NA	NA
ADH4	127	0.0399758	0.283141	NA	NA	NA	NA
ADH5	128	101.097	101.135	NA	NA	NA	NA
ADH5P4	642443	4.07692	2.81321	NA	NA	NA	NA
ADH6	130	0.34072	0.277606	NA	NA	NA	NA
ADHFE1	137872	2.15633	4.22495	NA	NA	NA	NA
ADI1	55256	25.9369	31.6756	cerebral-cortex	glial-cells	Medium	Approved
ADIPOR1	51094	34.0004	34.5591	NA	NA	NA	NA
ADIPOR2	79602	24.8275	29.3071	NA	NA	NA	NA
ADIRF-AS1	100133190	0.371146	0.523324	NA	NA	NA	NA
ADK	132	43.2043	53.31	NA	NA	NA	NA
ADM	133	74.3437	69.4382	NA	NA	NA	NA
ADM2	79924	1.81126	0.312653	NA	NA	NA	NA
ADM5	199800	1.08845	0.877778	NA	NA	NA	NA
ADNP	23394	33.7382	34.9172	cerebral-cortex	glial-cells	High	Supported
ADNP2	22850	7.81786	10.837	NA	NA	NA	NA
ADO	84890	20.3668	17.6957	NA	NA	NA	NA
ADORA1	134	55.5831	48.047	NA	NA	NA	NA
ADORA2A	135	3.23603	1.53045	NA	NA	NA	NA
ADORA2A-AS1	646023	0.772227	0.393273	NA	NA	NA	NA
ADORA2B	136	19.2885	23.4223	NA	NA	NA	NA
ADPGK	83440	22.6352	23.6815	NA	NA	NA	NA
ADPRH	141	0.339221	1.30739	cerebral-cortex	glial-cells	Low	Approved
ADPRHL1	113622	0.696927	0.864664	NA	NA	NA	NA
ADPRHL2	54936	25.1258	27.116	cerebral-cortex	glial-cells	Low	Approved
ADPRM	56985	3.78089	4.47089	NA	NA	NA	NA
ADRA1A	148	0.176272	0.158774	cerebral-cortex	glial-cells	Medium	Approved
ADRA1B	147	1.90004	0.634243	NA	NA	NA	NA
ADRA1D	146	0.221625	0.0983073	NA	NA	NA	NA
ADRA2A	150	0.0124812	0	NA	NA	NA	NA
ADRA2C	152	0.142325	0.101162	NA	NA	NA	NA
ADRB2	154	0.347513	0.211807	NA	NA	NA	NA
ADRM1	11047	72.2481	67.1893	cerebral-cortex	glial-cells	Medium	Supported
ADSL	158	36.0686	37.2821	cerebral-cortex	glial-cells	Medium	Enhanced
AEBP1	165	43.4533	48.2	cerebral-cortex	glial-cells	Low	Supported
AEBP2	121536	17.8314	12.8307	NA	NA	NA	NA
AEN	64782	27.7811	25.2677	NA	NA	NA	NA
AFAP1	60312	20.7103	15.4973	cerebral-cortex	glial-cells	Low	Enhanced
AFAP1L1	134265	0.15725	0.0229926	NA	NA	NA	NA
AFAP1L2	84632	5.46169	2.50364	NA	NA	NA	NA
AFF1	4299	6.40444	6.21993	NA	NA	NA	NA
AFF3	3899	6.34884	6.46917	cerebral-cortex	glial-cells	Low	Approved
AFF4	27125	33.0991	23.2351	cerebral-cortex	glial-cells	High	Approved
AFG3L1P	172	18.0194	24.0649	NA	NA	NA	NA
AFG3L2	10939	21.1144	22.599	cerebral-cortex	glial-cells	Medium	Enhanced
AFMID	125061	17.4751	20.7382	NA	NA	NA	NA
AFTPH	54812	13.7259	9.64406	NA	NA	NA	NA
AGA	175	9.1637	9.57913	cerebral-cortex	glial-cells	Low	Enhanced
AGAP1	116987	21.0831	18.5224	NA	NA	NA	NA
AGAP1-IT1	100506749	2.23733	2.65161	NA	NA	NA	NA
AGAP2	116986	7.88985	8.67909	cerebral-cortex	glial-cells	Medium	Enhanced
AGAP2-AS1	100130776	0.352642	0.515122	NA	NA	NA	NA
AGAP3	116988	31.6256	35.8268	cerebral-cortex	glial-cells	Medium	Approved
AGAP4	119016	1.07779	0.52119	NA	NA	NA	NA
AGAP5	729092	1.83464	2.64693	NA	NA	NA	NA
AGAP6	414189	0.63159	0.33645	NA	NA	NA	NA
AGAP9	642517	0.231412	0.329191	NA	NA	NA	NA
AGBL3	340351	1.5349	0.848627	NA	NA	NA	NA
AGBL4	84871	0.311546	0.144331	cerebral-cortex	glial-cells	Low	Approved
AGBL5	60509	16.2816	26.4839	NA	NA	NA	NA
AGBL5-IT1	106481744	0.303166	0	NA	NA	NA	NA
AGFG1	3267	38.6153	33.7401	NA	NA	NA	NA
AGFG2	3268	5.84936	7.65294	NA	NA	NA	NA
AGGF1	55109	18.3593	20.4362	NA	NA	NA	NA
AGK	55750	12.3022	14.7368	cerebral-cortex	glial-cells	Low	Supported
AGL	178	4.882	4.46946	cerebral-cortex	glial-cells	High	Approved
AGMAT	79814	0.258509	0.190606	NA	NA	NA	NA
AGMO	392636	0.18103	0.0214118	NA	NA	NA	NA
AGO1	26523	7.91929	6.62897	NA	NA	NA	NA
AGO2	27161	5.86272	3.97747	cerebral-cortex	glial-cells	High	Approved
AGO3	192669	7.01965	5.7539	NA	NA	NA	NA
AGO4	192670	7.68124	6.63707	NA	NA	NA	NA
AGPAT1	10554	6.43523	9.71771	cerebral-cortex	glial-cells	High	Approved
AGPAT2	10555	6.45011	5.54324	NA	NA	NA	NA
AGPAT3	56894	20.0198	20.6216	NA	NA	NA	NA
AGPAT4	56895	32.3677	32.1407	cerebral-cortex	glial-cells	Medium	Approved
AGPAT5	55326	44.0341	43.27	NA	NA	NA	NA
AGPS	8540	9.18886	11.8717	NA	NA	NA	NA
AGRN	375790	57.3223	98.4178	cerebral-cortex	glial-cells	Low	Approved
AGT	183	14.2563	5.26611	NA	NA	NA	NA
AGTPBP1	23287	8.83172	9.63477	NA	NA	NA	NA
AGTR1	185	1.27558	0.47159	NA	NA	NA	NA
AGTRAP	57085	22.6775	22.5569	NA	NA	NA	NA
AHCTF1	25909	14.1765	11.8585	NA	NA	NA	NA
AHCTF1P1	285116	1.10766	0.734452	NA	NA	NA	NA
AHCY	191	72.6849	77.9858	cerebral-cortex	glial-cells	Medium	Approved
AHCYL1	10768	33.197	34.9091	NA	NA	NA	NA
AHCYL2	23382	18.0212	18.3547	NA	NA	NA	NA
AHDC1	27245	5.01216	7.04032	cerebral-cortex	glial-cells	Low	Approved
AHI1	54806	10.4208	12.0985	cerebral-cortex	glial-cells	Medium	Approved
AHNAK	79026	29.0437	36.2054	NA	NA	NA	NA
AHNAK2	113146	55.0232	48.2551	NA	NA	NA	NA
AHR	196	5.49095	6.31849	cerebral-cortex	glial-cells	Low	Enhanced
AHRR	57491	2.35794	9.60144	NA	NA	NA	NA
AHSA1	10598	120.288	109.473	cerebral-cortex	glial-cells	Medium	Supported
AIDA	64853	18.9305	18.4451	NA	NA	NA	NA
AIF1L	83543	60.7469	62.8879	NA	NA	NA	NA
AIFM1	9131	22.1938	22.2312	NA	NA	NA	NA
AIFM2	84883	3.44658	4.54044	NA	NA	NA	NA
AIFM3	150209	0.246724	0.3279	NA	NA	NA	NA
AIG1	51390	26.6734	29.0532	NA	NA	NA	NA
AIM2	9447	0.436842	0.734433	NA	NA	NA	NA
AIMP1	9255	20.0064	19.7354	cerebral-cortex	glial-cells	Medium	Supported
AIMP2	7965	24.7019	25.5457	cerebral-cortex	glial-cells	Low	Supported
AIP	9049	26.7594	32.2861	cerebral-cortex	glial-cells	Medium	Approved
AJAP1	55966	2.37129	3.18929	NA	NA	NA	NA
AJUBA	84962	18.9313	15.801	NA	NA	NA	NA
AK1	203	38.5146	62.2741	NA	NA	NA	NA
AK2	204	61.0564	57.3417	NA	NA	NA	NA
AK3	50808	26.2845	25.8791	NA	NA	NA	NA
AK3P3	100419075	2.33479	3.39406	NA	NA	NA	NA
AK3P5	100288319	0	0	NA	NA	NA	NA
AK4	205	1.89818	2.44557	cerebral-cortex	glial-cells	Medium	Enhanced
AK4P1	206	1.15992	1.58062	NA	NA	NA	NA
AK4P3	645619	0.288525	0.209642	NA	NA	NA	NA
AK5	26289	1.22115	0.924622	NA	NA	NA	NA
AK7	122481	0.710775	0.575712	NA	NA	NA	NA
AK8	158067	1.19058	0.877364	NA	NA	NA	NA
AK9	221264	2.13178	1.74815	cerebral-cortex	glial-cells	High	Enhanced
AKAP1	8165	4.20492	5.58894	cerebral-cortex	glial-cells	High	Supported
AKAP10	11216	9.87852	13.4373	cerebral-cortex	glial-cells	Medium	Approved
AKAP11	11215	13.1145	12.4626	NA	NA	NA	NA
AKAP12	9590	47.9715	39.8797	NA	NA	NA	NA
AKAP13	11214	21.1812	22.5859	cerebral-cortex	glial-cells	Medium	Approved
AKAP14	158798	0.116956	0.81571	NA	NA	NA	NA
AKAP17A	8227	15.8138	17.9098	cerebral-cortex	glial-cells	Medium	Supported
AKAP3	10566	1.03807	1.1173	NA	NA	NA	NA
AKAP5	9495	0.871587	1.07427	cerebral-cortex	glial-cells	Low	Enhanced
AKAP6	9472	7.16723	8.77271	NA	NA	NA	NA
AKAP7	9465	7.19116	8.20658	NA	NA	NA	NA
AKAP8	10270	15.0523	18.3425	cerebral-cortex	glial-cells	Medium	Supported
AKAP8L	26993	54.1075	86.2964	cerebral-cortex	glial-cells	High	Enhanced
AKAP9	10142	14.9819	16.7148	cerebral-cortex	glial-cells	Medium	Supported
AKIP1	56672	17.5902	22.7581	NA	NA	NA	NA
AKIRIN1	79647	93.5065	73.3492	cerebral-cortex	glial-cells	Low	Approved
AKIRIN2	55122	66.7802	53.9422	NA	NA	NA	NA
