AACTtm	Transport, mitochondrial
ACODA	Urea cycle
ACOX22x	Bile acid synthesis
ALAASNNaEx	Transport, extracellular
AOBUTDsm	Glycine, serine, alanine, and threonine metabolism
CHLP	Glycerophospholipid metabolism
CRTSTRNt	Transport, extracellular
DADNK	Nucleotide interconversion
DM_Ser_Thr_ly_	Exchange/demand reaction
DNDPt19m	Transport, mitochondrial
DNDPt30m	Transport, mitochondrial
DNDPt46m	Transport, mitochondrial
DNDPt7m	Transport, mitochondrial
EX_fuc13galacglcgal14acglcgalgluside_hs[e]	Exchange/demand reaction
FAS100COA	Fatty acid synthesis
FUC13GALACGLCGAL14ACGLCGALGLUSIDEte	Transport, extracellular
GALC	Sphingolipid metabolism
GLNCYSNaEx	Transport, extracellular
GLYATm	Glycine, serine, alanine, and threonine metabolism
GUAD	Purine catabolism
ILEt4	Transport, extracellular
L_LACDcm	Pyruvate metabolism
MGSA2	Pyruvate metabolism
PI4PP	Inositol phosphate metabolism
RNMK	NAD metabolism
SERALANaEx	Transport, extracellular
SERTHRNaEx	Transport, extracellular
THMDt4	Transport, extracellular
VLCSp	Bile acid synthesis
XYLK	Pentose phosphate pathway
EX_itp[e]	Exchange/demand reaction
r0245	Glycerophospholipid metabolism
r0377	Pyrimidine catabolism
r0413	Glycolysis/gluconeogenesis
r1299	Transport, lysosomal
r1440	Transport, mitochondrial
r1690	Transport, extracellular
r1698	Transport, extracellular
r1725	Transport, extracellular
r1745	Transport, extracellular
r1757	Transport, extracellular
r1768	Transport, extracellular
r1833	Transport, extracellular
r1914	Transport, extracellular
r1926	Transport, extracellular
r1958	Transport, extracellular
r1996	Transport, extracellular
r2148	Transport, extracellular
r2234	Transport, extracellular
r2389	Transport, mitochondrial
r2485	Transport, extracellular
r2487	Transport, extracellular
RE3241C	Fatty acid synthesis
RE3242C	Fatty acid synthesis
RE3243C	Fatty acid synthesis
RE3244C	Fatty acid synthesis
RE3267E	Glycerophospholipid metabolism
EX_HC02196[e]	Exchange/demand reaction
EX_coa[e]	Exchange/demand reaction
EX_cdpea[e]	Exchange/demand reaction
EX_12dgr120[e]	Exchange/demand reaction
FAOXC8C6x	Fatty acid oxidation
EX_dpcoa[e]	Exchange/demand reaction
EX_pan4p[e]	Exchange/demand reaction
EX_ptth[e]	Exchange/demand reaction
FADH2ETC	Oxidative phosphorylation
LAPCOAe	CoA catabolism
PAN4PPe	CoA synthesis
r1492	Transport, extracellular
MAGLINL_HSe	Glycerophospholipid metabolism
3HMPtd	Transport, extracellular
ACORNt	Transport, extracellular
ACTHRtc	Transport, mitochondrial
ACTHRte	Transport, extracellular
EX_3hmp[e]	Exchange/demand reaction
EX_acorn[e]	Exchange/demand reaction
EX_acthr_L[e]	Exchange/demand reaction
EX_maglinl_hs[e]	Exchange/demand reaction
EX_pe13_hs[e]	Exchange/demand reaction
THRACm	Glycine, serine, alanine, and threonine metabolism
DDCAte	Transport, extracellular
3HMPtm	Transport, mitochondrial
sink_HC02196[c]	Exchange/demand reaction
EX_glyb[e]	Exchange/demand reaction
PNP	NAD metabolism
G6PDA	Aminosugar metabolism
OAADC	Miscellaneous
EX_lanost[e]	Exchange/demand reaction
METHSUCCOAc	Fatty acid oxidation
METHSUCC	Fatty acid oxidation
METHSUCCte	Transport, extracellular
EX_methsucc[e]	Exchange/demand reaction
MLTHFte3	Transport, extracellular
AACTte	Transport, extracellular
EX_aact[e]	Exchange/demand reaction
LANOSTte	Transport, extracellular
NEU21	Sphingolipid metabolism
DM_15HPET[r]	Exchange/demand reaction
HMR_0478	Glycerophospholipid metabolism
HMR_0911	Glycosphingolipid metabolism
HMR_0986	Arachidonic acid metabolism
HMR_1990	Steroid metabolism
HMR_1991	Steroid metabolism
HMR_1992	Steroid metabolism
HMR_5409	Miscellaneous
HMR_6558	Inositol phosphate metabolism
HMR_9613	Transport, extracellular
CDCA24GSc	Bile acid synthesis
CDCA3GSc	Bile acid synthesis
DM_cdca24g[c]	Exchange/demand reaction
DM_cdca3g[c]	Exchange/demand reaction
DM_gudca3s[c]	Exchange/demand reaction
EX_gudca3s[e]	Exchange/demand reaction
GUDCA3St	Transport, extracellular
AM4N9CShc	Drug metabolism
AM4N9CStev	Drug metabolism
AM9CSAtep	Drug metabolism
DHGLZhc	Drug metabolism
DHGLZtev	Drug metabolism
EX_am4n9cs[e]	Exchange/demand reaction
EX_am9csa[e]	Exchange/demand reaction
EX_dhglz[e]	Exchange/demand reaction
EX_glz[e]	Exchange/demand reaction
GLZtd	Drug metabolism
EX_h2co3[e]	Exchange/demand reaction
DM_btn[n]	Exchange/demand reaction
HMR_6572	Inositol phosphate metabolism
UDPGP	Starch and sucrose metabolism
