name	BD_NR_top	BD_R_top	BD_top	Ctrl_unchanged
10FTHF6GLUtm	0	0	1	0
10FTHF7GLUtl	0	0	1	1
10FTHFtl	0	0	1	1
10FTHFtm	0	0	0	1
11DOCRTSLte	1	1	1	0
12DHCHOLt	1	1	1	0
12PPDRte	1	1	1	0
13_CIS_RETNte	1	1	0	0
13DAMPPOX	1	1	0	0
13DAMPPte	1	1	0	0
15HPETATP	0	1	0	0
15KPROSTGF2c	0	1	0	0
15KPROSTGF2t	0	1	0	1
17AHPRGSTRNte	1	1	1	0
1A25DHVITD3te	1	1	1	0
1a25DHVITD3TRn	1	1	1	0
2AMACHYD	1	0	1	0
2H3MVc	0	0	0	1
2H3MVte	0	0	0	1
2HATVACIDtep	0	0	0	1
2HATVACIDthc	0	0	0	1
2HATVLACtep	0	0	0	1
2HATVLACthc	0	0	0	1
2HBO	0	0	0	1
2HBt2	0	1	0	1
2HCO3_NAt	0	0	0	1
2HIVc	0	0	0	1
2HIVte	0	0	0	1
2M3HVACc	0	0	0	1
2M3HVACte	0	0	0	1
2M3OVACm	0	0	0	1
2M3OVACtm	0	0	0	1
2M3OVCOAm	0	0	0	1
2MB2COAc	0	0	1	1
2MOPtm	0	1	0	1
2OXOADOXm	0	1	1	0
2OXOADPt	0	1	1	1
2OXOADPTm	0	1	1	1
2PGtr	0	0	1	0
34DHOXMANDte	1	1	0	1
34DHPHAte	0	0	0	1
34DHPHEt	1	1	0	1
34DHPLACOX	0	0	0	1
34DHPLACOX_NADP_	0	0	0	1
34DHXMANDACOX_NADP_	0	0	0	1
34HPLFM	0	1	0	1
34HPLte	0	1	0	1
34HPLtm	0	1	0	1
34HPPte	0	0	1	1
35DHPVStep	0	0	1	1
35DHPVSthc	0	0	1	1
35DIODTYRte	1	0	1	0
3AIB_Dtm	0	1	0	0
3AIBSYMPt	0	0	0	1
3AIBt1	0	0	0	1
3ANTHRNtr	1	1	0	0
3DHCDCHOLt	1	1	1	1
3DHDCAt	1	0	0	0
3DSPHR	0	0	0	1
3HADICOAx	1	1	1	0
3HADPACte	1	1	1	0
3HADPACtxc	1	1	1	0
3HADPACx	1	1	1	0
3HBCDm	0	0	1	1
3HBCOAHLm	1	1	1	0
3HBCOARc	0	0	1	1
3HCO3_NAt	0	1	0	1
3HPPt	0	1	0	1
3HPPtm	0	1	0	1
3HPVSCOAhc	1	0	1	1
3HPVSCOAitm	0	1	1	1
3HPVSCOAitx	0	1	1	0
3HPVStep	0	0	0	1
3HPVSTETCOAhcm	0	1	1	1
3HPVSTETCOAhcx	0	1	1	0
3HPVSTETCOAitm	0	1	1	1
3HPVSTETCOAitx	0	1	1	0
3HPVSTEThc	1	0	1	1
3HPVSTETtev	1	0	1	1
3HPVSthc	0	0	0	1
3ISPVStep	0	1	0	1
3ISPVSthc	0	1	0	1
3ITYR_Lte	1	0	1	0
3MHISc	0	0	1	0
3MHISt1	0	1	0	1
3MHISt2	0	0	0	1
3MHISt3	0	1	0	1
3MOBte	0	0	1	1
3MOPte	0	0	0	1
3MOX4HOXMte	1	1	0	1
3MOX4HOXPGALDOX_NADP_	0	0	0	1
3MOXTYRt	1	1	1	0
3OHSEBACte	1	1	0	1
3OHSEBACtxc	1	1	0	1
3OHSEBACx	1	1	0	1
3OHSEBCOAx	1	1	0	1
3OHSUBACte	1	1	1	0
3OHSUBACtxc	1	1	1	0
3OHSUBACx	1	1	1	0
3OHSUBCOAx	1	1	1	0
3PGtr	0	0	0	1
3SALAASPm	0	0	0	1
3SALACBOXL	1	0	1	0
3SALATAi	0	1	1	0
3SALATAim	0	1	0	0
3SPYRSP	0	1	1	0
3SPYRSPm	0	1	0	0
4AABUTNt	1	0	1	0
4ABUTtm	0	0	1	1
4HATVACIDtep	0	1	0	1
4HATVACIDthc	0	1	0	1
4HATVLACtep	0	1	0	1
4HATVLACthc	0	1	0	1
4HGLSDm	0	1	1	1
4HPRO_LTte	0	0	1	0
4HPROLTASCT1	0	1	0	1
4MOPt2im	0	0	0	1
4MOPte	0	0	0	1
4OHPROIMINOtc	0	1	0	0
4TMEABUTNt1	0	0	0	1
4TMEABUTNt2	0	0	0	1
56DTHMtd	0	0	0	1
56DURAt	1	1	1	1
5ADTSTSTERONESte	1	1	1	0
5ADTSTSTERONEte	1	1	1	0
5AOPt	0	1	1	0
5AOPtm	0	0	0	1
5EIPENCm	1	0	1	0
5EIPENCte	1	0	1	0
5EIPENCtm	1	0	1	0
5FTHFt2	0	1	0	0
5HOXINDOAtr	1	1	1	1
5HPETtd	1	1	0	1
5MTAte	1	1	1	0
5MTHFt	0	0	0	1
5MTHFt2	1	0	0	1
5OHHEXAc	1	0	0	0
5OHHEXAte	1	0	0	0
5OXPROt	0	0	0	1
5THFtm	0	0	1	0
6EPVStep	0	0	0	1
6EPVSthc	0	0	0	1
6HOXMELATNte	1	0	0	0
7DHCDCHOLt	1	1	1	0
7DHCHOLt	1	1	1	0
7DHCHSTEROLtd	0	0	0	1
7DHCHSTEROLtr	0	0	0	1
7DHFtl	0	0	1	1
7KILTCHOLt	0	0	1	1
7THFtl	0	0	0	1
A_MANASEly	1	1	1	1
