subSystem_BNRC	n.x	n.y	p.val	p.val.fdr
Cholesterol metabolism	1	159	0.990594742707118	0.998504484107329
Peptide metabolism	2	241	0.993247880369521	0.998504484107329
Transport, mitochondrial	4	248	0.929246039645202	0.998504484107329
Exchange/demand reaction	16	1013	0.998504484107329	0.998504484107329
Nucleotide interconversion	3	134	0.742390430622117	0.89086851674654
Chondroitin sulfate degradation	1	35	0.638012271817153	0.805910238084825
Fatty acid oxidation	22	807	0.627012944315082	0.805910238084825
Glycolysis/gluconeogenesis	1	29	0.568941547449095	0.803211596398723
Valine, leucine, and isoleucine metabolism	1	29	0.568941547449095	0.803211596398723
Pyruvate metabolism	1	21	0.45607782131736	0.729724514107776
Eicosanoid metabolism	2	52	0.439746038697696	0.729724514107776
Transport, endoplasmic reticular	4	120	0.449095202663762	0.729724514107776
Fatty acid synthesis	6	189	0.454615105353908	0.729724514107776
Tyrosine metabolism	2	40	0.31693261096667	0.691489333018188
Fructose and mannose metabolism	2	18	0.0918918394515873	0.22054041468381
Drug metabolism	5	83	0.087576765252547	0.22054041468381
Aminosugar metabolism	2	14	0.0588236122461213	0.176470836738364
Sphingolipid metabolism	5	58	0.02416378213078	0.082847253019817
Transport, lysosomal	6	57	0.00536949127908509	0.0214779651163404
Transport, extracellular	56	1296	0.000403277532365527	0.00193573215535453
Keratan sulfate degradation	8	61	0.000301655022002716	0.00180993013201629
N-glycan synthesis	3	4	8.93885703319896e-05	0.000715108562655916
Heparan sulfate degradation	7	27	7.45208368997068e-06	8.94250042796481e-05
Phosphatidylinositol phosphate metabolism	8	32	2.18048023333892e-06	5.23315256001341e-05
