subSystem_BC	n.x	n.y	p.val	p.val.fdr
Aminosugar metabolism	1	16	0.896116483189655	0.999996410493189
Chondroitin synthesis	1	39	0.996039313191976	0.999996410493189
Glycine, serine, alanine, and threonine metabolism	1	21	0.948875833512056	0.999996410493189
Phenylalanine metabolism	1	13	0.841085497543857	0.999996410493189
Pyrimidine catabolism	1	16	0.896116483189655	0.999996410493189
Sink	1	18	0.921762972584697	0.999996410493189
Starch and sucrose metabolism	1	12	0.816903534181692	0.999996410493189
Steroid metabolism	1	19	0.932106489515243	0.999996410493189
Transport, golgi apparatus	1	44	0.998056669845408	0.999996410493189
Transport, peroxisomal	1	88	0.999996410493189	0.999996410493189
Chondroitin sulfate degradation	2	34	0.950023632976039	0.999996410493189
Urea cycle	2	21	0.785248339000493	0.999996410493189
Eicosanoid metabolism	3	53	0.977652253861597	0.999996410493189
Glycolysis/gluconeogenesis	3	25	0.658555904800363	0.999996410493189
Methionine and cysteine metabolism	3	27	0.710295823841595	0.999996410493189
Valine, leucine, and isoleucine metabolism	3	27	0.710295823841595	0.999996410493189
Bile acid synthesis	4	43	0.83692524279395	0.999996410493189
Glycerophospholipid metabolism	4	55	0.943856588663091	0.999996410493189
Miscellaneous	9	100	0.924849556655377	0.999996410493189
Nucleotide interconversion	14	135	0.867380313243055	0.999996410493189
Transport, mitochondrial	14	245	0.999968041681353	0.999996410493189
Transport, extracellular	158	1332	0.953039635904544	0.999996410493189
Androgen and estrogen synthesis and metabolism	1	6	0.57190296729503	0.911953380281264
Purine catabolism	3	22	0.569089129661102	0.911953380281264
Pyruvate metabolism	3	21	0.536235989901104	0.903940668690432
Alanine and aspartate metabolism	1	5	0.506849006442804	0.89259513871303
Oxidative phosphorylation	1	5	0.506849006442804	0.89259513871303
Pentose phosphate pathway	4	28	0.514376859597339	0.89259513871303
Transport, nuclear	6	41	0.45955572628437	0.874638317767027
Glutathione metabolism	2	11	0.436079283159436	0.863385810227877
Drug metabolism	12	83	0.412621549583984	0.863385810227877
Fatty acid synthesis	26	189	0.439009734014175	0.863385810227877
Galactose metabolism	2	10	0.387342800139036	0.859409993290553
Glutamate metabolism	2	10	0.387342800139036	0.859409993290553
N-glycan degradation	2	10	0.387342800139036	0.859409993290553
Pyrimidine synthesis	2	10	0.387342800139036	0.859409993290553
Arginine and proline metabolism	4	24	0.391622562600111	0.859409993290553
Sphingolipid metabolism	9	60	0.393289318963474	0.859409993290553
Peptide metabolism	34	240	0.350957878479858	0.859409993290553
Exchange	4	20	0.265422590024787	0.79555562170727
Tyrosine metabolism	7	40	0.269679871765176	0.79555562170727
Citric acid cycle	4	19	0.234917066208783	0.7700059392399
Fructose and mannose metabolism	4	19	0.234917066208783	0.7700059392399
Tryptophan metabolism	4	18	0.205337022765814	0.757180271448938
Keratan sulfate degradation	11	60	0.159195398369821	0.626168566921297
Transport, endoplasmic reticular	20	118	0.139713442826454	0.588792366197201
Cholesterol metabolism	26	158	0.133562593668485	0.588792366197201
Exchange/demand reaction	142	990	0.1286787534664	0.588792366197201
Transport, lysosomal	12	58	0.0722450860262004	0.387496370504166
Heparan sulfate degradation	7	27	0.0556747251008677	0.328480878095119
Butanoate metabolism	2	2	0.0173524929618045	0.113921217011072
Folate metabolism	11	42	0.0173778127644008	0.113921217011072
ROS detoxification	3	4	0.0082286396431482	0.0693556769922491
Vitamin B2 metabolism	3	4	0.0082286396431482	0.0693556769922491
Vitamin A metabolism	7	17	0.00393991260129846	0.0489915626829273
Inositol phosphate metabolism	13	45	0.00415182734601079	0.0489915626829273
Thiamine metabolism	3	3	0.00228197976513694	0.0448789353810264
Phosphatidylinositol phosphate metabolism	12	32	0.00045533247696927	0.0134323080705935
Fatty acid oxidation	137	798	0.000307516415992605	0.0134323080705935
