subSystem_SC	n.x	n.y	p.val	p.val.fdr
Transport, extracellular	9	1295	0.975640914046285	0.975640914046285
Fatty acid synthesis	1	181	0.87929385415271	0.961326943103406
Fatty acid oxidation	5	702	0.917630263871433	0.961326943103406
Transport, mitochondrial	2	228	0.741699324348141	0.858809743982058
Miscellaneous	1	91	0.651468122837356	0.796238816801213
Transport, peroxisomal	1	89	0.643230924329292	0.796238816801213
Transport, lysosomal	1	58	0.488149398372833	0.671205422762645
Folate metabolism	1	41	0.376666719103164	0.552444521351307
Exchange/demand reaction	13	950	0.281190631495153	0.441870992349526
Exchange	1	22	0.223673266929733	0.378523990188779
Pyruvate metabolism	1	21	0.214669851768798	0.378523990188779
Steroid metabolism	1	21	0.214669851768798	0.378523990188779
Sphingolipid metabolism	2	53	0.122217582645363	0.268878681819799
Galactose metabolism	1	8	0.0878460777676979	0.265450246691182
NAD metabolism	1	10	0.108593282737302	0.265450246691182
Transport, endoplasmic reticular	3	101	0.107846233216874	0.265450246691182
Leukotriene metabolism	1	4	0.0449162246924761	0.164692823872412
Glycolysis/gluconeogenesis	2	23	0.0278327520586693	0.122464109058145
Lysine metabolism	2	16	0.0138930459293641	0.0885475974755299
Eicosanoid metabolism	3	47	0.0160995631773691	0.0885475974755299
Nucleotide salvage pathway	2	3	0.000382182020894637	0.004204002229841
Nucleotide interconversion	8	128	8.90306144275876e-05	0.00195867351740693
