	rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization
17	HMR_1329	Eicosanoid metabolism	8644.1	2000	28.3333333333334	70.5882352941176	L	NA	[c]
25	HMR_7198	Transport, lysosomal		10	0	Inf	L	NA	intercompartmental
34	PGESr	Eicosanoid metabolism	80142.4 or 80142.2 or 9536.1 or 80142.1 or 9536.2 or 80142.3	1000	2000	0.5	H	prostaglandin synthesis, cytosol	[r]
38	RE2799C	Eicosanoid metabolism		2000	1028.33333333333	1.94489465153971	L	prostaglandin synthesis, cytosol	[c]
39	RE3597C	Eicosanoid metabolism	874.1 or 873.1	2000	10	200	L	NA	[c]
48	ACNAMlt	Transport, lysosomal	26503.1	0	30.9245283018868	0	H	NA	intercompartmental
54	CMPACNAtg	Transport, golgi apparatus	10559.1	0	65.491089108911	0	H	NA	intercompartmental
57	CYSTA	Methionine and cysteine metabolism	2805.1	20	40	0.5	H	NA	[c]
74	GALASE16ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550137	0	H	NA	[l]
75	GALASE17ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550139	0	H	NA	[l]
76	GALASE18ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550139	0	H	NA	[l]
77	GALASE19ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550139	0	H	NA	[l]
78	GALASE20ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	7.7965582272513	0	H	NA	[l]
79	GALNTg	O-glycan metabolism	26290.1 or 79695.1 or 2589.1 or 50614.1 or 8693.1 or 55568.2 or 114805.1 or 11226.1 or 117248.1 or 11227.1 or 55568.1 or 2590.1 or 51809.1 or 26290.1 or 79623.1 or 63917.1 or 2591.1	0	8.39629347550139	0	H	amino sugar metabolism	[g]
80	GALSIDEtl	Transport, lysosomal		10	109.151815181518	0.0916155171892479	H	NA	intercompartmental
83	HMR_1317	Eicosanoid metabolism		1000	0	Inf	L	NA	[c]
84	KSII_CORE2tly	Transport, lysosomal		0	8.39629347550137	0	H	NA	intercompartmental
85	KSII_CORE4tly	Transport, lysosomal		0	7.7965582272513	0	H	NA	intercompartmental
88	MCLACCYSR	Methionine and cysteine metabolism		10	20	0.5	H	NA	[c]
89	MCLOR	Methionine and cysteine metabolism	92483.1 or (3945.1 and 3939.1) or 55293.1 or 3948.2 or 3948.1 or 3945.1 or 160287.1 or 3939.1	10	20	0.5	H	NA	[c]
92	N3Tg	O-glycan metabolism	56913.1	0	8.39629347550137	0	H	NA	[g]
93	NACHEX23ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	8.39629347550137	0	H	NA	[l]
94	NACHEX24ly	Keratan sulfate degradation	3073.1 or 3074.1 or (3073.1 and 3074.1)	0	8.39629347550139	0	H	NA	[l]
95	NACHEX25ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	8.39629347550139	0	H	NA	[l]
96	NACHEX26ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	7.7965582272513	0	H	chondroitin sulphate degradation, lysosome	[l]
97	NAGA2ly	Keratan sulfate degradation	4668.1	0	8.39629347550139	0	H	NA	[l]
98	NAGLCAly	Keratan sulfate degradation		0	8.39629347550139	0	H	NA	[l]
101	RE3477C1	Eicosanoid metabolism		1000	0	Inf	L	NA	[c]
102	S6TASE22ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	8.39629347550135	0	H	NA	[l]
103	S6TASE23ly	Keratan sulfate degradation	2799.1	0	8.39629347550135	0	H	NA	[l]
104	S6TASE24ly	Keratan sulfate degradation	2799.1	0	8.39629347550135	0	H	NA	[l]
105	S6TASE25ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	7.79655822725135	0	H	chondroitin degradation, lysosome	[l]
106	S6TASE26ly	Keratan sulfate degradation	2799.1	0	7.79655822725135	0	H	chondroitin degradation, lysosome	[l]
107	SFCYSc	Methionine and cysteine metabolism		10	20	0.5	H	NA	[c]
109	SIAASE3ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	8.39629347550137	0	H	NA	[l]
110	SIAASE4ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	7.7965582272513	0	H	chondroitin degradation, lysosome	[l]
111	Ser_Thrtg	Transport, golgi apparatus		0	8.39629347550135	0	H	NA	intercompartmental
112	TXB2c	Eicosanoid metabolism		1000	0	Inf	L	lipid metabolism	[c]
114	UDPACGALtl	Transport, lysosomal		0	8.39629347550135	0	H	NA	intercompartmental
115	UDPGALtg	Transport, golgi apparatus	7355.1	0	109.151815181518	0	H	NA	intercompartmental
116	UDPtl	Transport, lysosomal		0	8.39629347550135	0	H	NA	intercompartmental
117	UGALNACtg	Transport, golgi apparatus	7355.1	0	32.7455445544554	0	H	NA	intercompartmental
118	UGLCNACtg	Transport, golgi apparatus	11046.1	0	38.9827911362565	0	H	NA	intercompartmental
