	rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization
4	ACGAM2E	Aminosugar metabolism	5973.1	0	34.6868070953437	0	H	NA	[c]
5	ACGAMPM	Aminosugar metabolism	5238.1	0	34.6868070953437	0	H	amino sugar metabolism	[c]
6	ACGPID	Phosphatidylinositol phosphate metabolism	9487.1	0	8.33333333333333	0	H	NA	[c]
9	ACNMLr	Aminosugar metabolism		0	34.6868070953437	0	H	NA	[c]
13	BMTer_U	Phosphatidylinositol phosphate metabolism	9488.1	0	8.33333333333333	0	H	NA	[r]
22	DOLMANP_Uter	N-glycan synthesis		0	25	0	H	NA	intercompartmental
23	DOLPMT3_Uer	N-glycan synthesis	79087.1	0	25	0	H	NA	[c]
24	DOLPMT4_Uer	N-glycan synthesis		0	25	0	H	NA	intercompartmental
41	GALASE16ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	7.6532640269072	0	H	NA	[l]
42	GALASE17ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	7.6532640269072	0	H	NA	[l]
43	GALASE18ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	7.6532640269072	0	H	NA	[l]
44	GALASE19ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	7.6532640269072	0	H	NA	[l]
45	GALASE20ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	6.93736141906873	0	H	NA	[l]
48	GPIAT	Phosphatidylinositol phosphate metabolism	284098.1	0	8.33333333333333	0	H	NA	[c]
49	GPIDAer	Phosphatidylinositol phosphate metabolism	80055.1	0	5.55555555555556	0	H	NA	[r]
50	GPIMTer_U	Phosphatidylinositol phosphate metabolism	93183.1 and 54965.1	0	8.33333333333333	0	H	NA	[r]
51	H2ETer	Phosphatidylinositol phosphate metabolism	23556.1 or 23556.2	0	8.33333333333333	0	H	phospholipid metabolism, er/ inositol	[r]
52	H2MTer_U	Phosphatidylinositol phosphate metabolism	55650.1	0	8.33333333333333	0	H	NA	[r]
53	H3ETer	Phosphatidylinositol phosphate metabolism	23556.1 or 23556.2	0	8.33333333333333	0	H	phospholipid metabolism, er/ inositol	[r]
54	H3MTer_U	Phosphatidylinositol phosphate metabolism	9488.1	0	8.33333333333333	0	H	NA	[r]
55	H4ET3er	Phosphatidylinositol phosphate metabolism	(84720.2 and 5281.1) or (84720.1 and 5281.2) or (5281.1 and 84720.1) or (84720.2 and 5281.2)	0	8.33333333333333	0	H	phospholipid metabolism, er/ inositol	[r]
56	H4ETer	Phosphatidylinositol phosphate metabolism	23556.1 or 23556.2	0	8.33333333333333	0	H	phospholipid metabolism, er/ inositol	[r]
57	H5MTer_U	Phosphatidylinositol phosphate metabolism	55650.1	0	8.33333333333333	0	H	NA	[r]
58	H6ET3er	Phosphatidylinositol phosphate metabolism	(84720.2 and 5281.1) or (84720.1 and 5281.2) or (5281.1 and 84720.1) or (84720.2 and 5281.2)	0	8.33333333333333	0	H	phospholipid metabolism, er/ inositol	[r]
59	H6_ETer	Phosphatidylinositol phosphate metabolism	23556.1 or 23556.2	0	8.33333333333333	0	H	phospholipid metabolism, er/ inositol	[r]
60	H7_ETer	Phosphatidylinositol phosphate metabolism	23556.1 or 23556.2	0	5.55555555555556	0	H	phospholipid metabolism, er/ inositol	[r]
61	H8TAer	Phosphatidylinositol phosphate metabolism	10026.1 and 8733.1 and 128869.1 and 94005.1 and 51604.1	0	5.55555555555556	0	H	phospholipid metabolism, er/ inositol	[r]
103	NACHEX23ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	7.6532640269072	0	H	NA	[l]
104	NACHEX24ly	Keratan sulfate degradation	3073.1 or 3074.1 or (3073.1 and 3074.1)	0	7.6532640269072	0	H	NA	[l]
105	NACHEX25ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	7.6532640269072	0	H	NA	[l]
106	NACHEX26ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	6.93736141906873	0	H	chondroitin sulphate degradation, lysosome	[l]
107	NAGA2ly	Keratan sulfate degradation	4668.1	0	7.6532640269072	0	H	NA	[l]
108	NAGLCAly	Keratan sulfate degradation		0	7.6532640269072	0	H	NA	[l]
