del_rxnID_KO	prctile_CP	prctile_PC	prctile_CB	prctile_BC	prctile_CBR	prctile_BRC	prctile_CBNR	prctile_BNRC	subSystem_CP	subSystem_PC	subSystem_CB	subSystem_BC	subSystem_CBR	subSystem_BRC	subSystem_CBNR	subSystem_BNRC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CB	MetabolicUnits_BC	MetabolicUnits_CBR	MetabolicUnits_BRC	MetabolicUnits_CBNR	MetabolicUnits_BNRC	Localization_CP	Localization_PC	Localization_CB	Localization_BC	Localization_CBR	Localization_BRC	Localization_CBNR	Localization_BNRC
SPHS1Pte	79.7899778924097	54.7827819848545	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
13_CIS_RETNte	79.7899778924097	31.7457154244719	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
PPBNGte	79.7899778924097	11.8971701873256	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	52.688566709488	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
HMR_0388	79.7899778924097	60.1036269430052	69.7126013264554	91.5829145728643	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
GACMTRc	68.2756079587325	28.0390593862096	69.7126013264554	92.2828427853553	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	creatine synthesis	creatine synthesis	creatine synthesis	creatine synthesis	creatine synthesis	creatine synthesis	creatine synthesis	creatine synthesis	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
GUDACtr2	68.2756079587325	24.4121163810283	69.7126013264554	92.2828427853553	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
PCREATte	68.2756079587325	31.4667198086887	69.7126013264554	92.0315865039483	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
CK	68.2756079587325	44.0813072937425	69.7126013264554	98.1873653984207	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	phosphocreatine synthesis, mitochondria	phosphocreatine synthesis, mitochondria	phosphocreatine synthesis, mitochondria	phosphocreatine synthesis, mitochondria	phosphocreatine synthesis, mitochondria	phosphocreatine synthesis, mitochondria	phosphocreatine synthesis, mitochondria	phosphocreatine synthesis, mitochondria	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[m]
PCREATtmdiffir	68.2756079587325	44.0813072937425	69.7126013264554	98.1873653984207	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
CREATtmdiffir	68.2756079587325	44.0813072937425	69.7126013264554	98.1873653984207	77.2836316663591	83.7778186499908	74.0829493087558	77.3719948614425	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
RE2034C	67.0412675018423	25.5480271024312	74.0972733971997	26.9382627422828	93.6704188964754	52.5289681809822	79.4838709677419	24.1145164250321	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	Urea cycle	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
C02356t	67.0412675018423	25.5480271024312	74.0972733971997	26.9382627422828	93.6704188964754	52.5289681809822	79.4838709677419	24.1145164250321	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
NRPPHRt4_2_r	64.0383198231393	14.5277002789956	90.2726602800295	18.2340272792534	97.1212400811958	97.4250505793636	50.8387096774194	29.9137456414021	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
