name	Ctrl_unchanged	ST_top
ARGCYSGLYr	1	0
ARGCYSGLYt	1	0
ARGCYSSERr	1	0
ARGCYSSERt	1	0
ARGGLUPROr	1	0
ARGGLUPROt	1	0
ARGGLYGLYr	1	0
ARGGLYGLYt	1	0
ARGHISTHRr	1	0
ARGHISTHRt	1	0
ARGLEUPHEr	1	0
ARGLEUPHEt	1	0
ARGLYSASPr	1	0
ARGLYSASPt	1	0
ARGPROMETr	1	0
ARGPROMETt	1	0
ARGPROTHRr	1	0
ARGPROTHRt	1	0
ARGSERSERr	1	0
ARGSERSERt	1	0
ARGtD	1	0
ARGtm	1	0
ARGTYRVALr	1	0
ARGTYRVALt	1	0
ARGVALCYSr	1	0
ARGVALCYSt	1	0
ARGVALTRPr	1	0
ARGVALTRPt	1	0
ARTPLM3m	1	0
ASNASNARGr	1	0
ASNASNARGt	1	0
ASNCYSCYSr	1	0
ASNCYSCYSt	1	0
ASNMETPROr	1	0
ASNMETPROt	1	0
ASNPHEASPr	1	0
ASNPHEASPt	1	0
ASNPHECYSr	1	0
ASNPHECYSt	1	0
ASNt4	1	0
ASNTYRGLYr	1	0
ASNTYRGLYt	1	0
ASNTYRPHEr	1	0
ASNTYRPHEt	1	0
ASNTYRTHRr	1	0
ASNTYRTHRt	1	0
ASPALAARGr	1	0
ASPALAARGt	1	0
ASPASNGLUr	1	0
ASPASNGLUt	1	0
ASPCTr	0	1
ASPDt6	1	0
ASPDTDe	1	0
ASPGLUm	1	0
ASPGLUPROr	1	0
ASPGLUPROt	1	0
ASPGLUr	1	0
ASPGLUt	1	0
ASPGLUTRPr	1	0
ASPGLUTRPt	1	0
ASPHISPROr	1	0
ASPHISPROt	1	0
ASPLYSHISr	1	0
ASPLYSHISt	1	0
ASPMETASPr	1	0
ASPMETASPt	1	0
ASPPROLYSr	1	0
ASPPROLYSt	1	0
ASPt6	1	0
ASPTA	1	0
ASPTAm	1	0
ASPVALASNr	1	0
ASPVALASNt	1	0
ATP1ter	1	0
ATPH2e	0	1
ATPS4mi	1	0
ATPtm	1	0
ATPtx	1	0
ATVLACtdhc	1	0
ATVLACThc	1	0
B_MANNASEly	0	1
B3GALT3g	0	1
B3GALT43g	0	1
B3GALT44g	0	1
B3GALT5g	0	1
BAAT2x	1	0
BALABETAtc2	1	0
BALAtmr	0	1
BAMPPALDOX	0	1
BBHOX	0	1
BCRNe	0	1
BDHm	1	0
BETBGTtc	1	0
BGAL1e	1	1
BGAL1l	0	1
BGAL2l	0	1
BGAL3l	0	1
BGLYte	0	1
BHBt	1	0
BILGLCURt	1	0
BILGLCURtr	1	0
BILIRUBtr	1	0
BMTer_U	0	1
BPNT	0	1
BTNt2	1	0
BUTSMCT1	1	0
C02356t	1	0
C04483t2	1	0
C04717td	0	1
C04805td	1	0
C05953tm	1	0
C05957td	1	0
C06314t	0	1
C06315t	0	1
C09642te	0	1
C100CPT1	0	1
C101CPT1	0	1
C101CRNe	0	1
C102CPT1	0	1
C10CRNe	0	1
C10DCc	0	1
C10DCCACT	0	1
C10OHc	0	1
C11695td	1	0
C120CPT1	0	1
C121CPT1	0	1
C12DCACT	0	1
C12OHc	0	1
C13856te	0	1
C140CPT1	1	0
C141ACBP	0	1
C141CPT1	0	1
C141OHc	0	1
C141OHe	0	1
C142CPT1	0	1
C14OHc	0	1
C160CPT1	1	0
C160CPT2	1	0
C160CRNt	1	0
C161CPT22	1	0
C161CRN2t	1	0
C161CRNt	1	0
C161OHc	0	1
C162ACBP	0	1
C162OHc	0	1
C162OHe	0	1
C16DCc	0	1
C16DCe	0	1
C16OHc	0	1
C180CPT1	1	0
C180CPT2	1	0
C180CRNt	1	0
C181CPT1	1	0
C181CPT2	1	0
C181CRNt	1	0
C181OHc	0	1
C182OHc	0	1
C18OHc	0	1
C204CPT1	1	0
C204CPT2	1	0
C204CRNt	1	0
C226CPT1	1	0
C226CPT2	1	0
C2tcx	1	0
C30CPT1	0	1
C3DCe	0	1
C40CPT1	1	0
C4CRNCPT2	1	0
C4DCCACT	0	1
C4OHc	0	1
C50CPT1	0	1
C51CPT1	0	1
C5DCe	0	1
C60CPT1	1	0
C6COAt	1	0
C6CRNtcx	1	0
C6DCc	0	1
C6DCCACT	0	1
C80CPT1	1	0
C81CPT1	0	1
C81CRNe	0	1
C8CRNe	0	1
C8DCc	0	1
CA24GSc	0	1
CARNtr	0	1
CAt7r	1	0
CATp	1	0
CBASPte	0	1
CBR2	1	0
CDS	1	0
CDSm	1	0
CE0737te	0	1
CE1243UPKt	0	1
CE1261t	0	1
CE1401te	1	0
CE1556td	1	0
CE1617te	0	1
CE1918te	0	1
CE2006te	0	1
CE2172t	0	1
CE2445t	1	1
CE2513td	1	0
CE2934t	0	1
CE5025t	0	1
CE5026t	1	1
CE5304t	1	0
CE6031t	0	1
CERT1gt	0	1
CERT2rt	1	1
CHAT	1	0
CHATn	1	0
CHOLPtr	1	0
CHOLt4	1	0
CHOLtn	1	0
CHSTEROLSte	1	0
CHSTEROLt1	1	0
CHSTEROLtg	1	0
CHSTEROLtrc	1	0
CHTNASEe	0	1
CITRtm	1	0
CITt4_2	1	0
CITt4_4	1	0
CK	1	0
CLPNDCPT1	1	0
CLPNDCPT2	1	0
CLPNDCRNt	1	0
CMPACNAtg	1	1
CMPACNAtn	1	0
CMPSASn	1	0
CO2tg	0	1
CO2tm	1	0
CO2tp	1	0
COAtm	1	0
COAtn	1	0
COAtr	1	0
COPROSTt	0	1
Coqe	0	1
CORE2GTg	0	1
CORTSNt	0	1
CORTSNti	0	1
CREATtmdiffir	1	0
CRMPte	0	1
CRMte	0	1
CRNtim	1	0
CRNtx	1	0
CRTSLt	0	1
CRTSLtr	0	1
CRTSTRNt	0	1
CRVSM1hr	0	1
CRVSM23hr	0	1
CRVSthc	1	0
CRVStu	1	0
CSAtd	0	1
CSBPASEly	0	1
CSEPASEly	0	1
CSm	1	0
CSNATm	1	0
CSNATp	1	0
CSNATr	1	0
CSPG_Btly	0	1
CSPG_Ct	0	1
CSPG_Dt	0	1
CSPG_Et	0	1
CSPG_Etly	0	1
CTPtn	1	0
CVM1GLUChc	0	1
CVM23GLUChc	0	1
CYANt	0	1
CYOR_u10mi	1	0
CYSASNMETr	1	0
CYSASNMETt	1	0
CYSASPPHEr	1	0
CYSASPPHEt	1	0
CYSGLNMETr	1	0
CYSGLNMETt	1	0
CYSGLTH	1	0
CYSGLUexR	1	0
CYSGLUHISr	1	0
CYSGLUHISt	1	0
CYSGLUTRPr	1	0
CYSGLUTRPt	1	0
CYSGLYexR	1	0
CYSLEUTHRr	1	0
CYSLEUTHRt	1	0
CYSSERMETr	1	0
CYSSERMETt	1	0
CYSSNAT5tc	1	0
CYSt4	1	0
CYSTA	1	0
CYStec	1	0
CYSTGLUex	0	1
CYSTYRASNr	1	0
CYSTYRASNt	1	0
CYTDK1	1	1
CYTDt2r	1	0
CYTDt5le	1	0
CYTK1	1	1
CYTK10n	1	0
CYTK11	1	0
CYTK12n	1	0
CYTK13	1	1
CYTK13n	1	0
CYTK14	1	1
CYTK14n	1	1
CYTK1m	1	0
CYTK1n	1	1
CYTK2	1	0
CYTK2n	1	1
CYTK3	1	0
CYTK4	1	0
CYTK5	1	0
CYTK6	0	1
CYTK6n	1	1
CYTK7	1	1
CYTK7n	1	0
CYTK8	0	1
CYTK8n	1	1
CYTK9n	1	1
D_LACtm	0	1
D3AIBTm	1	0
DACGST	0	1
DACT	1	0
DADAe	0	1
DAG_HSter	0	1
DAG_HStg	0	1
DAGK_hs	1	0
DCIm	1	0
DCK1n	1	0
DCK2n	1	0
DCMPtr	1	0
DCSPTN1COAtx	0	1
DCSPTN1CPT1	0	1
DCSPTN1CPT2	0	1
DCSPTN1CRNt	1	0
DCT	0	1
DDCAte	0	1
DDCRNe	0	1
DDECCRNe	0	1
DDECE1CRNe	0	1
DDPGAm	1	0
DECCRNe	0	1
DECDICRNe	0	1
DEOXFVShc	0	1
DEOXFVSitx	0	1
DEOXFVStev	0	1
DESAT16_2	0	1
DESAT18_4	1	0
DESAT18_6	1	0
DESAT18_7	1	0
DESAT20_1	0	1
DESAT20_2	0	1
DESAT24_1	0	1
DGK1	1	0
DGULND	0	1
DHBPTt	0	1
DHCHOLESTANATEt	1	0
DHCHOLESTANATEtm	1	0
DHCR71r	1	0
DHCR72r	1	0
DHCRMter	0	1
DHEASt	1	0
DHFR	1	0
DHFtl	1	0
DHGLZhc	0	1
DHGLZtev	0	1
DHPR	0	1
DLNLCGCPT1	1	0
DLNLCGCRNt	1	0
DLNLCGt	1	0
DM_12dhchol[c]	0	1
DM_1a25dhvitd3[n]	0	1
DM_3dhchol[c]	0	1
DM_3dhdchol[c]	0	1
DM_4glu56dihdind[c]	0	1
DM_7dhcdchol[c]	0	1
DM_7dhchol[c]	0	1
DM_adprbp[c]	0	1
DM_akg[c]	1	0
DM_anth	0	1
DM_Asn_X_Ser_Thr_ly_	0	1
DM_ca24g[c]	0	1
DM_CE4888[c]	0	1
DM_CE5025[c]	0	1
DM_CE5026[c]	0	1
DM_coprost[c]	0	1
DM_core5_g_	0	1
DM_core7_g_	0	1
DM_core8_g_	0	1
DM_dctp_m_	1	0
DM_dem2emgacpail_prot_hs_r_	0	1
DM_dgpi_prot_hs_r_	0	1
DM_dopa[c]	0	1
DM_gd3_hs[l]	0	1
DM_gdca3s[c]	0	1
DM_hyochol[c]	0	1
DM_icdchol[c]	0	1
DM_isochol[c]	0	1
DM_itp[n]	0	1
DM_lca24g[c]	0	1
DM_lca3g[c]	0	1
DM_m_em_3gacpail_prot_hs_r_	0	1
DM_melanin_c_	0	1
DM_mi14p[c]	1	0
DM_mqn10[c]	0	1
DM_mqn11[c]	0	1
DM_mqn7[c]	0	1
DM_mqn8[c]	0	1
DM_mqn9[c]	0	1
DM_n5m2masn_g_	0	1
DM_pmtcoa[r]	1	0
DM_retn[n]	0	1
DM_Ser_Gly_Ala_X_Gly_ly_	1	0
DM_Ser_Thr_ly_	0	1
DM_tcdca3s[c]	0	1
DM_tudca3s[c]	0	1
DM_tym[c]	0	1
DM_uchol[c]	0	1
DMGLYtr	0	1
DMHPTCRNCPT2	0	1
DMHPTCRNt	1	0
DMHPTCRNte	0	1
DMNONCRNCPT2	0	1
DMNONCRNt	1	0
DOCOSACTDe	1	0
DODECANACtd	0	1
DOLMANP_Uter	0	1
DOLPMT3_Uer	0	1
DOLPMT4_Uer	0	1
DOPA3GLCURt	0	1
DOPA4GLCURt	0	1
DOPACCL	0	1
DOPAENT4tc	1	0
DOPAMT	0	1
DOPAQNISO1	0	1
DPCOAK	1	0
DPCOAPPe	0	1
DPMVDc	1	0
DURAD	1	0
DURIK1	1	0
DURIPP	1	0
DXTRNt	1	0
ECOAH1m	1	0
ECOAH1x	1	0
ECOAH9m	1	0
EICOSTETCPT1	0	1
EICOSTETCPT2	0	1
EICOSTETCRNt	1	0
EICOSTETt	1	0
ELAIDCPT1	1	0
ELAIDCPT2	1	0
ELAIDCRNt	1	0
ELAIDt	1	0
ENGASE2ly	0	1
ENGASE3ly	0	1
ENGASEly	0	1
ENO	1	0
ESTRADIOLt	0	1
ESTRADIOLtr	1	0
ESTRONEtr	1	0
ETF	1	0
ETFQO	1	0
ETHAMPtr	1	0
EX_10fthf[e]	0	1
EX_10fthf6glu[e]	0	1
EX_10fthf7glu[e]	0	1
EX_12dhchol[e]	0	1
EX_12HPET[e]	0	1
EX_13_cis_retn[e]	0	1
EX_1331tacr[e]	0	1
EX_13dampp[e]	0	1
EX_13dmt[e]	0	1
EX_1531tacr[e]	0	1
EX_15dmt[e]	0	1
EX_1a25dhvitd3[e]	0	1
EX_2h3mv[e]	1	0
EX_2hiv[e]	1	0
EX_2m3hvac[e]	1	0
EX_2obut[e]	1	0
EX_2pg[e]	1	0
EX_31dmt[e]	0	1
EX_34dhoxmand[e]	0	1
EX_34dhoxpeg[e]	0	1
EX_34dhpha[e]	0	1
EX_34dhphe[e]	0	1
EX_34hpl[e]	1	0
EX_34hpp[e]	1	0
EX_3bcrn[e]	0	1
EX_3ddcrn[e]	0	1
EX_3deccrn[e]	0	1
EX_3dhchol[e]	0	1
EX_3dhdchol[e]	0	1
EX_3hadpac[e]	0	1
EX_3hdececrn[e]	0	1
EX_3hexdcrn[e]	0	1
EX_3hpvs[e]	0	1
EX_3hpvstet[e]	0	1
EX_3ivcrn[e]	0	1
EX_3mob[e]	1	0
EX_3mop[e]	1	0
EX_3mox4hoxm[e]	0	1
EX_3moxtyr[e]	0	1
EX_3octdec2crn[e]	0	1
EX_3octdeccrn[e]	0	1
EX_3octdece1crn[e]	0	1
EX_3ohsebac[e]	0	1
EX_3ohsubac[e]	0	1
EX_3pg[e]	1	0
EX_3tdcrn[e]	0	1
EX_3tetd7ecoacrn[e]	0	1
EX_3thexddcoacrn[e]	0	1
EX_4abut[e]	1	0
EX_4abutn[e]	1	1
EX_4hpro[e]	1	0
EX_4mop[e]	1	0
EX_4nph[e]	0	1
EX_4tmeabutn[e]	0	1
EX_5adtststerone[e]	0	1
EX_5adtststerones[e]	0	1
EX_5cysgly34dhphe[e]	0	1
EX_5dhf[e]	0	1
EX_5fthf[e]	0	1
EX_5hoxindoa[e]	0	1
EX_5HPET[e]	1	0
EX_5mta[e]	0	1
EX_7dhcdchol[e]	0	1
EX_7dhchol[e]	0	1
EX_7dhchsterol[e]	1	0
EX_7dhf[e]	0	1
EX_7thf[e]	0	1
EX_9_cis_retfa[e]	0	1
EX_aact[e]	0	1
EX_abt_D[e]	0	1
EX_abt[e]	0	1
EX_acgal[e]	0	1
EX_acgam[e]	0	1
EX_achom_L[e]	0	1
EX_aclys[e]	1	0
EX_acnacngal14acglcgalgluside_hs[e]	0	1
EX_acnacngalgbside_hs[e]	0	1
EX_acnam[e]	0	1
EX_acrn[e]	0	1
EX_ade[e]	1	0
EX_adp[e]	0	1
EX_adpac[e]	0	1
EX_adpoh[e]	1	0
EX_adprbp[e]	0	1
EX_adrn[e]	0	1
EX_ahcys[e]	1	0
EX_ahdt[e]	0	1
EX_akg[e]	1	0
EX_ala_B[e]	0	1
EX_ala_D[e]	1	0
EX_ala_L[e]	1	0
EX_alaargcys[e]	1	0
EX_alaarggly[e]	1	0
EX_alaasnleu[e]	1	0
EX_alaglylys[e]	1	0
EX_alahisala[e]	1	0
EX_alalysthr[e]	1	0
EX_aldstrn[e]	0	1
EX_alltn[e]	0	1
EX_am1alcs[e]	0	1
EX_am1csa[e]	0	1
EX_am4n9cs[e]	0	1
EX_am4ncs[e]	0	1
EX_am9csa[e]	0	1
EX_ametam[e]	0	1
EX_amp[e]	0	1
EX_andrstrn[e]	0	1
EX_anth[e]	0	1
EX_arab_L[e]	0	1
EX_arachd[e]	1	0
EX_arg_L[e]	1	0
EX_argalaala[e]	1	0
EX_argalaphe[e]	1	0
EX_argcysgly[e]	1	0
EX_argcysser[e]	1	0
EX_argglupro[e]	1	0
EX_argglygly[e]	1	0
EX_arghisthr[e]	1	0
EX_argleuphe[e]	1	0
EX_arglysasp[e]	1	0
EX_argpromet[e]	1	0
EX_argprothr[e]	1	0
EX_argserser[e]	1	0
EX_argtyrval[e]	1	0
EX_argvalcys[e]	1	0
EX_argvaltrp[e]	1	0
EX_ascb_L[e]	0	1
EX_asn_L[e]	1	0
EX_asnasnarg[e]	1	0
EX_asncyscys[e]	1	0
EX_asnmetpro[e]	1	0
EX_asnpheasp[e]	1	0
EX_asnphecys[e]	1	0
EX_asntyrgly[e]	1	0
EX_asntyrphe[e]	1	0
EX_asntyrthr[e]	1	0
EX_asp_L[e]	1	0
EX_aspalaarg[e]	1	0
EX_aspasnglu[e]	1	0
EX_aspglu[e]	1	0
EX_aspglupro[e]	1	0
EX_aspglutrp[e]	1	0
EX_asphispro[e]	1	0
EX_asplyshis[e]	1	0
EX_aspmetasp[e]	1	0
EX_aspprolys[e]	1	0
EX_aspvalasn[e]	1	0
EX_bgly[e]	0	1
EX_bilglcur[e]	0	1
EX_bilirub[e]	0	1
EX_but[e]	0	1
EX_C01601[e]	0	1
EX_C02356[e]	1	0
EX_C02470[e]	0	1
EX_C04717[e]	0	1
EX_C04805[e]	1	0
EX_C04849[e]	0	1
EX_C05957[e]	1	0
EX_C06314[e]	0	1
EX_C06315[e]	0	1
EX_C09642[e]	0	1
EX_c101crn[e]	0	1
EX_c10crn[e]	0	1
EX_C11695[e]	1	0
EX_C13856[e]	0	1
EX_c16dc[e]	0	1
EX_c3dc[e]	0	1
EX_c51crn[e]	0	1
EX_c5dc[e]	0	1
EX_c81crn[e]	0	1
EX_c8crn[e]	0	1
EX_ca2[e]	0	1
EX_caproic[e]	1	1
EX_carn[e]	0	1
EX_cbasp[e]	0	1
EX_cdp[e]	0	1
EX_CE0074[e]	0	1
EX_CE0737[e]	0	1
EX_CE1243[e]	0	1
EX_CE1261[e]	0	1
EX_CE1401[e]	1	0
EX_CE1557[e]	1	0
EX_CE1617[e]	0	1
EX_CE1918[e]	0	1
EX_CE1925[e]	0	1
EX_CE1926[e]	0	1
EX_CE2006[e]	0	1
EX_CE2172[e]	0	1
EX_CE2445[e]	1	1
EX_CE2510[e]	0	1
EX_CE2838[e]	0	1
EX_CE2839[e]	0	1
EX_CE2915[e]	0	1
EX_CE2916[e]	0	1
EX_CE2917[e]	0	1
EX_CE2934[e]	0	1
EX_CE4633[e]	0	1
EX_CE4722[e]	0	1
EX_CE4723[e]	0	1
EX_CE4724[e]	0	1
EX_CE4881[e]	0	1
EX_CE4890[e]	0	1
EX_CE5025[e]	0	1
EX_CE5026[e]	0	1
EX_CE5304[e]	1	0
EX_CE5786[e]	0	1
EX_CE5787[e]	0	1
EX_CE5788[e]	0	1
EX_CE5789[e]	0	1
EX_CE5791[e]	0	1
EX_CE5797[e]	0	1
EX_CE5798[e]	0	1
EX_CE5853[e]	0	1
EX_CE5854[e]	0	1
EX_CE5867[e]	0	1
EX_CE5868[e]	0	1
EX_CE5869[e]	0	1
EX_CE6031[e]	0	1
EX_cgly[e]	1	1
EX_chol[e]	0	1
EX_cholp[e]	1	0
EX_chsterol[e]	1	0
EX_chsterols[e]	1	0
EX_chtn[e]	0	1
EX_citr_L[e]	1	0
EX_cl[e]	0	1
EX_clpnd[e]	0	1
EX_cmp[e]	0	1
EX_cmpacna[e]	0	1
EX_coa[e]	0	1
EX_coprost[e]	0	1
EX_core5[e]	0	1
EX_core7[e]	0	1
EX_core8[e]	0	1
EX_cortsn[e]	0	1
EX_crmp_hs[e]	0	1
EX_crn[e]	0	1
EX_crtsl[e]	0	1
EX_crtstrn[e]	0	1
EX_crvnc[e]	0	1
EX_csa[e]	0	1
EX_cspg_a[e]	0	1
EX_cspg_b[e]	0	1
EX_cspg_c[e]	0	1
EX_cspg_d[e]	0	1
EX_ctp[e]	0	1
EX_cyan[e]	0	1
EX_cys_L[e]	1	0
EX_cysasnmet[e]	1	0
EX_cysaspphe[e]	1	0
EX_cysglnmet[e]	1	0
EX_cysgluhis[e]	1	0
EX_cysglutrp[e]	1	0
EX_cysleuthr[e]	1	0
EX_cyssermet[e]	1	0
EX_cystyrasn[e]	1	0
EX_dad_2[e]	0	1
EX_dca[e]	0	1
EX_dchac[e]	1	0
EX_dcmp[e]	1	0
EX_dcsptn1[e]	0	1
EX_ddca[e]	0	1
EX_ddece1crn[e]	0	1
EX_ddecrn[e]	0	1
EX_decdicrn[e]	0	1
EX_deoxfvs[e]	0	1
EX_dgmp[e]	0	1
EX_dgsn[e]	0	1
EX_dgtp[e]	0	1
EX_dha[e]	0	1
EX_dhap[e]	0	1
EX_dhbpt[e]	0	1
EX_dhcholestanate[e]	1	0
EX_dhdascb[e]	0	1
EX_dhf[e]	0	1
EX_dhglz[e]	0	1
EX_din[e]	0	1
EX_ditp[e]	0	1
EX_dlnlcg[e]	0	1
EX_dmgly[e]	0	1
EX_dmhptcrn[e]	0	1
EX_doco13ac[e]	0	1
EX_docosac[e]	0	1
EX_dodecanac[e]	0	1
EX_dopa[e]	0	1
EX_dopa3glcur[e]	0	1
EX_dopa4glcur[e]	0	1
EX_dtmp[e]	0	1
EX_dttp[e]	0	1
EX_dxtrn[e]	1	0
EX_eicostet[e]	0	1
EX_elaid[e]	1	0
EX_elaidcrn[e]	0	1
EX_estradiol[e]	0	1
EX_ethamp[e]	1	0
EX_f1a[e]	0	1
EX_fald[e]	0	1
EX_fmn[e]	0	1
EX_forglu[e]	0	1
EX_fuc_L[e]	0	1
EX_fuc13galacglcgal14acglcgalgluside_hs[e]	0	1
EX_fucacgalfucgalacglcgalgluside_hs[e]	0	1
EX_fvs[e]	0	1
EX_ga1_hs[e]	0	1
EX_gal[e]	1	0
EX_galgluside_hs[e]	0	1
EX_galt[e]	1	0
EX_gam[e]	0	1
EX_gbside_hs[e]	0	1
EX_gd1c_hs[e]	0	1
EX_gd3_hs[e]	0	1
EX_gdca3s[e]	0	1
EX_gdp[e]	0	1
EX_glc_D[e]	1	0
EX_glcr[e]	0	1
EX_glcur[e]	0	1
EX_gln_L[e]	1	0
EX_glnasngln[e]	1	0
EX_glnhislys[e]	1	0
EX_glnproglu[e]	1	0
EX_glntrpglu[e]	1	0
EX_glntyrleu[e]	1	0
EX_glu_L[e]	1	0
EX_gluala[e]	0	1
EX_gluargleu[e]	1	0
EX_gluasnleu[e]	1	0
EX_gluglu[e]	1	0
EX_gluilelys[e]	1	0
EX_gluleu[e]	1	0
EX_glumethis[e]	1	0
