rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization	RxnFormula
2MOPtm	Transport, mitochondrial		846.346153846154	499.760129256774	1.69350475217943	L	NA	intercompartmental	2mop[c]  -> 2mop[m] 
34DHPLACOX_NADP_	Tyrosine metabolism	222.1 or 221.1 or 218.1	1010	10	101	L	NA	[c]	h2o[c] + nadp[c] + 34dhpac[c]  <=> 2 h[c] + nadph[c] + 34dhpha[c] 
3SALAASPm	Transport, mitochondrial	10165.1 or 8604.1	846.346153846154	499.760129256774	1.69350475217943	L	NA	intercompartmental	3sala[m] + asp_L[c]  <=> 3sala[c] + asp_L[m] 
ASPGLUm	Transport, mitochondrial	8604.1 or 10165.1	846.346153846154	499.760129256774	1.69350475217943	L	malate-aspartate shuttle	intercompartmental	h[c] + glu_L[c] + asp_L[m]  -> h[m] + glu_L[m] + asp_L[c] 
ASPTAm	Alanine and aspartate metabolism	2806.1	891.346153846153	545.11131942817	1.63516353830478	L	malate-aspartate shuttle	[m]	akg[m] + asp_L[m]  <=> glu_L[m] + oaa[m] 
BILIRUBt2	Transport, extracellular	10599.1	2000	0	Inf	L	NA	intercompartmental	hco3[c] + bilirub[e]  <=> hco3[e] + bilirub[c] 
DESAT20_2	Fatty acid synthesis	3992.1	0	22	0	H	fatty acid synthesis & elongation	[c]	o2[c] + h[c] + nadh[c] + eicostetcoa[c]  -> 2 h2o[c] + nad[c] + tmndnccoa[c] 
DLNLCGCPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	2000	484.760416666667	4.12574940370028	L	carnitine shuttle	[c]	crn[c] + dlnlcgcoa[c]  <=> coa[c] + dlnlcgcrn[c] 
DM_adprbp[c]	Exchange/demand reaction		0	10	0	H	NA	[c]	adprbp[c]  -> 
EICOSTETCPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	0	35	0	H	carnitine shuttle	[c]	crn[c] + eicostetcoa[c]  <=> coa[c] + eicostetcrn[c] 
EICOSTETCPT2	Fatty acid oxidation	1376.1	0	35	0	H	carnitine shuttle	[m]	coa[m] + eicostetcrn[m]  <=> crn[m] + eicostetcoa[m] 
ELAIDCPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	456.583732057416	195.75	2.33248394409919	L	carnitine shuttle	[c]	crn[c] + od2coa[c]  <=> coa[c] + elaidcrn[c] 
ELAIDCPT2	Fatty acid oxidation	1376.1	456.583732057416	188.25	2.42541159127445	L	carnitine shuttle	[m]	coa[m] + elaidcrn[m]  <=> crn[m] + od2coa[m] 
EX_adprbp[e]	Exchange/demand reaction		0	9.99999999999999	0	H	NA	[e]	adprbp[e]  -> 
EX_eicostet[e]	Exchange/demand reaction		0	35	0	H	NA	[e]	eicostet[e]  -> 
FAOXC204184m	Fatty acid oxidation	35.1 or 34.1	0	35	0	H	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + eicostetcoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + strdnccoa[m] 
HMR_1329	Eicosanoid metabolism	8644.1	2000	28.3333333333334	70.5882352941176	L	NA	[c]	h[c] + nadph[c] + prostgd2[c]  <=> nadp[c] + prostgf2[c] 
HMR_2484	Fatty acid synthesis	9415.1 or 3992.1 or 3995.1	0	22	0	H	NA	[c]	o2[c] + h[c] + nadph[c] + eicostetcoa[c]  -> 2 h2o[c] + nadp[c] + tmndnccoa[c] 
HMR_2634	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	45	44.4444444444444	L	NA	intercompartmental	crn[c] + hdd2crn[m]  <=> crn[m] + hdd2crn[c] 
HMR_2744	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	20	100	L	NA	intercompartmental	crn[c] + lnlccrn[m]  <=> crn[m] + lnlccrn[c] 
HMR_2888	Transport, endoplasmic reticular	6584.1	2000	239.21875	8.36054866100588	L	NA	intercompartmental	crn[c] + dlnlcgcrn[r]  <=> crn[r] + dlnlcgcrn[c] 
HMR_2890	Transport, endoplasmic reticular	1384.1	2000	239.21875	8.36054866100587	L	NA	[r]	coa[r] + dlnlcgcrn[r]  <=> crn[r] + dlnlcgcoa[r] 
