subSystem	n.x	n.y	p.val	p.val.fdr
Exchange/demand reaction	5	1013	0.998235015787837	0.998235015787837
Transport, extracellular	13	1296	0.883097719068619	0.92725260502205
Transport, mitochondrial	2	248	0.836886472218545	0.924979785083655
Drug metabolism	1	83	0.662414055629758	0.772816398234717
Glycerophospholipid metabolism	1	54	0.505765848385985	0.624769577417982
Steroid metabolism	1	29	0.314537881262182	0.412830969156614
Exchange	1	17	0.198411914884984	0.292303843546563
Sink	1	18	0.208788459676116	0.292303843546563
Starch and sucrose metabolism	1	17	0.198411914884984	0.292303843546563
Pyrimidine synthesis	1	13	0.155545766823035	0.272205091940311
Eicosanoid metabolism	2	52	0.144588967788041	0.272205091940311
NAD metabolism	1	10	0.12191897322792	0.256029843778631
Transport, peroxisomal	3	91	0.112500867040955	0.256029843778631
Oxidative phosphorylation	1	5	0.0629141685500171	0.165149692443795
Miscellaneous	4	102	0.042164766886595	0.126494300659785
Fatty acid oxidation	18	807	0.0125801481468588	0.0440305185140057
Phenylalanine metabolism	2	12	0.00998062858500882	0.0419186400570371
Tetrahydrobiopterin metabolism	2	9	0.00558212967513254	0.0293061807944458
Transport, endoplasmic reticular	6	120	0.00432361589921422	0.0293061807944458
Transport, nuclear	4	36	0.00110417520553369	0.0115938396581037
Tyrosine metabolism	6	40	1.02624989420651e-05	0.000215512477783367
