subSystem	n.x	n.y	p.val	p.val.fdr
Transport, extracellular	13	1295	0.997086282858044	0.997086282858044
Transport, mitochondrial	2	228	0.922786619501794	0.96672883947807
Fatty acid synthesis	2	181	0.844650311546721	0.929115342701393
Bile acid synthesis	1	38	0.500727872262513	0.57979016788291
Miscellaneous	2	91	0.492293634304102	0.57979016788291
Transport, peroxisomal	2	89	0.480548182050124	0.57979016788291
Glycolysis/gluconeogenesis	1	23	0.342841320289163	0.471406815397599
Purine catabolism	1	21	0.318358451312977	0.466925728592366
Pyrimidine catabolism	1	19	0.292973106993915	0.460386310990437
Transport, lysosomal	2	58	0.28171689921058	0.460386310990437
Sphingolipid metabolism	2	53	0.248051151461302	0.454760444345721
Tryptophan metabolism	1	14	0.225342504927151	0.450685009854302
Glutamate metabolism	1	11	0.181730688696079	0.401916182059944
Exchange/demand reaction	21	950	0.182689173663611	0.401916182059944
Arginine and proline metabolism	1	8	0.135690049226004	0.373147635371512
Transport, endoplasmic reticular	4	101	0.108866374216531	0.342151461823384
Nucleotide salvage pathway	1	3	0.053191584143211	0.195035808525107
Transport, nuclear	3	36	0.0264831025061377	0.116525651027006
Pyrimidine synthesis	2	12	0.0189225828294071	0.104074205561739
Galactose metabolism	2	8	0.00841375294373302	0.0617008549207088
Fatty acid oxidation	27	702	7.54175707717534e-05	0.000829593278489288
Pentose phosphate pathway	6	25	3.98108101679105e-06	8.75837823694031e-05
