subSystem_BRC	n.x	n.y	p.val	p.val.fdr
Fatty acid oxidation	12	738	0.999965269819464	0.999965269819464
Exchange/demand reaction	26	933	0.98511496166417	0.999965269819464
Glycerophospholipid metabolism	1	49	0.862494420833095	0.943298113086617
Nucleotide interconversion	4	136	0.792770350225062	0.943298113086617
Fatty acid synthesis	5	185	0.863102791434829	0.943298113086617
Transport, mitochondrial	6	223	0.882440170306835	0.943298113086617
Inositol phosphate metabolism	1	35	0.757156150590317	0.938873626731993
Phosphatidylinositol phosphate metabolism	1	25	0.635782110362071	0.862018978316957
Purine catabolism	1	22	0.588749097285367	0.862018978316957
Eicosanoid metabolism	2	57	0.665417836498393	0.862018978316957
Transport, peroxisomal	3	86	0.667369531600225	0.862018978316957
Cholesterol metabolism	6	154	0.57363551980371	0.862018978316957
Citric acid cycle	1	18	0.516509443792304	0.842725934608495
Sink	1	18	0.516509443792304	0.842725934608495
Sphingolipid metabolism	2	42	0.498985487883509	0.842725934608495
Tyrosine metabolism	2	35	0.405259372849539	0.785190034895982
CoA synthesis	1	10	0.331976506997911	0.686084781129016
Glutamate metabolism	1	9	0.304451583464862	0.674142791957909
NAD metabolism	1	9	0.304451583464862	0.674142791957909
Glycolysis/gluconeogenesis	2	27	0.289238919817197	0.674142791957909
Miscellaneous	5	89	0.27488139862943	0.674142791957909
Glyoxylate and dicarboxylate metabolism	1	6	0.214918933545044	0.666248693989635
Leukotriene metabolism	1	4	0.148947901981424	0.513042773491573
Arachidonic acid metabolism	2	17	0.143442210980479	0.513042773491573
Exchange	3	23	0.0601943012167887	0.266574762531493
Triacylglycerol synthesis	1	1	0.0395075339948548	0.204122258973417
Ubiquinone synthesis	1	1	0.0395075339948548	0.204122258973417
Valine, leucine, and isoleucine metabolism	5	24	0.00211049563325469	0.0163563411577239
Urea cycle	5	20	0.000875835278047591	0.00905029787315844
Drug metabolism	14	77	1.36467344864952e-06	2.11524384540675e-05
Transport, extracellular	98	1200	4.4081882904996e-15	1.36653837005488e-13
