subSystem	n.x	n.y	p.val	p.val.fdr
Nucleotide interconversion	1	135	0.997712896748684	0.999999344663386
Peptide metabolism	4	240	0.994190558484049	0.999999344663386
Fatty acid oxidation	20	798	0.998785920402826	0.999999344663386
Transport, extracellular	29	1332	0.999999344663386	0.999999344663386
Transport, peroxisomal	2	88	0.902125097870475	0.999652135478093
Miscellaneous	3	100	0.818054846963422	0.931673575708341
Glycerophospholipid metabolism	2	55	0.698545207541841	0.818295814549013
Purine catabolism	1	22	0.625098550221486	0.753795310561203
Pyrimidine catabolism	1	16	0.509901238859151	0.633513660400763
Transport, mitochondrial	11	245	0.503252007418849	0.633513660400763
Starch and sucrose metabolism	1	12	0.414140278415052	0.547733916613455
Glutathione metabolism	1	11	0.387420148586841	0.529474203068682
Pyrimidine synthesis	1	10	0.359486332776052	0.508239298062694
Pentose phosphate pathway	2	28	0.346125796870173	0.506827059702754
Valine, leucine, and isoleucine metabolism	2	27	0.329997652572254	0.501107546498609
Transport, endoplasmic reticular	7	118	0.253825726839647	0.400263646170212
Exchange/demand reaction	48	990	0.224033108779658	0.367414298398639
Steroid metabolism	2	19	0.199411813176661	0.34066184751013
Tryptophan metabolism	2	18	0.183387309370532	0.326907812356167
Vitamin A metabolism	2	17	0.167567588512473	0.3122850513187
Aminosugar metabolism	2	16	0.152004193818516	0.296770092693294
Inositol phosphate metabolism	4	45	0.130685601309677	0.267905482684838
Fatty acid synthesis	12	189	0.120683487214909	0.260422261884804
Phenylalanine metabolism	2	13	0.107432530509639	0.24470743060529
Transport, nuclear	4	41	0.101259072624655	0.244213057506521
Glycosphingolipid metabolism	3	24	0.0841956063302626	0.215751241221298
NAD metabolism	2	10	0.0674622921539141	0.184396931887365
Sink	3	18	0.0410098216479967	0.120100191969133
Folate metabolism	5	42	0.0343592845096974	0.108363897299815
Lysine metabolism	3	16	0.0299938375546636	0.102478944978434
Glycolysis/gluconeogenesis	4	25	0.0215752072587027	0.0804166816006193
O-glycan metabolism	2	5	0.0173042744702245	0.0709475253279204
Oxidative phosphorylation	2	5	0.0173042744702245	0.0709475253279204
Sphingolipid metabolism	7	60	0.0146854925610554	0.0709475253279204
Transport, golgi apparatus	6	44	0.0112824412396702	0.0660828701180681
Nucleotide salvage pathway	2	3	0.00550206500888041	0.0377459446671859
Methionine and cysteine metabolism	5	27	0.00552379678056379	0.0377459446671859
Eicosanoid metabolism	9	53	0.000401975168787025	0.00412024548006701
Transport, lysosomal	11	58	3.1669550496588e-05	0.000432817190120036
Purine synthesis	8	11	1.70861900136111e-09	3.50266895279027e-08
Keratan sulfate degradation	18	60	3.1275917096333e-11	1.28231260094965e-09
