rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	PerturbationClass	Flux	MetabolicUnits	localization	rxnFormula
C120CPT1	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	10	5	2	Cascade	L	carnitine shuttle	[c]	crn[c] + ddcacoa[c]  <=> coa[c] + ddeccrn[c] 
C140CPT1	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	2000	1145	1.74672489082969	Cascade	L	carnitine shuttle	[c]	crn[c] + tdcoa[c]  <=> coa[c] + ttdcrn[c] 
C226CRNt	Fatty acid oxidation		2000	1010	1.98019801980198	Cascade	L	carnitine shuttle	intercompartmental	c226crn[c]  <=> c226crn[m] 
CLPNDCRNt	Fatty acid oxidation	788.1	2000	1040	1.92307692307692	Cascade	L	carnitine shuttle	intercompartmental	clpndcrn[c]  <=> clpndcrn[m] 
DCSPTN1CRNt	Fatty acid oxidation	788.1	2000	1000	2	Cascade	L	carnitine shuttle	intercompartmental	dcsptn1crn[c]  <=> dcsptn1crn[m] 
DDECCRNe	Fatty acid oxidation		10	5	2	Cascade	L	NA	intercompartmental	ddeccrn[c]  -> ddeccrn[e] 
EX_ddecrn[e]	Exchange/demand reaction		10	5	2	Cascade	L	NA	[e]	ddeccrn[e]  -> 
FAOXC162C142m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	40	20	2	Cascade	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + hexddcoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + tetdecdicoa[m] 
FAOXC182806m	Fatty acid oxidation	34.1 or 35.1	40	20	2	Cascade	L	betaoxidation	[m]	5 h2o[m] + 5 nad[m] + 5 coa[m] + 3 fad[m] + lnlccoa[m]  -> 5 h[m] + 5 nadh[m] + 5 accoa[m] + 3 fadh2[m] + occoa[m] 
FAOXC182C162m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	40	20	2	Cascade	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + lnlccoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + hexddcoa[m] 
HMR_2263	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	419	209.5	2	Cascade	L	NA	[c]	h[c] + malcoa[c] + M02612[c]  -> co2[c] + coa[c] + M00873[c] 
HMR_2264	Fatty acid synthesis	51144.1	419	209.5	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M00873[c]  -> nadp[c] + M00778[c] 
HMR_2265	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	419	209.5	2	Cascade	L	NA	[c]	M00778[c]  -> h2o[c] + M00044[c] 
HMR_2266	Fatty acid synthesis	9524.1 or 253017.1	419	209.5	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M00044[c]  -> nadp[c] + M02052[c] 
HMR_2342	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	419	209.5	2	Cascade	L	NA	[c]	h[c] + malcoa[c] + vacccoa[c]  -> co2[c] + coa[c] + M00843[c] 
HMR_2343	Fatty acid synthesis	51144.1	419	209.5	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M00843[c]  -> nadp[c] + M00702[c] 
HMR_2344	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	419	209.5	2	Cascade	L	NA	[c]	M00702[c]  -> h2o[c] + M03014[c] 
HMR_2345	Fatty acid synthesis	9524.1 or 253017.1	419	209.5	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M03014[c]  -> nadp[c] + M00018[c] 
HMR_2353	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	42.5	21.25	2	Cascade	L	NA	[c]	h[c] + malcoa[c] + M01236[c]  -> co2[c] + coa[c] + M00839[c] 
HMR_2354	Fatty acid synthesis	51144.1	42.5	21.25	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M00839[c]  -> nadp[c] + M00699[c] 
HMR_2355	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	42.5	21.25	2	Cascade	L	NA	[c]	M00699[c]  -> h2o[c] + M03011[c] 
HMR_2356	Fatty acid synthesis	9524.1 or 253017.1	42.5	21.25	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M03011[c]  -> nadp[c] + M00006[c] 
HMR_2365	Fatty acid synthesis	9415.1 or 3992.1 or 3995.1	22.5	11.25	2	Cascade	L	NA	[c]	o2[c] + h[c] + nadph[c] + M00123[c]  -> 2 h2o[c] + nadp[c] + M00101[c] 
HMR_2433	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	40	20	2	Cascade	L	NA	[c]	h[c] + malcoa[c] + CE4843[c]  -> co2[c] + coa[c] + M00860[c] 
