subSystem	disrupted_module	rxnList	MetabolicUnits	rxnFormula	rxnName	rxnECNumbers
Fatty acid oxidation	FVA_ST_norm_t1	C160CPT2	carnitine shuttle	coa[m] + pmtcrn[m]  <=> crn[m] + pmtcoa[m] 	C160 Transport into the Mitochondria	2.3.1.21
Fatty acid oxidation	FVA_ST_norm_t1	C60CPT1	carnitine shuttle	crn[c] + hxcoa[c]  <=> coa[c] + c6crn[c] 	Production of Hexanoylcarnitine	
Fatty acid oxidation	FVA_ST_norm_t1	FAOXC10C10OHm	betaoxidation	h2o[m] + fad[m] + dcacoa[m]  -> fadh2[m] + 3hdcoa[m] 	Fatty Acid Beta Oxidation (C10->Ohc10), Mitochondrial	
Fatty acid oxidation	FVA_ST_norm_t1	FAOXC12C12OHm	betaoxidation	h2o[m] + fad[m] + ddcacoa[m]  -> fadh2[m] + 3hddcoa[m] 	Fatty Acid Beta Oxidation (C12->Ohc12), Mitochondrial	
Fatty acid oxidation	FVA_ST_norm_t1	FAOXC162C142m	betaoxidation	h2o[m] + nad[m] + coa[m] + fad[m] + hexddcoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + tetdecdicoa[m] 	Fatty Acid Beta Oxidation (C16:2->C14:2), Mitochondrial	
Fatty acid oxidation	FVA_ST_norm_t1	FAOXC182806m	betaoxidation	5 h2o[m] + 5 nad[m] + 5 coa[m] + 3 fad[m] + lnlccoa[m]  -> 5 h[m] + 5 nadh[m] + 5 accoa[m] + 3 fadh2[m] + occoa[m] 	Beta Oxidation of Fatty Acid	4.2.1.74
Fatty acid oxidation	FVA_ST_norm_t1	FAOXC182C162m	betaoxidation	h2o[m] + nad[m] + coa[m] + fad[m] + lnlccoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + hexddcoa[m] 	Fatty Acid Beta Oxidation (C18:2->C16:2), Mitochondrial	
Fatty acid oxidation	FVA_ST_norm_t1	FAOXC204	betaoxidation	9 h2o[m] + 9 nad[m] + 9 coa[m] + 5 fad[m] + arachdcoa[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 5 fadh2[m] 	Beta Oxidation of Long Chain Fatty Acid	1.3.99.3
Fatty acid oxidation	FVA_ST_norm_t1	HMR_3070	NA	o2[x] + arachcoa[x]  -> h2o2[x] + CE2243[x] 	Acyl Coenzyme A Oxidase	EC:1.3.3.6
Fatty acid oxidation	FVA_ST_norm_t1	HMR_3071	NA	h2o[x] + CE2243[x]  -> CE2247[x] 	Enoyl Coenzyme A Hydratase	EC:4.2.1.17
Fatty acid oxidation	FVA_ST_norm_t1	HMR_3072	NA	nad[x] + CE2247[x]  -> h[x] + nadh[x] + CE2251[x] 	3-Hydroxyacyl Coenzyme A Dehydrogenase	EC:1.1.1.35;EC:1.1.1.211
Fatty acid oxidation	FVA_ST_norm_t1	HMR_3073	NA	coa[x] + CE2251[x]  -> accoa[x] + stcoa[x] 	Acetyl Coenzyme A C-Acyltransferase	EC:2.3.1.16
Fatty acid oxidation	FVA_ST_norm_t1	HMR_3121	NA	fad[m] + pmtcoa[m]  -> fadh2[m] + hdd2coa[m] 	Medium-Chain Acyl Coenzyme A Dehydrogenase	EC:1.3.8.7;EC:1.3.8.8;EC:1.3.8.9;EC:1.3.99.-;
Fatty acid oxidation	FVA_ST_norm_t1	HMR_3128	NA	fad[m] + tdcoa[m]  -> fadh2[m] + HC01412[m] 	Medium-Chain Acyl Coenzyme A Dehydrogenase	EC:1.3.8.7;EC:1.3.8.8;EC:1.3.8.9;EC:1.3.99.-;
Fatty acid oxidation	FVA_ST_norm_t1	HMR_3135	NA	fad[m] + ddcacoa[m]  -> fadh2[m] + dd2coa[m] 	Medium-Chain Acyl Coenzyme A Dehydrogenase	EC:1.3.8.7;EC:1.3.8.8;EC:1.3.8.9;EC:1.3.99.-;
Fatty acid oxidation	FVA_ST_norm_t1	HMR_3142	NA	fad[m] + dcacoa[m]  -> fadh2[m] + dc2coa[m] 	Medium-Chain Acyl Coenzyme A Dehydrogenase	EC:1.3.8.7;EC:1.3.99.-
Fatty acid oxidation	FVA_ST_norm_t1	HMR_3149	NA	fad[m] + occoa[m]  -> fadh2[m] + HC01415[m] 	Medium-Chain Acyl Coenzyme A Dehydrogenase	EC:1.3.8.7;EC:1.3.99.-
Fatty acid oxidation	FVA_ST_norm_t1	LNLCCPT2	carnitine shuttle	coa[m] + lnlccrn[m]  <=> crn[m] + lnlccoa[m] 	Carnitine Transferase	
Fatty acid oxidation	FVA_ST_norm_t1	RE0512M	betaoxidation	nad[m] + CE2421[m]  -> h[m] + nadh[m] + CE0713[m] 	3-Hydroxyacyl Coenzyme A Dehydrogenase	1.1.1.35
Fatty acid oxidation	FVA_ST_norm_t1	RE1516M	betaoxidation	fad[m] + lnlccoa[m]  <=> fadh2[m] + CE2434[m] 	RE1516M	1.3.99.13
Fatty acid oxidation	FVA_ST_norm_t1	RE1517M	betaoxidation	fad[m] + CE0849[m]  <=> fadh2[m] + CE2433[m] 	RE1517M	1.3.99.13
Fatty acid oxidation	FVA_ST_norm_t1	RE1523M	betaoxidation	h2o[m] + CE2434[m]  <=> CE2421[m] 	Enoyl Coenzyme A Hydratase	4.2.1.17
Fatty acid oxidation	FVA_ST_norm_t1	RE1531M	betaoxidation	coa[m] + CE0713[m]  <=> accoa[m] + CE0849[m] 	Acetyl Coenzyme A C-Acyltransferase	2.3.1.16
Fatty acid oxidation	FVA_ST_norm_t1	RE2985M	betaoxidation	o2[m] + arachdcoa[m]  -> h2o2[m] + CE4795[m] 	Acyl Coenzyme A Oxidase	1.3.3.6
Fatty acid oxidation	FVA_ST_norm_t1	r0309	fatty acid synthesis & elongation	nadp[m] + pmtcoa[m]  <=> h[m] + nadph[m] + hdd2coa[m] 	Trans-Hexadec-2-Enoyl Coenzyme A Reductase	1.3.1.38
Fatty acid oxidation	FVA_ST_norm_t1	r1253	NA	atp[r] + 8 h[r] + coa[r] + strdnc[r]  -> amp[r] + ppi[r] + stcoa[r] 	Long-Chain-Fatty-Acid---Coa Ligase	6.2.1.3
Fatty acid oxidation	FVA_ST_norm_t1	r1254	fatty acid activation, cytosol	8 h[c] + atp[c] + coa[c] + strdnc[c]  -> amp[c] + ppi[c] + stcoa[c] 	Long-Chain-Fatty-Acid---Coa Ligase	6.2.1.3
Fatty acid oxidation	FVA_ST_norm_t2	C12DCACT	fatty acid activation, cytosol	atp[c] + coa[c] + dodecanac[c]  -> amp[c] + ppi[c] + c12dccoa[c] 	Activation of Dodecanedioic Acid	
Fatty acid oxidation	FVA_ST_norm_t2	C4DCCACT	NA	c4dc[x]  <=> c4dc[c] 	Transport of Succinyl Carnitine into Cytosol	
