name	Ctrl_vs_HT_Unchanged	Ctrl_vs_Primary_Unchanged	Ctrl_vs_ST
10FTHFtm	0	0	1
2HBO	0	0	1
2MOPtm	0	1	1
2OBUTt	0	0	1
34DHPLACOX_NADP_	1	0	1
3HBCOAHLm	0	1	1
3HMPtd	0	0	1
3HMPtm	0	0	1
3HPPt	0	1	1
3HPPtm	0	1	1
4ABUTtm	1	1	1
5AOPt	0	0	1
5AOPtm	0	0	1
ABT_Dt2	0	0	1
ABTArm	1	1	1
ABTD1	1	1	1
ABUTt2rL	1	1	1
ACACT10m	0	0	1
ACACT1r	0	1	1
ACACt2m	0	0	1
ACACT4p	0	0	1
ACACT5p	0	0	1
ACACT6p	0	0	1
ACACT7p	0	0	1
ACACT8p	1	0	1
ACER12r	1	0	1
ACGAMtly	1	1	1
ACITL	0	1	1
ACLYSHYc	0	0	1
ACLYSt	0	0	1
ACNAMtn	1	0	1
ACOAD9m	0	1	1
ACOAO7p	0	1	1
ACRNte	0	0	1
ADNCNT3tc	1	0	1
ADRNCPT1	0	1	1
ADRNCPT2	0	1	1
ADSL1	0	0	1
ADSL2	0	0	1
ADSS	0	0	1
AGPAT1	1	0	1
AHC	1	0	1
AHCYSte	0	0	1
AIRCr	0	0	1
ALATA_L	0	0	1
ALCD1	0	0	1
AMACR2p	1	0	1
AMETt	0	0	1
AMPDA	0	0	1
ASNCYSCYSr	0	0	1
ASNCYSCYSt	0	0	1
ASPTAm	0	1	1
ATPS4mi	0	0	1
BAAT3x	1	0	1
BDHm	1	1	1
BGAL1e	0	1	1
BILGLCURtr	0	1	1
BILIRUBtr	1	1	1
BILIVERDt	0	0	1
C02712te	0	0	1
C03990t	0	0	1
C04483t2	0	0	1
C05957t	0	0	1
C13856te	1	0	1
C14STRr	0	1	1
C160CPT2	1	1	1
C161CPT1	0	0	1
C161CPT22	0	0	1
C180CPT1	1	0	1
C204CPT1	0	1	1
C204CPT2	0	1	1
C226COAtx	1	0	1
C3STKR2r	0	0	1
C4STMO1r	0	0	1
C4STMO2r	0	0	1
C60CPT1	1	1	1
C6COAt	1	1	1
C6CRNtcx	1	1	1
CARNtr	1	1	1
CATm	0	0	1
CATp	0	0	1
CATr	0	0	1
CE0955tr	1	0	1
CE1556td	0	0	1
CERT2rt	0	1	1
CHLPCTD	0	0	1
CHOLPtr	0	0	1
CHOLt4	0	1	1
CHOLtu	0	0	1
CLOXAtex2	0	0	1
CMPACNAtn	1	0	1
CMPSAS	1	0	1
CMPSASn	1	0	1
CO2ter	0	1	1
COt	0	0	1
CPPPGO	0	0	1
CRMte	1	1	1
CSm	0	1	1
CSNATm	0	0	1
CTPtn	1	0	1
CYOOm2i	0	0	1
