SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_R.Veh.R1	BD_NR.Veh.R2	BD_R.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	35.8357	6.85642	26.919	15.8943	NA	NA	NA	NA
A1BG-AS1	503538	4.05246	2.63192	5.65032	3.43807	NA	NA	NA	NA
A2M	2	2.46203	31.8901	3.76151	26.8956	NA	NA	NA	NA
A2M-AS1	144571	0.338741	1.2937	0.327101	1.30838	NA	NA	NA	NA
A4GALT	53947	1.32561	0.105743	1.34156	2.79368	NA	NA	NA	NA
AAAS	8086	36.7505	40.6593	42.7341	39.9247	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	7.54847	10.4492	7.65647	10.2089	NA	NA	NA	NA
AADAT	51166	10.5272	20.3143	11.6897	18.9963	NA	NA	NA	NA
AAGAB	79719	32.7119	40.0203	35.8269	41.5369	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	10.9902	5.19845	5.80842	4.05834	NA	NA	NA	NA
AAMDC	28971	48.3753	12.9041	30.1802	19.7729	NA	NA	NA	NA
AAMP	14	67.594	41.1872	48.7084	41.5531	cerebral-cortex	glial-cells	Medium	Approved
AAR2	25980	21.6689	18.5216	19.9138	19.6346	NA	NA	NA	NA
AARD	441376	0.146658	0.168743	0.13182	0.151059	NA	NA	NA	NA
AARS2	57505	4.72172	8.63397	8.68209	8.86426	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	57.7287	31.37	37.8484	36.2015	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	5.05707	5.74916	4.75693	4.34932	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	39.0622	39.1223	38.2446	39.1351	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	11.0439	47.3679	14.5152	30.1288	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	23.372	25.0548	21.9934	23.8759	NA	NA	NA	NA
AATK	9625	1.96906	1.18421	0.970266	0.870551	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	20.0954	68.0576	11.8994	53.3427	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	0.732986	7.70012	2.40719	4.76311	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	4.63041	1.14214	2.07508	1.55291	NA	NA	NA	NA
ABCA13	154664	0.089673	0.116866	0.0998292	0.160025	NA	NA	NA	NA
ABCA17P	650655	0.105769	0.193749	0.253861	0.0679198	NA	NA	NA	NA
ABCA2	20	10.3009	13.7123	8.11824	12.4438	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	2.88612	8.71909	3.21966	7.13962	NA	NA	NA	NA
ABCA4	24	0.179554	0.0473412	0.497407	0.254405	NA	NA	NA	NA
ABCA5	23461	1.54661	25.0943	1.53748	20.0661	cerebral-cortex	glial-cells	Low	Approved
ABCA6	23460	0.337501	0.164504	0.529046	1.55778	NA	NA	NA	NA
ABCA7	10347	6.43049	7.44106	4.54321	6.81554	NA	NA	NA	NA
ABCA8	10351	1.44009	1.28056	1.30086	4.84143	NA	NA	NA	NA
ABCA9	10350	5.728	0.432344	4.46785	1.85277	NA	NA	NA	NA
ABCB1	5243	0.0659621	2.34668	0.652651	1.34952	NA	NA	NA	NA
ABCB10	23456	11.3925	7.69944	10.3156	8.70404	NA	NA	NA	NA
ABCB4	5244	0.48884	0.426031	0.915357	1.78891	NA	NA	NA	NA
ABCB6	10058	15.1443	10.9614	27.0012	16.5118	NA	NA	NA	NA
ABCB7	22	11.5585	14.2057	12.4628	12.6396	NA	NA	NA	NA
ABCB8	11194	13.6827	12.9418	21.4076	15.7042	cerebral-cortex	glial-cells	Low	Approved
ABCB9	23457	7.40248	3.01792	5.06337	2.59246	cerebral-cortex	glial-cells	Medium	Approved
ABCC1	4363	4.53844	8.21545	10.0531	7.04491	NA	NA	NA	NA
ABCC10	89845	5.61305	11.1252	6.49924	9.0127	cerebral-cortex	glial-cells	Low	Approved
ABCC11	85320	0.113547	0.0481652	0.0265902	0.102119	cerebral-cortex	glial-cells	Low	Approved
ABCC2	1244	0.129731	0.244529	0.32051	0.256951	NA	NA	NA	NA
ABCC3	8714	0.132368	0.128802	0.338452	0.21768	NA	NA	NA	NA
ABCC4	10257	0.774775	3.06205	2.59999	3.46858	NA	NA	NA	NA
ABCC5	10057	15.9834	17.6904	20.0743	17.3387	NA	NA	NA	NA
ABCC6	368	1.51923	0.551205	1.21731	0.825085	NA	NA	NA	NA
ABCC6P1	653190	0.595116	0.448301	0.622564	0.306964	NA	NA	NA	NA
ABCC6P2	730013	0.622642	0.279971	0.326514	0.0876302	NA	NA	NA	NA
ABCC8	6833	0.624297	0.820369	0.0226234	0.89132	NA	NA	NA	NA
ABCC9	10060	7.94308	6.43351	2.56954	1.81082	NA	NA	NA	NA
ABCD1	215	2.01927	0.180466	0.0881151	0.562263	NA	NA	NA	NA
ABCD2	225	0.0457885	0.199053	0.121441	0.0900182	NA	NA	NA	NA
ABCD3	5825	21.1353	27.3149	22.7535	26.9409	cerebral-cortex	glial-cells	High	Enhanced
ABCD4	5826	44.0935	55.7693	39.3112	51.6185	NA	NA	NA	NA
ABCE1	6059	36.9675	38.3801	40.8572	37.7221	cerebral-cortex	glial-cells	Medium	Approved
ABCF2	10061	21.2588	30.2704	30.2614	24.8775	cerebral-cortex	glial-cells	Low	Approved
ABCF3	55324	26.2909	22.6404	26.4179	25.9182	cerebral-cortex	glial-cells	High	Approved
ABCG1	9619	4.71196	5.73145	2.14221	3.22671	NA	NA	NA	NA
ABCG4	64137	0.316528	0.416517	0.727293	0.746514	NA	NA	NA	NA
ABHD1	84696	1.01675	0	0.17884	0	NA	NA	NA	NA
ABHD10	55347	18.1914	44.1313	20.2301	30.4581	cerebral-cortex	glial-cells	Low	Supported
ABHD11	83451	0.157845	0.308808	0.10293	0.200415	cerebral-cortex	glial-cells	Low	Approved
ABHD12	26090	13.9592	27.6237	15.5774	20.4855	NA	NA	NA	NA
ABHD12B	145447	0.176483	0.159673	0.0355063	0.0920193	NA	NA	NA	NA
ABHD13	84945	6.22796	6.02613	6.67155	5.73893	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A	25864	11.3444	9.97438	11.2024	10.5337	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A-ACY1	100526760	0.431954	0.137428	0.0598075	0.510646	NA	NA	NA	NA
ABHD14B	84836	10.2038	2.54974	5.65708	5.97674	cerebral-cortex	glial-cells	Low	Supported
ABHD15	116236	2.09818	2.73613	2.72957	3.31166	cerebral-cortex	glial-cells	Low	Approved
ABHD16B	140701	2.95822	2.68696	2.93863	2.19677	NA	NA	NA	NA
ABHD17A	81926	35.0182	23.4639	22.4608	24.4903	NA	NA	NA	NA
ABHD17AP3	648359	0.522943	0.0514018	0.136563	0	NA	NA	NA	NA
ABHD17AP6	644988	0.579404	0.114159	0.202189	0.268386	NA	NA	NA	NA
ABHD17B	51104	15.467	24.8011	14.5818	18.5338	NA	NA	NA	NA
ABHD17C	58489	7.60869	25.6929	6.32328	24.4447	NA	NA	NA	NA
ABHD2	11057	5.03655	8.4256	8.09344	7.09754	cerebral-cortex	glial-cells	Low	Approved
ABHD3	171586	7.12036	9.31702	11.1829	12.6059	cerebral-cortex	glial-cells	Low	Approved
ABHD4	63874	10.5995	8.8439	17.7567	12.9537	NA	NA	NA	NA
ABHD5	51099	3.85449	5.7801	5.9969	6.64955	NA	NA	NA	NA
ABHD6	57406	1.28952	2.38109	1.93676	2.92941	NA	NA	NA	NA
ABHD8	79575	6.36269	4.40379	8.22463	5.68688	NA	NA	NA	NA
ABI1	10006	16.633	15.3109	19.1701	18.2851	NA	NA	NA	NA
ABI2	10152	29.9521	79.6353	46.5442	70.1852	NA	NA	NA	NA
ABI3BP	25890	3.04919	0.220554	3.03932	1.15772	NA	NA	NA	NA
ABL1	25	35.5786	39.9621	44.6723	41.0357	cerebral-cortex	glial-cells	Low	Supported
ABL2	27	10.634	7.24023	8.19155	5.38468	NA	NA	NA	NA
ABLIM1	3983	12.1513	56.957	16.8611	32.5515	cerebral-cortex	glial-cells	Low	Approved
ABLIM2	84448	2.63821	4.8531	2.54458	3.04423	NA	NA	NA	NA
ABLIM3	22885	63.1394	0.0606095	11.3275	0.219159	cerebral-cortex	glial-cells	Medium	Approved
ABR	29	18.0869	23.4282	26.3108	23.0214	cerebral-cortex	glial-cells	Low	Enhanced
ABRACL	58527	51.1878	57.8174	34.7677	52.0813	NA	NA	NA	NA
ABT1	29777	0.401376	0.257505	0.209056	0.198377	NA	NA	NA	NA
ABTB1	80325	7.28831	1.71559	4.88602	3.6668	NA	NA	NA	NA
ABTB2	25841	3.2437	15.2489	5.67642	32.5048	cerebral-cortex	glial-cells	High	Approved
ACAA1	30	23.354	21.893	24.2503	26.5909	NA	NA	NA	NA
ACAA2	10449	74.3088	52.7852	67.9319	50.1889	NA	NA	NA	NA
ACACA	31	25.9048	34.8617	33.0063	30.7171	NA	NA	NA	NA
ACACB	32	1.93813	4.09702	1.63018	2.08491	NA	NA	NA	NA
ACAD10	80724	14.0216	15.6217	12.3484	14.9209	NA	NA	NA	NA
ACAD11	84129	5.12661	8.61353	6.77236	7.82814	NA	NA	NA	NA
ACAD8	27034	15.3524	19.9373	16.9934	18.0234	cerebral-cortex	glial-cells	Medium	Enhanced
ACAD9	28976	33.043	23.4978	31.1119	23.3342	cerebral-cortex	glial-cells	Medium	Supported
ACADL	33	1.08495	0.159525	0.325162	0.0386647	NA	NA	NA	NA
ACADM	34	36.7384	58.187	39.8698	51.8231	cerebral-cortex	glial-cells	Low	Enhanced
ACADS	35	3.18731	1.37585	2.09109	2.02848	cerebral-cortex	glial-cells	Low	Enhanced
ACADSB	36	4.60941	6.49611	3.80174	4.56119	NA	NA	NA	NA
ACADVL	37	108.712	91.6616	106.687	110.758	cerebral-cortex	glial-cells	Low	Enhanced
ACAN	176	1.32219	0.401262	0.258151	0.134403	NA	NA	NA	NA
ACAP1	9744	3.69897	1.5214	2.02478	1.57664	cerebral-cortex	glial-cells	Medium	Approved
ACAP2	23527	10.2199	13.5366	15.2525	15.0931	cerebral-cortex	glial-cells	Medium	Supported
ACAP2-IT1	100874306	0	0.787887	0.516084	0.832133	NA	NA	NA	NA
ACAP3	116983	31.593	45.5431	26.2367	45.5139	NA	NA	NA	NA
ACAT1	38	58.4216	24.8295	33.0247	30.3206	cerebral-cortex	glial-cells	Low	Enhanced
ACAT2	39	160.977	177.687	123.209	100.625	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD3	64746	22.6696	11.0748	20.7426	16.6353	NA	NA	NA	NA
ACBD4	79777	2.40782	0.803577	1.12163	1.34998	NA	NA	NA	NA
ACBD5	91452	8.77984	9.54985	10.5836	9.44968	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD6	84320	55.8207	30.6409	37.6408	35.3731	cerebral-cortex	glial-cells	Low	Approved
ACBD7	414149	1.07075	12.101	1.79061	5.73297	NA	NA	NA	NA
ACCS	84680	0.430247	0.133876	1.18338	0.0460563	cerebral-cortex	glial-cells	Medium	Approved
ACD	65057	10.3076	17.8041	11.4452	17.8197	NA	NA	NA	NA
ACE2	59272	0.103635	0.206902	0.0134803	0.074011	NA	NA	NA	NA
ACER2	340485	0.461026	3.66903	1.77513	2.14737	NA	NA	NA	NA
ACER3	55331	0.807273	4.33602	4.26295	3.38926	NA	NA	NA	NA
ACHE	43	13.7032	0.791763	3.95844	1.87991	NA	NA	NA	NA
ACIN1	22985	114.187	161.665	78.583	110.315	cerebral-cortex	glial-cells	High	Supported
ACKR2	1238	0.0205536	0.193743	0.0160432	0.133773	NA	NA	NA	NA
ACKR3	57007	1.53729	26.1184	1.45454	12.8453	NA	NA	NA	NA
ACLY	47	1.00789	1.49489	0.964758	2.38113	cerebral-cortex	glial-cells	Low	Enhanced
ACMSD	130013	0.158157	0.396732	0.0988901	0.320686	NA	NA	NA	NA
ACO1	48	22.8243	17.0349	21.4983	20.2189	cerebral-cortex	glial-cells	Low	Enhanced
ACO2	50	46.871	30.9316	38.38	33.2916	cerebral-cortex	glial-cells	High	Enhanced
ACOT1	641371	3.76847	0.190841	2.91832	0.389202	NA	NA	NA	NA
ACOT11	26027	5.23282	0.136362	2.92561	0.635371	NA	NA	NA	NA
ACOT12	134526	0.624422	0	0.206768	0.0480343	NA	NA	NA	NA
ACOT13	55856	26.2656	18.0457	18.1192	17.417	NA	NA	NA	NA
ACOT2	10965	14.4563	0.497594	12.2813	2.96636	NA	NA	NA	NA
ACOT4	122970	0.203557	0.0222499	0.218646	0.104755	cerebral-cortex	glial-cells	High	Enhanced
ACOT7	11332	33.7208	46.6128	36.7945	48.0271	cerebral-cortex	glial-cells	Low	Enhanced
ACOT8	10005	14.0088	8.10952	8.72299	7.47398	NA	NA	NA	NA
ACOT9	23597	18.1269	9.29875	22.1435	13.9678	cerebral-cortex	glial-cells	Low	Supported
ACOX1	51	6.54065	7.97692	7.50421	9.3216	cerebral-cortex	glial-cells	Low	Approved
ACOX2	8309	4.5921	0.29895	3.94971	1.513	NA	NA	NA	NA
ACOX3	8310	16.9909	5.66187	9.50438	5.99351	NA	NA	NA	NA
ACP1	52	118.505	119.365	105.934	101.097	cerebral-cortex	glial-cells	Low	Approved
ACP2	53	16.6682	22.5669	18.2462	19.5498	NA	NA	NA	NA
ACP5	54	0.295887	0.0362718	0.248022	0.156114	NA	NA	NA	NA
ACP6	51205	0.0749352	0.184586	0	1.20023	NA	NA	NA	NA
ACRBP	84519	0.523282	0.573965	0.801452	1.25357	NA	NA	NA	NA
ACRV1	56	0.35523	0.435979	0.3171	0.772443	NA	NA	NA	NA
ACSBG1	23205	0.120187	3.65421	0.589504	2.73822	cerebral-cortex	glial-cells	High	Approved
ACSBG2	81616	0.0308776	0.532774	0.433375	0.467299	NA	NA	NA	NA
ACSF2	80221	39.3913	12.5666	27.8576	16.1132	NA	NA	NA	NA
ACSF3	197322	9.7573	7.76719	8.08721	6.23909	NA	NA	NA	NA
ACSL1	2180	17.1691	5.05852	7.38262	7.52444	NA	NA	NA	NA
ACSL3	2181	78.1995	45.7343	110.22	60.3386	cerebral-cortex	glial-cells	Low	Approved
ACSL4	2182	12.3864	9.88829	14.2672	9.87905	NA	NA	NA	NA
ACSL5	51703	0.0357885	0.0915186	0.0698536	0.0640604	NA	NA	NA	NA
ACSL6	23305	0.0348965	0.412274	0.0204152	0.365073	cerebral-cortex	glial-cells	Medium	Enhanced
ACSM3	6296	0.762854	1.20775	0.359928	1.09763	NA	NA	NA	NA
ACSS1	84532	1.89072	9.47413	1.01253	8.26487	NA	NA	NA	NA
ACSS2	55902	28.9265	23.887	32.3253	22.1084	cerebral-cortex	glial-cells	Low	Approved
ACSS3	79611	2.8478	0.479897	3.72971	1.8181	NA	NA	NA	NA
ACTA1	58	102.144	0.281328	39.1604	0.210525	NA	NA	NA	NA
ACTA2	59	184.288	27.0849	205.373	105.084	NA	NA	NA	NA
ACTA2-AS1	100132116	1.06259	0.275231	1.68248	0.631106	NA	NA	NA	NA
ACTB	60	1979.6	1657.61	2015.46	1777.37	NA	NA	NA	NA
ACTBP2	62	6.30977	2.40045	3.09559	2.74849	NA	NA	NA	NA
ACTC1	70	3301.91	0.535826	619.666	0.195981	NA	NA	NA	NA
ACTG1	71	43.822	70.3116	91.0747	159.782	cerebral-cortex	glial-cells	Low	Approved
ACTG1P1	73	0.527367	0.466622	0.229543	0.682665	NA	NA	NA	NA
ACTG1P3	75	0	0.210793	0.140006	0.247824	NA	NA	NA	NA
ACTG2	72	69.2693	10.6729	124.341	42.5883	NA	NA	NA	NA
ACTL10	170487	0.1803	0.0263208	0.305297	0.22302	NA	NA	NA	NA
ACTL6A	86	54.6161	99.7897	58.9326	77.7801	cerebral-cortex	glial-cells	High	Supported
ACTL6B	51412	0.211492	2.44556	0.285556	0.979682	NA	NA	NA	NA
ACTN1	87	33.656	35.4144	74.2383	38.4503	cerebral-cortex	glial-cells	Low	Approved
ACTN1-AS1	161159	0	0.175572	0.360228	0	NA	NA	NA	NA
ACTN2	88	104.265	0.403254	21.8153	1.15229	NA	NA	NA	NA
ACTN4	81	75.563	140.109	128.673	100.484	cerebral-cortex	glial-cells	Low	Supported
ACTN4P1	344978	0.218601	0.192395	0.0342084	0	NA	NA	NA	NA
ACTR10	55860	87.8471	35.983	63.5408	50.3265	NA	NA	NA	NA
ACTR1A	10121	83.669	81.3543	84.5001	81.4564	NA	NA	NA	NA
ACTR1B	10120	27.9843	30.1553	26.7739	25.1824	NA	NA	NA	NA
ACTR2	10097	76.5317	125.387	141.084	136.23	cerebral-cortex	glial-cells	Low	Approved
ACTR3	10096	65.5851	119.483	118.365	118.143	cerebral-cortex	glial-cells	Low	Approved
ACTR3B	57180	4.24675	8.31133	6.64789	7.37336	NA	NA	NA	NA
ACTR3C	653857	0.463631	0.100968	0.13973	0	NA	NA	NA	NA
ACTR5	79913	6.80552	7.20661	5.65467	6.27383	NA	NA	NA	NA
ACTR6	64431	21.2132	19.701	20.6269	20.7155	NA	NA	NA	NA
ACTR8	93973	15.9518	19.6098	17.2421	22.9911	NA	NA	NA	NA
ACTRT3	84517	0.121717	0.159933	0.356718	0.30114	NA	NA	NA	NA
ACVR1	90	12.612	3.74149	18.2767	10.168	cerebral-cortex	glial-cells	Low	Approved
ACVR1B	91	8.59764	15.1333	9.11756	13.1094	NA	NA	NA	NA
ACVR2A	92	35.1964	30.1645	17.3058	16.5333	cerebral-cortex	glial-cells	Low	Approved
ACVR2B	93	6.64385	25.1619	7.37587	13.8453	NA	NA	NA	NA
ACVR2B-AS1	100128640	0.902696	2.17981	0.333978	1.17296	NA	NA	NA	NA
ACVRL1	94	5.16595	0.110166	5.85612	0.583319	NA	NA	NA	NA
ACY1	95	11.3191	8.56334	9.29617	8.73256	NA	NA	NA	NA
ACYP1	97	27.2919	20.8317	21.6683	20.0135	cerebral-cortex	glial-cells	Low	Approved
ACYP2	98	13.3663	10.8556	7.40938	12.687	NA	NA	NA	NA
ADA	100	15.4343	11.9164	35.0314	18.6865	NA	NA	NA	NA
ADAL	161823	8.83934	7.17375	6.26961	7.37994	NA	NA	NA	NA
ADAM10	102	29.0379	40.2879	38.3723	33.8158	NA	NA	NA	NA
ADAM11	4185	0.606552	0.550197	0.394411	1.04082	cerebral-cortex	glial-cells	Medium	Enhanced
ADAM12	8038	14.2639	1.45531	24.0051	4.96423	NA	NA	NA	NA
ADAM15	8751	10.6947	11.1337	16.1163	15.8615	NA	NA	NA	NA
ADAM17	6868	10.0831	22.7239	21.3868	22.0382	cerebral-cortex	glial-cells	Low	Approved
ADAM19	8728	30.1147	5.08224	31.7846	16.8019	NA	NA	NA	NA
ADAM1A	8759	5.39335	4.86757	4.62295	5.18119	NA	NA	NA	NA
ADAM1B	100420505	0.122052	0.534593	0.143081	0.352306	NA	NA	NA	NA
ADAM20P1	317760	0.233375	0.356338	0.0783376	0.165628	NA	NA	NA	NA
ADAM21	8747	0.124704	0.109027	0.253273	0.225862	NA	NA	NA	NA
ADAM22	53616	1.40666	5.36158	2.99393	5.67583	NA	NA	NA	NA
ADAM23	8745	3.08293	9.62375	6.26951	10.8031	cerebral-cortex	glial-cells	Low	Approved
ADAM28	10863	8.25834	0.0295572	5.42531	0.111927	NA	NA	NA	NA
ADAM32	203102	0.24216	0.338986	0.247841	0.36663	NA	NA	NA	NA
ADAM33	80332	4.58147	0.598743	1.94353	3.37799	NA	NA	NA	NA
ADAM8	101	1.07488	0.993717	1.28657	1.18397	NA	NA	NA	NA
ADAM9	8754	28.907	22.532	51.3036	29.6884	NA	NA	NA	NA
ADAMTS1	9510	20.2848	2.60888	11.3078	1.78855	NA	NA	NA	NA
ADAMTS10	81794	0	0.0213026	0.0659682	0	NA	NA	NA	NA
ADAMTS12	81792	8.86291	10.896	12.707	7.26561	NA	NA	NA	NA
ADAMTS13	11093	0.316612	0.556695	0.488557	0.401871	NA	NA	NA	NA
ADAMTS14	140766	1.68193	0.418072	3.16751	4.92997	NA	NA	NA	NA
ADAMTS15	170689	12.9477	3.54269	5.97694	10.0543	NA	NA	NA	NA
ADAMTS16	170690	0.8155	0.54883	1.26723	2.0053	NA	NA	NA	NA
ADAMTS17	170691	2.69971	0.364942	1.86677	0.339135	NA	NA	NA	NA
ADAMTS19	171019	8.1969	0.705613	1.23489	0.453487	NA	NA	NA	NA
ADAMTS2	9509	7.26905	1.62832	6.77506	1.86174	NA	NA	NA	NA
ADAMTS20	80070	0.489379	1.03804	0.861516	0.393911	NA	NA	NA	NA
ADAMTS3	9508	1.22916	1.65044	2.8076	3.15819	NA	NA	NA	NA
ADAMTS4	9507	0.851302	0.188432	1.89403	2.04925	NA	NA	NA	NA
ADAMTS5	11096	10.1428	0.336534	4.35222	0.496104	NA	NA	NA	NA
ADAMTS6	11174	0.622971	1.61104	1.36857	2.14474	NA	NA	NA	NA
ADAMTS7	11173	27.2513	24.0524	32.645	25.9507	NA	NA	NA	NA
ADAMTS7P4	642935	8.73588	0.1788	8.40243	0.207271	NA	NA	NA	NA
ADAMTS8	11095	0.375491	0.539799	0.377578	1.59779	NA	NA	NA	NA
ADAMTS9	56999	29.9445	4.99068	25.6709	15.5838	NA	NA	NA	NA
ADAMTS9-AS2	100507098	0.0620502	0	0.184095	0.041404	NA	NA	NA	NA
ADAMTSL1	92949	5.15881	0.827506	1.7275	1.0656	NA	NA	NA	NA
ADAMTSL4	54507	1.27065	0.661267	0.765481	0.45159	cerebral-cortex	glial-cells	Medium	Approved
ADAMTSL4-AS1	574406	0	0.166539	0	0.156001	NA	NA	NA	NA
ADAMTSL5	339366	1.65647	0.290212	0.225037	0.399073	NA	NA	NA	NA
ADAP1	11033	0.829413	2.05523	1.37258	1.51617	NA	NA	NA	NA
ADAP2	55803	0.161446	0.261176	0.0472117	0.115933	NA	NA	NA	NA
ADAR	103	37.7109	70.1565	65.3709	60.3143	cerebral-cortex	glial-cells	Medium	Enhanced
ADARB1	104	7.23275	3.53297	7.3485	3.09384	NA	NA	NA	NA
ADARB2	105	0.243499	1.58196	0.48813	0.658942	NA	NA	NA	NA
ADAT1	23536	17.1591	32.7427	24.5559	31.6628	NA	NA	NA	NA
ADAT2	134637	4.28693	2.99804	4.42237	3.33616	NA	NA	NA	NA
ADAT3	113179	5.32405	4.57106	4.20998	3.39329	NA	NA	NA	NA
ADCK1	57143	2.34131	3.1476	3.50298	4.61264	NA	NA	NA	NA
ADCK2	90956	5.07641	2.81598	5.63091	3.70995	cerebral-cortex	glial-cells	Medium	Approved
ADCK5	203054	0.251146	0.0825265	0.245367	0.181284	cerebral-cortex	glial-cells	Medium	Approved
ADCY1	107	2.96788	3.37787	3.2995	3.76979	NA	NA	NA	NA
ADCY10P1	221442	1.59205	0.614867	1.04184	1.90963	NA	NA	NA	NA
ADCY2	108	2.2132	0.626697	1.21609	0.935183	cerebral-cortex	glial-cells	Low	Approved
ADCY3	109	7.3034	6.47169	14.0922	14.0266	cerebral-cortex	glial-cells	Low	Approved
ADCY4	196883	2.94224	0.149008	3.20409	0.939361	NA	NA	NA	NA
ADCY5	111	1.08927	2.38344	0.880128	1.79877	NA	NA	NA	NA
ADCY6	112	18.5	28.1678	26.0437	33.2925	cerebral-cortex	glial-cells	Low	Approved
ADCY7	113	0.393309	1.95475	2.16127	1.0549	NA	NA	NA	NA
ADCY8	114	0.174205	0.0762702	0.0958058	0.0727488	NA	NA	NA	NA
ADCY9	115	4.71038	1.74959	5.363	2.78787	cerebral-cortex	glial-cells	Medium	Approved
ADCYAP1	116	1.98936	0.0917305	0.554322	0.158733	NA	NA	NA	NA
ADCYAP1R1	117	2.4137	11.0515	2.93728	10.5493	NA	NA	NA	NA
ADD1	118	154.746	105.826	116.07	112.082	cerebral-cortex	glial-cells	Low	Enhanced
ADD3	120	40.4977	49.1946	65.1551	80.9307	cerebral-cortex	glial-cells	Medium	Supported
ADH1A	124	0	0.455286	0.220463	0.330842	NA	NA	NA	NA
ADH4	127	0	0.257605	0	0	NA	NA	NA	NA
ADH5	128	93.8783	160.147	107.662	125.438	NA	NA	NA	NA
ADH5P4	642443	2.88892	6.6603	4.29157	4.7605	NA	NA	NA	NA
ADH6	130	0.270847	0.669969	0.159057	0.426597	NA	NA	NA	NA
ADHFE1	137872	3.95577	1.5111	1.99028	1.45343	NA	NA	NA	NA
ADI1	55256	41.948	28.3275	32.4031	26.4016	cerebral-cortex	glial-cells	Medium	Approved
ADIPOR1	51094	39.6946	20.4392	25.668	25.1035	NA	NA	NA	NA
ADIPOR2	79602	21.7536	31.5979	29.4376	30.1697	NA	NA	NA	NA
ADIRF-AS1	100133190	0.916575	0.0479888	1.46888	0.105585	NA	NA	NA	NA
ADK	132	48.9039	26.3418	28.24	24.6662	NA	NA	NA	NA
ADM	133	17.9932	26.8609	13.488	18.0417	NA	NA	NA	NA
ADM2	79924	0.518575	0.990956	2.64379	2.23897	NA	NA	NA	NA
ADM5	199800	2.52821	3.25156	1.1566	2.81505	NA	NA	NA	NA
ADNP	23394	38.6621	68.6771	48.2768	49.2841	cerebral-cortex	glial-cells	High	Supported
ADNP2	22850	8.55687	19.3014	10.8025	10.4405	NA	NA	NA	NA
ADO	84890	15.5378	32.7032	13.0933	22.7824	NA	NA	NA	NA
ADORA1	134	19.066	1.90876	7.4571	3.45108	NA	NA	NA	NA
ADORA2A	135	1.84403	2.84959	2.43254	2.68668	NA	NA	NA	NA
ADORA2A-AS1	646023	0.243593	0.650971	0.425449	0.588561	NA	NA	NA	NA
ADORA2B	136	4.54168	1.05893	8.54119	4.69932	NA	NA	NA	NA
ADPGK	83440	28.1595	17.325	30.0511	25.0259	NA	NA	NA	NA
ADPRH	141	0.238409	0.112316	0.864808	0.351948	cerebral-cortex	glial-cells	Low	Approved
ADPRHL1	113622	34.1209	1.8668	5.43798	2.06418	NA	NA	NA	NA
ADPRHL2	54936	28.0745	19.7355	25.3408	22.4326	cerebral-cortex	glial-cells	Low	Approved
ADPRM	56985	16.8072	4.67286	6.37318	5.32707	NA	NA	NA	NA
ADRA1A	148	0.0334991	0.185695	0.153527	0.0668584	cerebral-cortex	glial-cells	Medium	Approved
ADRA1B	147	0.142611	0.187735	0.111506	0.176712	NA	NA	NA	NA
ADRA1D	146	0.133388	0.310689	0.0520856	0.384016	NA	NA	NA	NA
ADRA2A	150	1.77505	0.41939	1.00968	0.407394	NA	NA	NA	NA
ADRA2C	152	3.26687	1.17341	0.757707	1.1518	NA	NA	NA	NA
ADRB2	154	0.566956	0.261337	0.536344	0.221438	NA	NA	NA	NA
ADRM1	11047	72.4691	55.5715	76.8647	68.3776	cerebral-cortex	glial-cells	Medium	Supported
ADSL	158	79.5069	42.1988	54.6171	38.5639	cerebral-cortex	glial-cells	Medium	Enhanced
AEBP1	165	38.2938	23.3307	50.9299	35.5107	cerebral-cortex	glial-cells	Low	Supported
AEBP2	121536	20.7493	14.933	18.7318	13.5842	NA	NA	NA	NA
AEN	64782	16.2423	23.679	37.5264	29.8397	NA	NA	NA	NA
AFAP1	60312	13.6984	13.7213	15.7349	16.1569	cerebral-cortex	glial-cells	Low	Enhanced
AFAP1L1	134265	23.5271	0.347976	6.98967	1.2831	NA	NA	NA	NA
AFAP1L2	84632	3.80061	2.62479	2.66677	13.806	NA	NA	NA	NA
AFF1	4299	5.88587	8.70993	14.1804	6.89151	NA	NA	NA	NA
AFF3	3899	7.30471	5.32622	12.8716	6.79347	cerebral-cortex	glial-cells	Low	Approved
AFF4	27125	18.8263	26.5646	22.9338	24.2417	cerebral-cortex	glial-cells	High	Approved
AFG3L1P	172	21.4443	32.1628	20.6385	22.7687	NA	NA	NA	NA
