subSystem	disrupted_module	rxnList	MetabolicUnits	rxnFormula	rxnName	rxnECNumbers
Drug metabolism	MTA_BD_R_norm_t1	CRVStu	NA	crvs[e]  <=> crvs[c] 	cerivastatin uptake by enterocytes	
Drug metabolism	MTA_BD_R_norm_t1	CRVSthc	NA	hco3[c] + crvs[e]  <=> hco3[e] + crvs[c] 	cerivastatin uptake by hepatocytes	
Drug metabolism	MTA_BD_R_norm_t1	35DHPVStep	NA	35dhpvs[c]  <=> 35dhpvs[e] 	3-alpha-5-beta-dihydroxy pravastatin exit into portal blood	
Drug metabolism	MTA_BD_R_norm_t1	35DHPVSthc	NA	hco3[c] + 35dhpvs[e]  <=> hco3[e] + 35dhpvs[c] 	uptake of 3-alpha-5-beta-dihydroxy pravastatin by hepatocytes	
Drug metabolism	MTA_BD_R_norm_t1	LSTNM7TDhc	NA	lstnm7[e]  <=> lstnm7[c] 	uptake of Losartan-N2-glucuronide / Losartan-M7 into hepatocytes via diffusion	
Drug metabolism	MTA_BD_R_norm_t1	LSTNM7thc	NA	cl[c] + lstnm7[e]  <=> cl[e] + lstnm7[c] 	uptake of Losartan-N2-glucuronide / Losartan-M7 into hepatocytes	
Drug metabolism	MTA_BD_R_norm_t1	4HATVLACtep	NA	4hatvlac[c]  <=> 4hatvlac[e] 	efflux of 4-hydroxy-atorvastatin-lactone into portal blood	
Drug metabolism	MTA_BD_R_norm_t1	4HATVLACthc	NA	hco3[c] + 4hatvlac[e]  <=> hco3[e] + 4hatvlac[c] 	uptake of 4-hydroxy-atorvastatin-lactone into hepatocytes	
Drug metabolism	MTA_BD_R_norm_t1	6EPVStep	NA	6epvs[c]  <=> 6epvs[e] 	6-epi-pravastatin exit into portal blood	
Drug metabolism	MTA_BD_R_norm_t1	6EPVSthc	NA	hco3[c] + 6epvs[e]  <=> hco3[e] + 6epvs[c] 	uptake of 6-epi-pravastatin by hepatocytes	
Drug metabolism	MTA_BD_R_norm_t1	RSVtev	NA	rsv[c]  <=> rsv[e] 	exit of rosuvastatin into hepatic vein	
Drug metabolism	MTA_BD_R_norm_t1	RSVtu	NA	hco3[c] + rsv[e]  <=> hco3[e] + rsv[c] 	uptake of rosuvastatin by enterocytes	
Drug metabolism	MTA_BD_R_norm_t1	LST4EXPTDhc	NA	lst4exp[e]  <=> lst4exp[c] 	uptake of Losartan-E3174 into hepatocytes via diffusion	
Drug metabolism	MTA_BD_R_norm_t1	LST4EXPthc	NA	cl[c] + lst4exp[e]  <=> cl[e] + lst4exp[c] 	uptake of Losartan-E3174 into hepatocytes	
Drug metabolism	MTA_BD_R_norm_t2	3ISPVStep	NA	3ispvs[c]  <=> 3ispvs[e] 	3-alpha-iso-pravastatin exit into portal blood	
Drug metabolism	MTA_BD_R_norm_t2	3ISPVSthc	NA	hco3[c] + 3ispvs[e]  <=> hco3[e] + 3ispvs[c] 	uptake of 3-alpha-iso-pravastatin by hepatocytes	
Drug metabolism	MTA_BD_R_norm_t2	4HATVACIDtep	NA	4hatvacid[c]  <=> 4hatvacid[e] 	efflux of 4-hydroxy-atorvastatin-acid into portal blood	
Drug metabolism	MTA_BD_R_norm_t2	4HATVACIDthc	NA	hco3[c] + 4hatvacid[e]  <=> hco3[e] + 4hatvacid[c] 	uptake of 4-hydroxy-atorvastatin-acid into hepatocytes	
Drug metabolism	MTA_BD_R_norm_t2	TMDtd	NA	tmd[e]  <=> tmd[c] 	uptake of torasemide into enterocytes via diffusion	
Drug metabolism	MTA_BD_R_norm_t2	CRVStu	NA	crvs[e]  <=> crvs[c] 	cerivastatin uptake by enterocytes	
Drug metabolism	MTA_BD_R_norm_t2	CRVSthc	NA	hco3[c] + crvs[e]  <=> hco3[e] + crvs[c] 	cerivastatin uptake by hepatocytes	
Drug metabolism	MTA_BD_R_norm_t2	4HATVLACtep	NA	4hatvlac[c]  <=> 4hatvlac[e] 	efflux of 4-hydroxy-atorvastatin-lactone into portal blood	
Drug metabolism	MTA_BD_R_norm_t2	4HATVLACthc	NA	hco3[c] + 4hatvlac[e]  <=> hco3[e] + 4hatvlac[c] 	uptake of 4-hydroxy-atorvastatin-lactone into hepatocytes	
Drug metabolism	MTA_BD_R_norm_t2	TMDOATtev	NA	cl[e] + tmd[c]  <=> cl[c] + tmd[e] 	efflux of Torasemide into hepatic vein	
Drug metabolism	MTA_BD_R_norm_t2	LSTNM7TDhc	NA	lstnm7[e]  <=> lstnm7[c] 	uptake of Losartan-N2-glucuronide / Losartan-M7 into hepatocytes via diffusion	
Drug metabolism	MTA_BD_R_norm_t2	LSTNM7thc	NA	cl[c] + lstnm7[e]  <=> cl[e] + lstnm7[c] 	uptake of Losartan-N2-glucuronide / Losartan-M7 into hepatocytes	
Drug metabolism	MTA_BD_R_norm_t2	FVStu	NA	hco3[c] + fvs[e]  <=> hco3[e] + fvs[c] 	uptake of fluvastatin by enterocytes	
Drug metabolism	MTA_BD_R_norm_t2	OXYPthc	NA	oxyp[e]  <=> oxyp[c] 	uptake of oxypurinol by hepatocytes	
Drug metabolism	MTA_BD_R_norm_t2	OXYPtepv	NA	h[c] + oxyp[c]  <=> h[e] + oxyp[e] 	release of oxypurinol into portal blood	
Drug metabolism	MTA_BD_R_norm_t2	PVStep	NA	pvs[c]  <=> pvs[e] 	pravastatin exit into portal blood	
Drug metabolism	MTA_BD_R_norm_t2	TMDOATthc	NA	akg[c] + na1[e] + tmd[e]  <=> na1[c] + akg[e] + tmd[c] 	uptake of torasemide into hepatocytes via OAT1	
Drug metabolism	MTA_BD_R_norm_t2	RSVtev	NA	rsv[c]  <=> rsv[e] 	exit of rosuvastatin into hepatic vein	
Drug metabolism	MTA_BD_R_norm_t2	RSVtu	NA	hco3[c] + rsv[e]  <=> hco3[e] + rsv[c] 	uptake of rosuvastatin by enterocytes	
Drug metabolism	MTA_BD_R_norm_t2	3HPVSTETCOAhcm	NA	2 h2o[m] + 2 nad[m] + 2 coa[m] + 2 fad[m] + 3hpvscoa[m]  -> o2[m] + 2 h[m] + 2 nadh[m] + 2 accoa[m] + 2 fadh2[m] + 3hpvstetcoa[m] 	beta oxidation of 3-S-hydroxy-pravastatin-CoA to tatranor-CoA derivative in hepatocytes, mitochondria	1.3.99.- ; 4.2.1.17 ; 1.1.1.211 ; 2.3.1.16
Drug metabolism	MTA_BD_R_norm_t2	3HPVSCOAitm	NA	3hpvscoa[m]  <=> 3hpvscoa[c] 	3HPVSCOAitm	
Drug metabolism	MTA_BD_R_norm_t2	3HPVSTETCOAitm	NA	3hpvstetcoa[m]  <=> 3hpvstetcoa[c] 	3HPVSTETCOAitm	
Drug metabolism	MTA_BD_R_norm_t2	LST4EXPTDhc	NA	lst4exp[e]  <=> lst4exp[c] 	uptake of Losartan-E3174 into hepatocytes via diffusion	
Drug metabolism	MTA_BD_R_norm_t2	LST4EXPthc	NA	cl[c] + lst4exp[e]  <=> cl[e] + lst4exp[c] 	uptake of Losartan-E3174 into hepatocytes	
Drug metabolism	MTA_BD_R_norm_t2	LSTNRATt	NA	cl[c] + lstn[e]  <=> cl[e] + lstn[c] 	uptake of losartan via antiport into enterocytes	
Drug metabolism	MTA_BD_R_norm_t2	LSTNtd	NA	lstn[e]  <=> lstn[c] 	uptake of losartan via diffusion into enterocytes	
Drug metabolism	MTA_BD_R_norm_t2	TMDOATPtsc	NA	hco3[c] + tmd[e]  <=> hco3[e] + tmd[c] 	uptake of torasemide into enterocytes via antiport	
